一一	iq5 iq3
讯息	sin5 siq3
记下	ci5 gho3
记不清	ci5 peq9 tshin3
记事	ci5 zy3
记住	ci5 zy3
记入	ci5 zeq3
记分	ci5 fen3
记取	ci5 tshiu3
记叙	ci5 ziu3
记号	ci5 ghau3
记名	ci5 min3
记录	ci5 loq3
记得	ci5 teq3
记忆	ci5 i3
记忆力	ci5 i9 liq3
记忆犹新	ci5 i9 yeu9 sin3
记性	ci5 sin3
记挂	ci5 kua3
记数	ci5 su3
记者	ci5 tse3
记者会	ci5 tse9 khue3
记谱	ci5 pu3
记载	ci5 tse3
记述	ci5 zeq3
讲义	cian5 gni3
讲习	cian5 ziq3
讲台	cian5 de3
讲坛	cian5 de3
讲学	cian5 ghoq3
讲师	cian5 sy3
讲座	cian5 zu3
讲授	cian5 zeu3
讲求	cian5 jieu3
讲演	cian5 i3
讲理	cian5 li3
讲稿	cian5 kau3
讲究	cian5 cieu3
讲经	cian5 cin3
讲解	cian5 ka3
讲讲	cian5 cian3
讲论	cian5 len3
讲话	cian5 wa3
讲课	cian5 khu3
讲述	cian5 zeq3
讲道	cian5 dau3
讳言	hue5 yi3
讴歌	eu5 ku3
讶异	ia5 yi3
许三品	shiu5 se9 phin3
许下	shiu5 gho3
许世友	shiu5 sy9 yeu3
许久	shiu5 cieu3
许予明	shiu5 yu9 min3
许亲王	shiu5 tshin9 waon3
许可	shiu5 khu3
许可证	shiu5 khu9 tsen3
许嘉璐	shiu5 ka9 lu3
许多	shiu5 tu3
许多年	shiu5 tu9 gni3
许多次	shiu5 tu9 tshy3
许多种	shiu5 tu9 zon3
许家	shiu5 ka3
许志琴	shiu5 tsy9 jin3
许愿	shiu5 gnioe3
许昌	shiu5 tshaon3
许显纯	shiu5 shi9 zen3
许晓书	shiu5 shiau9 sy3
许智宏	shiu5 tsy9 ghon3
许皇帝	shiu5 waon9 ti3
许许多多	shiu5 shiu9 tu9 tu3
许诺	shiu5 noq3
许都	shiu5 tu3
许配	shiu5 phe3
许雪亭	shiu5 siq9 din3
论丛	len2 zon4
论争	len2 tsen4
论及	len2 jiq4
论坛	len2 de4
论战	len2 tsoe4
论据	len2 ciu4
论文	len2 ven4
论文集	len2 ven4 ziq4
论断	len2 doe4
论点	len2 ti4
论理	len2 li4
论罪	len2 zoe4
论者	len2 tse4
论著	len2 tsy4
论衡	len2 ghen4
论证	len2 tsen4
论语	len2 gniu4
论说	len2 seq4
论调	len2 diau4
论辩	len2 bi4
论述	len2 zeq4
论集	len2 ziq4
论题	len2 di4
讼案	son5 oe3
讽刺	fon5 tshy3
设伏	seq5 bu3
设在	seq5 ze3
设备	seq5 be3
设定	seq5 din3
设宴	seq5 i3
设想	seq5 sian3
设施	seq5 sy3
设有	seq5 yeu3
设法	seq5 faq3
设立	seq5 liq3
设置	seq5 tsy3
设色	seq5 seq3
设若	seq5 zaq3
设计	seq5 ci3
设计图	seq5 ci9 du3
设计局	seq5 ci9 jioq3
设计师	seq5 ci9 sy3
设计者	seq5 ci9 tse3
设计院	seq5 ci9 yoe3
设身处地	seq5 sen9 tshy9 di3
设防	seq5 baon3
访华	faon5 wa3
访谈	faon5 de3
访问	faon5 ven3
访问团	faon5 ven9 doe3
诀别	cioq5 beq3
诀窍	cioq5 chiau3
证书	tsen5 sy3
证人	tsen5 zen3
证件	tsen5 ji3
证券	tsen5 chioe3
证券报	tsen5 chioe9 pau3
证券法	tsen5 chioe9 faq3
证实	tsen5 zeq3
证据	tsen5 ciu3
证明	tsen5 min3
证明书	tsen5 min9 sy3
证监会	tsen5 ci9 khue3
证见	tsen5 ci3
证词	tsen5 zy3
评为	bin2 we4
评书	bin2 sy4
评价	bin2 geq4
评估	bin2 ku4
评分	bin2 fen4
评判	bin2 phoe4
评剧	bin2 jiq4
评奖	bin2 tsian4
评委	bin2 ue4
评委会	bin2 ue4 khue4
评定	bin2 din4
评审	bin2 sen4
评比	bin2 pi4
评测	bin2 tsheq4
评点	bin2 ti4
评理	bin2 li4
评级	bin2 ciq4
评议	bin2 gni4
评论	bin2 len4
评论员	bin2 len4 yoe4
评论家	bin2 len4 ka4
评话	bin2 wa4
评语	bin2 gniu4
评说	bin2 seq4
评述	bin2 zeq4
评选	bin2 si4
诅咒	tsu5 tseu3
识别	seq5 beq3
识字	seq5 zy3
识时务	seq5 zy9 wu3
识相	seq5 sian3
识破	seq5 phu3
识见	seq5 ci3
识货	seq5 hu3
诈欺	tsa5 chi3
诈败	tsa5 ba3
诈降	tsa5 cian3
诈骗	tsa5 phi3
诉求	su5 jieu3
诉状	su5 zaon3
诉苦	su5 khu3
诉讼	su5 son3
诉讼法	su5 son9 faq3
诉说	su5 seq3
诉诸	su5 tsy3
诊所	tsen5 su3
诊断	tsen5 doe3
诊治	tsen5 zy3
诊疗	tsen5 liau3
诋毁	ti5 hue3
词义	zy2 gni4
词人	zy2 zen4
词儿	zy2 gni4
词典	zy2 ti4
词句	zy2 ciu4
词曲	zy2 chioq4
词条	zy2 diau4
词汇	zy2 we4
词源	zy2 gnioe4
词组	zy2 tsu4
词语	zy2 gniu4
诏书	tsau5 sy3
诏令	tsau5 lin3
译作	yiq2 tsoq4
译名	yiq2 min4
译员	yiq2 yoe4
译成	yiq2 zen4
译文	yiq2 ven4
译本	yiq2 pen4
译法	yiq2 faq4
译者	yiq2 tse4
译著	yiq2 tsy4
试制	sy5 tsy3
试剂	sy5 tsi3
试卷	sy5 cioe3
试图	sy5 du3
试射	sy5 zo3
试想	sy5 sian3
试探	sy5 thoe3
试探性	sy5 thoe9 sin3
试样	sy5 yan3
试演	sy5 i3
试点	sy5 ti3
试用	sy5 yon3
试用期	sy5 yon9 ji3
试看	sy5 khoe3
试管	sy5 kuoe3
试纸	sy5 tsy3
试行	sy5 ghan3
试训	sy5 shiun3
试试	sy5 sy3
试试看	sy5 sy9 khoe3
试问	sy5 ven3
试题	sy5 di3
试飞	sy5 fi3
试飞员	sy5 fi9 yoe3
试验	sy5 gni3
试验场	sy5 gni9 zan3
试验室	sy5 gni9 seq3
诗书	sy5 sy3
诗云	sy5 yun3
诗人	sy5 zen3
诗体	sy5 ben3
诗作	sy5 tsoq3
诗剧	sy5 jiq3
诗句	sy5 ciu3
诗坛	sy5 de3
诗学	sy5 ghoq3
诗意	sy5 i3
诗文	sy5 ven3
诗歌	sy5 ku3
诗社	sy5 zo3
诗篇	sy5 phi3
诗经	sy5 cin3
诗词	sy5 zy3
诗话	sy5 wa3
诗选	sy5 si3
诗集	sy5 ziq3
诙谐	hue5 gha3
诚信	zen2 sin4
诚如	zen2 zy4
诚实	zen2 zeq4
诚心	zen2 sin4
诚心诚意	zen2 sin4 zen4 i4
诚恳	zen2 khen4
诚惶诚恐	zen2 waon4 zen4 khon4
诚意	zen2 i4
诚挚	zen2 tsy4
诚然	zen2 zoe4
诛戮	tsy5 loq3
诛杀	tsy5 saq3
诛灭	tsy5 miq3
话儿	wa2 gni4
话别	wa2 beq4
话剧	wa2 jiq4
话剧团	wa2 jiq4 doe4
话头	wa2 deu4
话本	wa2 pen4
话筒	wa2 don4
话语	wa2 gniu4
话语权	wa2 gniu4 jioe4
话费	wa2 fi4
话音	wa2 in4
话题	wa2 di4
诞生	te5 san3
诞辰	te5 zen3
诠释	tshi5 seq3
诡异	kue5 yi3
诡秘	kue5 pi3
诡计	kue5 ci3
诡计多端	kue5 ci9 tu9 toe3
诡谲	kue5 ciuq3
诡辩	kue5 bi3
询问	shiun5 ven3
该书	ke5 sy3
该会	ke5 khue3
该党	ke5 taon3
该刊	ke5 khe3
该剧	ke5 jiq3
该区	ke5 chiu3
该厂	ke5 oe3
该县	ke5 yoe3
该团	ke5 doe3
该国	ke5 koq3
该地	ke5 di3
该城	ke5 zen3
该处	ke5 tshy3
该局	ke5 jioq3
该市	ke5 zy3
该当	ke5 taon3
该所	ke5 su3
该报	ke5 pau3
该文	ke5 ven3
该是	ke5 zy3
该机	ke5 ci3
该校	ke5 ciau3
该案	ke5 oe3
该死	ke5 sy3
该片	ke5 phi3
该病	ke5 bin3
该省	ke5 san3
该社	ke5 zo3
该种	ke5 zon3
该科	ke5 khu3
该类	ke5 le3
该行	ke5 ghan3
该车	ke5 tsho3
该部	ke5 bu3
该队	ke5 de3
该院	ke5 yoe3
该项	ke5 ghaon3
该馆	ke5 kuoe3
详尽	zian2 zin4
详情	zian2 zin4
详细	zian2 si4
详见	zian2 ci4
详解	zian2 ka4
详述	zian2 zeq4
诧异	tsha5 yi3
诬告	u5 kau3
诬蔑	u5 miq3
诬陷	u5 yi3
语义	gniu2 gni4
语句	gniu2 ciu4
语塞	gniu2 se4
语境	gniu2 cin4
语声	gniu2 san4
语录	gniu2 loq4
语意	gniu2 i4
语感	gniu2 koe4
语文	gniu2 ven4
语族	gniu2 zoq4
语无伦次	gniu2 wu4 len4 tshy4
语气	gniu2 chi4
语法	gniu2 faq4
语种	gniu2 zon4
语系	gniu2 shi4
语言	gniu2 yi4
语言学	gniu2 yi4 ghoq4
语言学家	gniu2 yi4 ghoq4 ka4
语词	gniu2 zy4
语调	gniu2 diau4
语重心长	gniu2 zon4 sin4 tsan4
语音	gniu2 in4
误事	ngu2 zy4
误会	ngu2 khue4
误伤	ngu2 saon4
误入	ngu2 zeq4
误区	ngu2 chiu4
误国	ngu2 koq4
误导	ngu2 dau4
误导性	ngu2 dau4 sin4
误差	ngu2 tsha4
误杀	ngu2 saq4
误用	ngu2 yon4
误解	ngu2 ka4
误认为	ngu2 zen4 we4
误诊	ngu2 tsen4
误食	ngu2 zeq4
诱人	yeu2 zen4
诱使	yeu2 sy4
诱发	yeu2 faq4
诱因	yeu2 in4
诱导	yeu2 dau4
诱惑	yeu2 ghoq4
诱惑力	yeu2 ghoq4 liq4
诱敌	yeu2 diq4
诱敌深入	yeu2 diq4 sen4 zeq4
诱降	yeu2 cian4
诱饵	yeu2 er4
诱骗	yeu2 phi4
说一不二	seq5 iq9 peq9 gni3
说三道四	seq5 se9 dau9 sy3
说不上	seq5 peq9 zaon3
说不定	seq5 peq9 din3
说不得	seq5 peq9 teq3
说不清	seq5 peq9 tshin3
说不清楚	seq5 peq9 tshin9 tshu3
说不过去	seq5 peq9 ku9 chi3
说书	seq5 sy3
说了算	seq5 liau9 soe3
说出	seq5 tsheq3
说到底	seq5 tau9 ti3
说唱	seq5 tshaon3
说好	seq5 hau3
说完	seq5 woe3
说实话	seq5 zeq9 wa3
说教	seq5 kau3
说明	seq5 min3
说明书	seq5 min9 sy3
说明会	seq5 min9 khue3
说服	seq5 voq3
说服力	seq5 voq9 liq3
说来	seq5 le3
说来话长	seq5 le9 wa9 tsan3
说来说去	seq5 le9 seq9 chi3
说法	seq5 faq3
说法不一	seq5 faq9 peq9 iq3
说理	seq5 li3
说白了	seq5 baq9 liau3
说真的	seq5 tsen9 tiq3
说破	seq5 phu3
说穿	seq5 tshoe3
说老实话	seq5 lau9 zeq9 wa3
说话	seq5 wa3
说话声	seq5 wa9 san3
说说笑笑	seq5 seq9 siau9 siau3
说说话	seq5 seq9 wa3
说谎	seq5 huaon3
说起	seq5 chi3
说辞	seq5 zy3
说道	seq5 dau3
说错	seq5 tshu3
说闲话	seq5 yi9 wa3
诵经	son5 cin3
诵读	son5 doq3
请便	tshin5 bi3
请假	tshin5 ka3
请勿	tshin5 veq3
请安	tshin5 oe3
请客	tshin5 khaq3
请帖	tshin5 thiq3
请愿	tshin5 gnioe3
请教	tshin5 kau3
请来	tshin5 le3
请柬	tshin5 ci3
请求	tshin5 jieu3
请示	tshin5 zy3
请罪	tshin5 zoe3
请问	tshin5 ven3
诸事	tsy5 zy3
诸位	tsy5 we3
诸侯	tsy5 gheu3
诸侯国	tsy5 gheu9 koq3
诸侯王	tsy5 gheu9 waon3
诸保昆	tsy5 pau9 khuen3
诸公	tsy5 kon3
诸君	tsy5 ciun3
诸国	tsy5 koq3
诸城	tsy5 zen3
诸多	tsy5 tu3
诸如	tsy5 zy3
诸如此类	tsy5 zy9 tshy9 le3
诸子	tsy5 tsy3
诸子百家	tsy5 tsy9 paq9 ka3
诸宫调	tsy5 kon9 diau3
诸岛	tsy5 tau3
诸州	tsy5 tseu3
诸生	tsy5 san3
诸职司	tsy5 tseq9 sy3
诸般	tsy5 pe3
诸葛	tsy5 keq3
诸葛亮	tsy5 keq9 lian3
诸进士	tsy5 tsin9 zy3
诺伊曼	noq2 yi4 me4
诺华	noq2 wa4
诺基亚	noq2 ci4 ia4
诺夫	noq2 fu4
诺曼底	noq2 me4 ti4
诺维茨基	noq2 vi4 zy4 ci4
诺言	noq2 yi4
诺贝尔	noq2 pe4 er4
诺贝尔化学奖	noq2 pe4 er4 hua4 ghoq4 tsian4
诺贝尔和平奖	noq2 pe4 er4 wu4 bin4 tsian4
诺贝尔奖	noq2 pe4 er4 tsian4
诺贝尔文学奖	noq2 pe4 er4 ven4 ghoq4 tsian4
读书	doq2 sy4
读书人	doq2 sy4 zen4
读写	doq2 sia4
读出	doq2 tsheq4
读卖新闻	doq2 ma4 sin4 men4
读取	doq2 tshiu4
读完	doq2 woe4
读数	doq2 su4
读本	doq2 pen4
读物	doq2 meq4
读经	doq2 cin4
读者	doq2 tse4
读音	doq2 in4
诽谤	fi5 paon3
课以	khu5 i3
课余	khu5 yu3
课后	khu5 gheu3
课堂	khu5 daon3
课外	khu5 nga3
课文	khu5 ven3
课本	khu5 pen3
课目	khu5 moq3
课程	khu5 zen3
课税	khu5 soe3
课题	khu5 di3
课题组	khu5 di9 tsu3
谁家	zoe2 ka4
谁料	zoe2 liau4
谁知	zoe2 tsy4
调价	diau2 geq4
调任	diau2 zen4
调低	diau2 ti4
调侃	diau2 khe4
调停	diau2 din4
调入	diau2 zeq4
调关镇	diau2 kue4 tsen4
调兵遣将	diau2 pin4 chi4 tsian4
调养	diau2 yan4
调出	diau2 tsheq4
调制	diau2 tsy4
调剂	diau2 tsi4
调动	diau2 don4
调匀	diau2 yun4
调味	diau2 vi4
调味品	diau2 vi4 phin4
调味品厂	diau2 vi4 phin4 oe4
调和	diau2 wu4
调回	diau2 we4
调处	diau2 tshy4
调子	diau2 tsy4
调度	diau2 du4
调式	diau2 seq4
调性	diau2 sin4
调情	diau2 zin4
调戏	diau2 shi4
调拨	diau2 peq4
调换	diau2 woe4
调控	diau2 khon4
调教	diau2 kau4
调整	diau2 tsen4
调料	diau2 liau4
调来	diau2 le4
调查	diau2 tso4
调查组	diau2 tso4 tsu4
调档	diau2 taon4
调治	diau2 zy4
调演	diau2 i4
调理	diau2 li4
调用	diau2 yon4
调皮	diau2 bi4
调研	diau2 kni4
调离	diau2 li4
调笑	diau2 siau4
调节	diau2 tsiq4
调节器	diau2 tsiq4 chi4
调蓄	diau2 shioq4
调解	diau2 ka4
调试	diau2 sy4
调转	diau2 tsoe4
调运	diau2 yun4
调适	diau2 kuaq4
调遣	diau2 chi4
调配	diau2 phe4
调酒师	diau2 tsieu4 sy4
调阅	diau2 yoq4
调集	diau2 ziq4
调频	diau2 bin4
谄媚	tshoe5 mi3
谄谀	tshoe5 yu3
谅解	lian2 ka4
谈不上	de2 peq4 zaon4
谈何容易	de2 wu4 yon4 i4
谈判	de2 phoe4
谈判桌	de2 phoe4 tsoq4
谈到	de2 tau4
谈及	de2 jiq4
谈吐	de2 thu4
谈心	de2 sin4
谈恋爱	de2 li4 e4
谈情说爱	de2 zin4 seq4 e4
谈瀛洲	de2 yin4 tseu4
谈笑	de2 siau4
谈笑风生	de2 siau4 fon4 san4
谈论	de2 len4
谈话	de2 wa4
谈谈	de2 de4
谈起	de2 chi4
谋事	meu2 zy4
谋划	meu2 gho4
谋反	meu2 fe4
谋取	meu2 tshiu4
谋士	meu2 zy4
谋害	meu2 ghe4
谋杀	meu2 saq4
谋求	meu2 jieu4
谋生	meu2 san4
谋略	meu2 liaq4
谌家矶	zen2 ka4 ci4
谍报	diq2 pau4
谎言	huaon5 yi3
谎话	huaon5 wa3
谏阻	ci5 tsu3
谐和	gha2 wu4
谐振	gha2 tsen4
谐波	gha2 pu4
谐音	gha2 in4
谓词	we2 zy4
谓语	we2 gniu4
谕令	yu2 lin4
谕旨	yu2 tsy4
谗言	ze2 yi4
谚语	yi2 gniu4
谜团	mi2 doe4
谜底	mi2 ti4
谜语	mi2 gniu4
谢世	zia2 sy4
谢丹阳	zia2 te4 yan4
谢伏瞻	zia2 bu4 tsoe4
谢佑卿	zia2 yeu4 chin4
谢大侠	zia2 du4 yaq4
谢天谢地	zia2 thi4 zia4 di4
谢家	zia2 ka4
谢富治	zia2 fu4 zy4
谢幕	zia2 mu4
谢恩	zia2 en4
谢意	zia2 i4
谢景新	zia2 cin4 sin4
谢杏芳	zia2 ghan4 faon4
谢清斋	zia2 tshin4 tsa4
谢烟客	zia2 i4 khaq4
谢爱光	zia2 e4 kuan4
谢皇恩	zia2 waon4 en4
谢秋思	zia2 tshieu4 sy4
谢绝	zia2 ziq4
谢罪	zia2 zoe4
谢若萍	zia2 zaq4 bin4
谢谢	zia2 zia4
谣传	yau2 zoe4
谣言	yau2 yi4
谥号	zy2 ghau4
谦卑	chi5 pe3
谦和	chi5 wu3
谦恭	chi5 kon3
谦虚	chi5 shiu3
谦虚谨慎	chi5 shiu9 cin9 zen3
谦让	chi5 gnian3
谦逊	chi5 sen3
谨严	cin5 gni3
谨小慎微	cin5 siau9 zen9 vi3
谨慎	cin5 zen3
谨防	cin5 baon3
谩骂	me2 ma4
谬论	miau2 len4
谬误	miau2 ngu4
谭元春	de2 gnioe4 tshen4
谭嗣同	de2 zy4 don4
谭子拐	de2 tsy4 kua4
谭家	de2 ka4
谭家洲	de2 ka4 tseu4
谭家渊	de2 ka4 ioe4
谭平山	de2 bin4 se4
谭望嵩	de2 maon4 son4
谭震林	de2 tsen4 lin4
谱写	pu5 sia3
谱系	pu5 shi3
谴责	chi5 tseq3
谶纬	tshen5 yu3
谷主	koq5 tsy3
谷六仙	koq5 loq9 si3
谷口	koq5 kheu3
谷地	koq5 di3
谷城	koq5 zen3
谷城县	koq5 zen9 yoe3
谷城縣	koq5 zen9 yoe3
谷子	koq5 tsy3
谷底	koq5 ti3
谷建芬	koq5 ci9 fen3
谷氨酸	koq5 oe9 soe3
谷燕山	koq5 i9 se3
谷物	koq5 meq3
谷类	koq5 le3
谷類	koq5 le3
豁免	huaq5 mi3
豁出	huaq5 tsheq3
豁口	huaq5 kheu3
豁然	huaq5 zoe3
豁然开朗	huaq5 zoe9 khe9 laon3
豁然開朗	huaq5 zoe9 khe9 laon3
豁虎跳	huaq5 hu9 thiau3
豁达	huaq5 daq3
豁達	huaq5 daq3
豆制品	deu2 tsy4 phin4
豆子	deu2 tsy4
豆沙	deu2 so4
豆沙色	deu2 so4 seq4
豆浆	deu2 tsian4
豆漿	deu2 tsian4
豆科	deu2 khu4
豆类	deu2 le4
豆腐	deu2 vu4
豆腐块	deu2 vu4 khue4
豆腐塊	deu2 vu4 khue4
豆腐肩胛	deu2 vu4 ci4 kaq4
豆芽	deu2 nga4
豆角	deu2 koq4
豆類	deu2 le4
豈不	chi5 peq3
豈不知	chi5 peq9 tsy3
豈但	chi5 de3
豈可	chi5 khu3
豈容	chi5 yon3
豈敢	chi5 koe3
豈是	chi5 zy3
豈會	chi5 we3
豈有	chi5 yeu3
豈有此理	chi5 yeu9 tshy9 li3
豈止	chi5 tsy3
豈知	chi5 tsy3
豈肯	chi5 khen3
豈能	chi5 nen3
豈非	chi5 fi3
豌豆	uoe5 deu3
豎井	zy2 tsin4
豎匾	zy2 pi4
豎垛裏	zy2 tu4 li4
豎子	zy2 tsy4
豎排	zy2 ba4
豎琴	zy2 jin4
豎直	zy2 zeq4
豎立	zy2 liq4
豎線	zy2 si4
豎起	zy2 chi4
豐功偉績	fon5 kon9 we9 tsiq3
豐厚	fon5 gheu3
豐富	fon5 fu3
豐富多彩	fon5 fu9 tu9 tshe3
豐富多採	fon5 fu9 tu9 tshe3
豐年	fon5 gni3
豐度	fon5 du3
豐收	fon5 seu3
豐沛	fon5 phe3
豐滿	fon5 moe3
豐產	fon5 tshe3
豐田	fon5 di3
豐盛	fon5 zen3
豐碩	fon5 zaq3
豐美	fon5 mhe3
豐腴	fon5 yu3
豐臣秀	fon5 zen9 sieu3
豐臺	fon5 de3
豐豫之	fon5 yu9 tsy3
豐鎬	fon5 ghau3
豐饒	fon5 zau3
豔冶	yi2 yi4
豔女	yi2 gniu4
豔無雙	yi2 wu4 saon4
豔紅	yi2 ghon4
豔羨	yi2 zi4
豔遇	yi2 yu4
豔麗	yi2 li4
象山	zian2 se4
象形	zian2 yin4
象形文字	zian2 yin4 ven4 zy4
象征	zian2 tsen4
象征性	zian2 tsen4 sin4
象徵	zian2 tsen4
象徵性	zian2 tsen4 sin4
象是	zian2 zy4
象棋	zian2 ji4
象牙	zian2 nga4
象馬	zian2 mo4
豪傑	ghau2 jiq4
豪华	ghau2 wa4
豪华团	ghau2 wa4 doe4
豪壯	ghau2 tsaon4
豪奢	ghau2 so4
豪宅	ghau2 zaq4
豪客	ghau2 khaq4
豪富	ghau2 fu4
豪強	ghau2 jian4
豪强	ghau2 chian4
豪情	ghau2 zin4
豪放	ghau2 faon4
豪斯	ghau2 sy4
豪族	ghau2 zoq4
豪杰	ghau2 jiq4
豪格	ghau2 kaq4
豪橫	ghau2 wan4
豪气	ghau2 chi4
豪氣	ghau2 chi4
豪燥	ghau2 sau4
豪爽	ghau2 saon4
豪紳	ghau2 sen4
豪绅	ghau2 sen4
豪華	ghau2 gho4
豪華團	ghau2 wa4 doe4
豪迈	ghau2 me4
豪邁	ghau2 me4
豪門	ghau2 men4
豪门	ghau2 men4
豫东	yu2 ton4
豫剧	yu2 jiq4
豫劇	yu2 jiq4
豫北	yu2 poq4
豫南	yu2 noe4
豫州	yu2 tseu4
豫東	yu2 ton4
豫西	yu2 si4
豫西南	yu2 si4 noe4
豫見	yu2 ci4
豬仔	tsy5 tse3
豬八戒	tsy5 paq9 ka3
豬圈	tsy5 jioe3
豬場	tsy5 zan3
豬油	tsy5 yeu3
豬肉	tsy5 gnioq3
豬肚	tsy5 du3
豬肝	tsy5 koe3
豬肥	tsy5 vi3
豬舍	tsy5 so3
豬頭	tsy5 deu3
豹子	pau5 tsy3
豺狼	za2 laon4
貂皮	tiau5 bi3
貌似	mau2 zy4
貓兒	mhau5 er3
貓眼	mhau5 nge3
貓膩	mhau5 gni3
貓頭鷹	mhau5 deu9 in3
貝克	pe5 kheq3
貝克漢姆	pe5 kheq9 hoe9 mh3
貝加爾湖	pe5 ka9 er9 wu3
貝勒	pe5 leq3
貝多芬	pe5 tu9 fen3
貝寧	pe5 gnin3
貝拉	pe5 lha3
貝殼	pe5 khoq3
貝母	pe5 mhu3
貝海石	pe5 he9 zaq3
貝爾	pe5 er3
貝爾格萊德	pe5 er9 kaq9 le9 teq3
貝裏	pe5 li3
貝類	pe5 le3
貝魯特	pe5 lu9 deq3
貞元	tsen5 gnioe3
貞操	tsen5 tshau3
貞觀	tsen5 kuoe3
負值	veu2 zeq4
負債	vu2 tsa4
負債表	vu2 tsa4 piau4
負傷	vu2 saon4
負心	vu2 sin4
負擔	vu2 te4
負數	veu2 su4
負於	vu2 yu4
負有	vu2 yeu4
負極	vu2 jiq4
負荷	vu2 hu4
負責	vu2 tseq4
負責人	vu2 tseq4 zen4
負責制	vu2 tseq4 tsy4
負載	vu2 tse4
負重	vu2 zon4
負隅頑抗	vu2 gniu4 woe4 khaon4
負離子	vu2 li4 tsy4
負電	vu2 di4
負電荷	vu2 di4 hu4
負面	vu2 mi4
財主	ze2 tsy4
財力	ze2 liq4
財務	ze2 wu4
財團	ze2 doe4
財大	ze2 da4
財大氣粗	ze2 du4 chi4 tshu4
財富	ze2 fu4
財寶	ze2 pau4
財帛	ze2 baq4
財年	ze2 gni4
財政	ze2 tsen4
財政局	ze2 tsen4 jioq4
財政部	ze2 tsen4 bu4
財政部長	ze2 tsen4 bu4 tsan4
財會	ze2 we4
財源	ze2 gnioe4
財物	ze2 veq4
財產	ze2 tshe4
財產權	ze2 tshe4 jioe4
財神	ze2 zen4
財稅	ze2 soe4
財經	ze2 cin4
財經類	ze2 cin4 le4
財貿	ze2 meu4
財長	ze2 tsan4
財閥	ze2 vaq4
貢品	kon5 phin3
貢士	kon5 zy3
貢物	kon5 veq3
貢獻	kon5 shi3
貢獻者	kon5 shi9 tse3
貢生	kon5 sen3
貢茶	kon5 zo3
貢賦	kon5 fu3
貧下中農	bin2 gho4 tson4 non4
貧乏	bin2 fe4
貧僧	bin2 sen4
貧困	bin2 khuen4
貧困戶	bin2 khuen4 wu4
貧困生	bin2 khuen4 san4
貧困線	bin2 khuen4 si4
貧困縣	bin2 khuen4 yoe4
貧富	bin2 fu4
貧寒	bin2 ghoe4
貧戶	bin2 wu4
貧民	bin2 min4
貧民窟	bin2 min4 khoq4
貧瘠	bin2 tsiq4
貧窮	bin2 jion4
貧苦	bin2 khu4
貧血	bin2 shioq4
貧賤	bin2 zi4
貧農	bin2 non4
貧道	bin2 dau4
貨單	hu5 te3
貨場	hu5 zan3
貨幣	hu5 bi3
貨幣化	hu5 bi9 hua3
貨幣地租	hu5 bi9 di9 tsu3
貨幣資本	hu5 bi9 tsy9 pen3
貨幣量	hu5 bi9 lian3
貨架	hu5 ka3
貨棧	hu5 ze3
貨櫃	hu5 gue3
貨款	hu5 khue3
貨源	hu5 gnioe3
貨物	hu5 veq3
貨真價實	hu5 tsen9 ka9 zeq3
貨船	hu5 zoe3
貨艙	hu5 tshaon3
貨色	hu5 seq3
貨車	hu5 tsho3
貨輪	hu5 len3
貨運	hu5 yun3
貨運量	hu5 yun9 lian3
販夫	fe5 fu3
販子	fe5 tsy3
販毒	fe5 doq3
販賣	fe5 ma3
販運	fe5 yun3
貪圖	thoe5 du3
貪墨	thoe5 meq3
貪婪	thoe5 le3
貪官	thoe5 kuoe3
貪官污吏	thoe5 kuoe9 u9 li3
貪得無厭	thoe5 teq9 wu9 i3
貪心	thoe5 sin3
貪戀	thoe5 li3
貪欲	thoe5 yoq3
貪污	thoe5 u3
貪生怕死	thoe5 san9 pha9 sy3
貪財	thoe5 ze3
貪贓枉法	thoe5 tsaon9 uaon9 faq3
貫串	kue5 tshoe3
貫徹	kue5 tsheq3
貫穿	kue5 tshoe3
貫通	kue5 thon3
責令	tseq5 lin3
責任	tseq5 zen3
責任人	tseq5 zen9 zen3
責任制	tseq5 zen9 tsy3
責任心	tseq5 zen9 sin3
責任感	tseq5 zen9 koe3
責備	tseq5 be3
責問	tseq5 ven3
責怪	tseq5 kua3
責成	tseq5 zen3
責打	tseq5 tan3
責斥	tseq5 tshaq3
責無旁貸	tseq5 wu9 baon9 de3
責編	tseq5 pi3
責罰	tseq5 vaq3
責罵	tseq5 mo3
責難	tseq5 ne3
貯存	zy2 zen4
貯藏	zy2 zan4
貳元	gni2 gnioe4
貳心	gni2 sin4
貳臣	gni2 zen4
貴人	kue5 gnin3
貴國	kue5 koq3
貴在	ciu5 ze3
貴妃	kue5 fi3
貴姓	kue5 sin3
貴婦	kue5 vu3
貴子	kue5 tsy3
貴客	kue5 khaq3
貴州	kue5 tseu3
貴州省	ciu5 tseu9 san3
貴庚	kue5 kan3
貴府	kue5 fu3
貴戚	ciu5 tshiq3
貴族	kue5 zoq3
貴池	kue5 zy3
貴胄	kue5 zeu3
貴處	kue5 tshy3
貴賓	kue5 pin3
貴賤	kue5 zi3
貴重	kue5 zon3
貴金屬	ciu5 cin9 zoq3
貴院	kue5 yoe3
貴陽	kue5 yan3
貴陽市	ciu5 yan9 zy3
貴顯	kue5 shi3
貶低	pi5 ti3
貶值	pi5 zeq3
貶責	pi5 tseq3
買下	ma2 gho4
買不起	ma2 peq4 chi4
買主	ma2 tsy4
