ᎯᎠ ᎪᏪᎵ ᎧᏃᎮᎭ ᎤᏁᏢᏔᏅᎡ ᏥᏌ ᎦᎶᏁᏛ, ᏕᏫ ᎤᏪᏥ, ᎡᏆᎭᎻ ᎤᏪᏥ.	hia koweli kʰanoheha unet͡ɬə̃tʰanə̃e t͡sisa kalonetə̃ , tewi uwet͡si , ekʷahami uwet͡si .
ᏗᎦᎸᏫᏍᏓᏁᏗ ᎾᏍᏊ ᏍᏓᏱ ᎠᏩᏛᏗ ᎠᏕᎳ ᏧᏢ ᎤᏠᏱᏊ ᎣᎦᎵᎰᎻ. ᏄᎵᏍᏔᏁᏃ ᎡᏂᏗ ᎤᎪᎮ ᎪᏪᎳᏅ ᏗᏁᎶᏗᏱ ᏚᏆᏅᏓᏛ ᎦᏃᏣᎵᏍᎩ Ꮟ.Ꮟ. ᏚᏪᏒᏔ ᎠᏰᎵ ᏚᏙᏢᏒ ᎠᏓᎾᏫᏍᏙᏗ. ᎪᎯᏴᎢᏃ ᎤᏃᏪᏎᎴ ᏗᏝᏃᎮᏗᏍᎩ, “ᎠᏆᏅᏛᏃ ᎠᏆᏝᏂᎩᏓ ᎨᏒ ᎠᎴ ᎬᏩᏓᎾᏫᏍᏙᏗ ᎨᏒᎢ, ᎠᎴ ᎠᎩᏍᏆᏙᎾ ᎦᏓᏅᏖᏍᎬ ᏓᏭᎪᏔᏅ ᎤᏠᏱᏊ ᎢᎦᎢ ᎠᏆᏜᏅᏓᏕᎲ ᏏᏃᎩᎶ ᏅᏩᏓᎴ.”	tikalə̃wistaneti naskʷu staji awatə̃ti atela t͡sut͡ɬə̃ ut͡ɬojikʷu okalihomi . nulistʰaneno eniti ukohe kowelanə̃ tinelotiji tukʷanə̃tatə̃ kanot͡saliski si . si . tuwesə̃tʰa ajeli tutot͡ɬə̃sə̃ atanawistoti . kohijə̃ino unowesele tit͡ɬanohetiski , akʷanə̃tə̃no akʷat͡ɬanikita kesə̃ ale kə̃watanawistoti kesə̃i , ale akiskʷatona katanə̃tʰeskə̃ tawukotʰanə̃ ut͡ɬojikʷu ikai akʷat͡ɬanə̃tatehə̃ sinokilo nə̃watale .
ᎠᎬᏱ ᎪᎯᎦ ᎤᎾᎴᏅᏓ ᏗᏂᏲᏟ ᎢᎦᏓ Ꮟ ᏓᎾᏕᏠᏆᏍᎦ ᎪᎯᏴᏥᎩ ᎯᎾ ᏧᏕᏘᏴᏌᏗ 2009. ᎪᎯ ᎢᎦ ᏥᏈᏍᏗ ᎣᎨᏲᎲᎦ. ᎣᏏᎨᏎᏍᏗ ᎢᎦᏕᏠᏆᎥ. ᏗᏣᎳᎩ ᏧᏂᎪᎵᏰᏗ ᎠᎴ ᏧᏃᏪᎶᏗ ᏙᏤᏲᎲᏍᎪᎢ ᏗᏂᏲᏟ ᎠᎭᏂ ᏣᎳᎩ ᏧᎾᏕᎶᏆᏍᏗᎢ.	akə̃ji kohika unalenə̃ta tinijot͡ɬi ikata si tanatet͡ɬokʷaska kohijə̃t͡siki hina t͡sutetʰijə̃sati tʰali ijakajə̃li sonela . kohi ika t͡sikʷisti okejohə̃ka . osikesesti ikatet͡ɬokʷaə̃ . tit͡salaki t͡sunikolijeti ale t͡sunoweloti tot͡sejohə̃skoi tinijot͡ɬi ahani t͡salaki t͡sunatelokʷastii .
ᏆᏟᎩ ᎯᎳᏫ (1923–2008), ᏑᏓᎵᏁᎢ ᎤᎬᏫᏳᎯ ᎠᏲᎳᏂ (1976–1990)	kʷat͡ɬiki hilawi ijakajə̃li sonelaskohit͡sikʷa tʰalisko t͡soi , tʰali ijakajə̃li t͡sanela , sutalinei ukə̃wijuhi ajolani ijakajə̃li sonelaskohit͡sikʷa kalikʷasko sutali , ijakajə̃li sonelaskohit͡sikʷa sonelaskohi
ᏆᏟᎩ ᏙᏩᎶᏫ (1944–2010), ᎠᎦᎸᏥ ᏗᎧᏃᎩᏍᎩ ᎠᎴ ᎠᏛᏁᎵᏍᎩ	kʷat͡ɬiki towalowi ijakajə̃li sonelaskohit͡sikʷa nə̃kisko nə̃ki , tʰali ijakajə̃li skohi , akalə̃t͡si tikʰanokiski ale atə̃neliski
ᎦᏚᎲᏃ ᎾᏎᎵᏗ ᏧᏙᎢᏛ ᏭᎷᏨ ᎾᎿ ᎡᎮᎢ. ᎾᏍᎩᏃ ᎤᏙᎯᏴᏁ ᎠᎾᏙᎴᎰᏍᎩ ᏧᏂᏁᏤᎢ, ᎾᏎᎵᏗ ᎡᎯ ᎠᎪᏎᎮᏍᏗ, ᏧᎾᏛᏁᎢ.	katuhə̃no naseliti t͡sutoitə̃ wulut͡sə̃ nahna ehei . naskino utohijə̃ne anatolehoski t͡suninet͡sei , naseliti ehi akosehesti , t͡sunatə̃nei .
ᎡᏆᎭᎻ ᎡᏏᎩ ᎤᏕᏁᎳᎢ; ᎡᏏᎩᏃ ᏤᎦᏡ ᎤᏕᎾᎳᎢ, ᏤᎦᏡᏃ ᎤᏓ ᎠᎴ ᎾᏍᎩ ᎠᎾᏓᏅᏟ ᎬᏩᏕᏁᎳᎢ;	ekʷahami esiki utenelai , esikino t͡sekat͡ɬu utenalai , t͡sekat͡ɬuno uta ale naski anatanə̃t͡ɬi kə̃watenelai ,
ᎤᏓᏃ ᏇᎵᏏ ᎠᎴ ᏎᎳ ᎬᏩᏕᏁᎳᎢ ᏖᏑ ᏙᎾᏄᎪᏫᏎᎢ; ᏇᎵᏏᏃ ᎢᏏᎳᎻ ᎤᏕᏁᎳᎢ; ᎢᏏᎳᎻᏃ ᎡᎵᎻ ᎤᏕᏁᎳᎢ;	utano kʷelisi ale sela kə̃watenelai tʰesu tonanukowisei , kʷelisino isilami utenelai , isilamino elimi utenelai ,
ᏌᎵᏑᏃ ᏉᏏ ᎤᏕᏁᎳᎢ ᎴᎭᏫ ᎤᎾᏄᎪᏫᏎᎢ; ᏉᏏᏃ ᎤᏇᏗ ᎤᏕᏁᎳᎢ ᎷᏏ ᎤᎾᏄᎪᏫᏎᎢ; ᎤᏇᏗᏃ ᏤᏏ ᎤᏕᏁᎳᎢ;	salisuno kʷosi utenelai lehawi unanukowisei , kʷosino ukʷeti utenelai lusi unanukowisei , ukʷetino t͡sesi utenelai ,
ᏤᏏᏃ ᏕᏫ ᎤᎬᏫᏨᎯ ᎤᏕᏁᎳᎢ; ᏕᏫᏃ ᎤᎬᏫᏳᎯ ᏐᎵᏑᏅ ᎤᏕᏁᎳᎢ ᏳᎳᏯ ᎤᏓᏴᏛ ᎤᎾᎸᎪᏫᏎᎢ;	t͡sesino tewi ukə̃wit͡sə̃hi utenelai , tewino ukə̃wijuhi solisunə̃ utenelai julaja utajə̃tə̃ unalə̃kowisei ,
ᎡᏏᏃ ᏦᏏᏆ ᎤᏕᏁᎳᎢ. ᏦᏏᏆᏃ ᏦᎳᎻ ᎤᏕᏁᎳᎢ; ᏦᎳᎻᏃ ᎣᏌᏯ ᎤᏕᏁᎳᎢ;	esino t͡sosikʷa utenelai . t͡sosikʷano t͡solami utenelai , t͡solamino osaja utenelai ,
ᏌᏊᎢᏳᎾᎵᏍᏔᏅᏍᎦᏚᎩ ᎾᎿ ᎠᎺᏰᏟ (ᎠᎹᏰᏟ ᎠᎴ "ᎠᎺᎢ") ᎤᏴᏢᎢ-ᎠᎺᎵᎦ ᎠᏰᎵ ᎤᏙᏢᏒ ᏭᏕᎵᎬᏗᏢ ᎠᏰᎵ-ᎢᏴ ᎠᎳᏍᎦᎶᏗ ᎨᏒ, ᎤᎭ ᎬᏩᏚᏫᏛ 290,000,000 ᎠᏂᎤᏁᎦ. ᏄᎬᏫᏳᏌᏕᎩ, ᏗᎧᏃᏩᏛᏍᏗ ᏓᏃᏢᏍᎬ, ᎠᎴ ᏗᏓᏱᎵᏓᏍᏗ (Judicial) ᏧᏂᎸᏫᏍᏓᏁᏗ ᎨᎦᏓᏅᏖᎮᎯ ᎨᏒᎢ. ᎠᏂᏍᏆᏂᎢ ᎠᎴ ᎧᎾᏓ.	sakʷuijunalistʰanə̃skatuki nahna amejet͡ɬi amajet͡ɬi ale amei ujə̃t͡ɬə̃i amelika ajeli utot͡ɬə̃sə̃ wutelikə̃tit͡ɬə̃ ajeli ijə̃ alaskaloti kesə̃ , uha kə̃watuwitə̃ tʰali sonela notʰi notʰi notʰi notʰi notʰi notʰi notʰi aniuneka . nukə̃wijusateki , tikʰanowatə̃sti tanot͡ɬə̃skə̃ , ale titajilitasti d͡ʒuːdˈɪʃəɫ t͡sunilə̃wistaneti kekatanə̃tʰehehi kesə̃i . aniskʷanii ale kʰanata .
WikiLang ᏣᎳᎩ page (Basic grammar information)	wˈɪkəlˌæŋ t͡salaki pʰˈeᶦd͡ʒ bˈeᶦsɪk ɡɹˈæmɚ ˌɪnfɚmˈeᶦʃən
UNILANG forum for freely available teaching materials. (Includes PDF textbook and audio files).	jˈuːnilˌæŋ fˈɔːɹəm fˈɔːɹ fɹˈiːli əvˈeᶦləbəɫ tʰˈiːt͡ʃɪŋ mətʰˈɪɹiʲəɫz . ɪŋklˈuːdz pʰˌiːd̬iːʲˈɛf tʰˈɛkstbʊk ˈənd ˈɑːd̬iʲˌoᶷ fˈaᶦɫz .
ᎯᎠ ᏣᎳᎩ ᎠᏰᎵ ᎤᏙᏢᏒ ᎾᏍᎩ ᎾᏍᏇ ᎠᎵᏍᏕᎸᏗ ᎯᎠ Sundance ᎠᎴ ᏣᎳᎩ ᏫᏚᏳᎪᏛ ᏓᎾᎵᏍᏓᏴᎲᏍᎬ ᎭᏫᎾᏗᏢ Tahlequah, ᎣᎦᎳᎰᎻ ᎠᎴ ᎠᏣᏪᏐᎸᏍᏙᏗ ᎦᏚᎲᎢ, Utah, ᎠᎴ ᏓᏓᏁᎳᏁ ᎢᏗᏛᏁᏗ ᎠᎴ ᏧᎬᏩᎶᏗ ᎦᎷᎩ ᎾᏍᎩᎾᎢ ᎾᏰᎯᏯ ᏴᏩᏁᎬ ᏫᏚᏳᎪᏛ ᎪᏪᎵ ᎠᏪᎵ ᎪᏪᎵᏍᏗ participate ᎭᏫᎾᏗᏢ ᎯᎠ ᎠᏌᎳᏙᏗ ᏗᏟᎶᏍᏔᏅ ᏗᎦᎸᏫᏍᏓᏁᏗ. ᎤᎪᏗᏗ ᏗᎦᏃᏣᎵ ᎾᏰᎯᏯ ᏴᏩᏁᎬ ᎠᏛᏁᎵᏍᎩ ᎠᎴ ᎠᏁᎳ ᎯᎠ ᏣᎳᎩ ᎠᏰᎵ ᎤᏙᏢᏒ, ᏯᏛᎿ ᏥᏄᏍᏗ ᏪᏌ ᏎᏚᏗ.	hia t͡salaki ajeli utot͡ɬə̃sə̃ naski naskʷe alistelə̃ti hia sˈʌndæns ale t͡salaki witujukotə̃ tanalistajə̃hə̃skə̃ hawinatit͡ɬə̃ tʰˈɑːlɪkwə , okalahomi ale at͡sawesolə̃stoti katuhə̃i , jˈuːt̬ɔː , ale tatanelane ititə̃neti ale t͡sukə̃waloti kaluki naskinai najehija jə̃wanekə̃ witujukotə̃ koweli aweli kowelisti pɑːɹtˈɪsəpʰˌeᶦt hawinatit͡ɬə̃ hia asalatoti tit͡ɬilostʰanə̃ tikalə̃wistaneti . ukotiti tikanot͡sali najehija jə̃wanekə̃ atə̃neliski ale anela hia t͡salaki ajeli utot͡ɬə̃sə̃ , jatə̃hna t͡sinusti wesa setuti .
ᎾᏍᎩ ᎤᏁᎳᎩ ᎯᎠ UKB ᏄᏂᎬᏫᏳᏌᏕᎩ ᎨᏒᎢ ᏂᎬᎢ criticized ᎾᎥᎢ ᎯᎠ ᏣᎳᎩ ᏴᏫ ᎾᎾᎢ ᎡᏆ, ᎤᎪᏗᏗ ᎯᎠ UKB ᎠᏁᎳ ᎠᎴ ᎠᏂᏏᏴᏫ ᏄᎾᏍᏛ ᏗᏓᏘᏁᎯ ᎯᎠ ᏣᎳᎩ ᏴᏫ ᎠᎴ ᎠᎴ ᎦᎸᎳᏗᎨᏍᏗ ᎪᎯᏳᏅᎯ. ᎤᎪᏗᏗ ᎦᎸᎳᏗᎨᏍᏗ ᎪᎯᏳᏅᎯ ᎠᎴ revered ᏣᎳᎩ traditionalists ᎭᏫᏂᏗᏢ ᎣᎦᎳᎰᎻ ᎠᎴ ᎠᏁᎳ ᎢᏧᎳ ᎯᎠ UKB ᎠᎴ ᎯᎠ ᏣᎳᎩ ᎠᏰᎵ ᎤᏙᏢᏒ.	naski unelaki hia jˈuː kʰˈeᶦ bˈiː nunikə̃wijusateki kesə̃i nikə̃i kɹˈɪt̬əsˌaᶦzd naə̃i hia t͡salaki jə̃wi nanai ekʷa , ukotiti hia jˈuː kʰˈeᶦ bˈiː anela ale anisijə̃wi nunastə̃ titatʰinehi hia t͡salaki jə̃wi ale ale kalə̃latikesti kohijunə̃hi . ukotiti kalə̃latikesti kohijunə̃hi ale ɹᵻvˈɪɹd t͡salaki tɹədˈɪʃnələsts hawinitit͡ɬə̃ okalahomi ale anela it͡sula hia jˈuː kʰˈeᶦ bˈiː ale hia t͡salaki ajeli utot͡ɬə̃sə̃ .
Brad Carson, ᎠᎴᏅᏔᏅ ᎠᏫᏒᏗ ᎧᏃᎮᎭ ᏗᏂᎳᏫᎩ, ᎠᏍᎪᎵ ᏣᎳᎩ ᎠᏰᎵ ᎤᏙᏢᏒ ᏗᎦᎸᏫᏍᏓᏁᏗ, Tribal ᎨᎳ ᏣᎳᎩ ᎠᏰᎵ ᎤᏙᏢᏒ;	bɹˈæd kʰˈɑːɹsən , alenə̃tʰanə̃ awisə̃ti kʰanoheha tinilawiki , askoli t͡salaki ajeli utot͡ɬə̃sə̃ tikalə̃wistaneti , tɹˈaᶦbəɫ kela t͡salaki ajeli utot͡ɬə̃sə̃ ,
ᎩᏚᏩ ᎤᎾᏙᏢᎯ, ᏣᎳᎩ ᏗᏓᏘᏁᎯ ᎠᎴ ᎠᏓᏎᎮᎮᎯ, Tribal ᎨᎳ, UKB;	kituwa unatot͡ɬə̃hi , t͡salaki titatʰinehi ale atasehehehi , tɹˈaᶦbəɫ kela , jˈuː kʰˈeᶦ bˈiː ,
ᎬᎾ ᏑᎵ ᎧᏃᎮᏓ ᎦᏂᏓᏛ,ᎠᏖᎳ ᎤᏁᎦ [lining that extends from the tip of its wing along the rear of the wing to its body, ᏃᎴ a head with reddish skin. The ᎬᏂᎨ ᏑᎵ has a shorter tail, silver splotches near the tips of its wings, ᏃᎴ a head with grayish skin. Both ᎬᏂᎨ ᏑᎵ ᏃᎴ ᎬᎾ ᏑᎵ ᎯᎸᏍᎩ ᏥᏍᏆ	kə̃na suli kʰanoheta kanitatə̃ , atʰela uneka lˈaᶦnɪŋ ðˈæt ɪkstˈɛndz fɹˈʌm ðˈə tʰˈɪp ˈʌv ˈɪts wˈɪŋ əlˈɔːŋ ðˈə ɹˈɪɹ ˈʌv ðˈə wˈɪŋ tʰˈuː ˈɪts bˈɑːd̬i , nole ˈə hˈɛd wˈɪð ɹˈɛd̬ɪʃ skˈɪn . ðˈə kə̃nike suli hˈæz ˈə ʃˈɔːɹt̬ɚ tʰˈeᶦɫ , sˈɪɫvɚ splˈɑːt͡ʃɪz nˈɪɹ ðˈə tʰˈɪps ˈʌv ˈɪts wˈɪŋz , nole ˈə hˈɛd wˈɪð ɡɹˈeᶦɪʃ skˈɪn . bˈoᶷθ kə̃nike suli nole kə̃na suli hilə̃ski t͡siskʷa
ᏑᎵ was formerly a handsome ᏥᏍᏆ with a topknot that ate only freshly killed meat. In one of the stories, the other animals punished ᏑᎵ for its overbearing pride by tricking it into losing the feathers on its head so that ᏑᎵ was shamed into eating carrion. In other stories, ᏑᎵ lost its head feathers in a futile attempt to obtain the first fire.	suli wˈɑːz fˈɔːɹmɚli ˈə hˈænsəm t͡siskʷa wˈɪð ˈə tʰˈɑːpnɑːt ðˈæt ˈeᶦt ˈoᶷnli fɹˈɛʃli kʰˈɪɫd mˈiːt . ˈɪn wˈʌn ˈʌv ðˈə stˈɔːɹiz , ðˈə ˈʌðɚ ˈænəməɫz pʰˈʌnɪʃt suli fˈɔːɹ ˈɪts ˈoᶷvɚbˈɛɹɪŋ pɹˈaᶦd bˈaᶦ tɹˈɪkɪŋ ˈɪt ˈɪntuː lˈuːzɪŋ ðˈə fˈɛðɚz ˈɑːn ˈɪts hˈɛd sˈoᶷ ðˈæt suli wˈɑːz ʃˈeᶦmd ˈɪntuː ˈiːt̬ɪŋ kʰˈɛɹiʲən . ˈɪn ˈʌðɚ stˈɔːɹiz , suli lˈɔːst ˈɪts hˈɛd fˈɛðɚz ˈɪn ˈə fjˈuːt̬əɫ ətʰˈɛmpt tʰˈuː əbtˈeᶦn ðˈə fˈɝst fˈaᶦɚ .
ᏱᏂᎬᏛᎾ, ᎯᎠ ᏣᎳᎩ, ᎾᏍᎩ ᎤᏤᎵ ᏧᏩᎫᏔᏅᏒ ᎠᏂᎳᏍᏓᎸ ᏗᎦᏙᎯ ᎫᏢᎥᏍᎬ ᎯᎠ ᎠᏍᏓᏅᏅ ᏣᏥᏱ, ᏔᎾᏏ, ᎤᏴᏢ ᏗᎧᏃᎩᏛ, ᎠᎴ Alabama, ᎠᏓᏱᎸ ᎠᏓᏅᏍᏗ. ᎤᏅᏌ ᎪᏢᏅ ᎠᏰᎵ ᏗᎦᎳᏫᎢᏍᏗ ᎭᏫᎾᏗᏢ 1825 ᎾᎾᎢ ᎢᏤ ᎡᏦᏔ (ᎾᎥᏂᎨ ᎡᏙᎠ-ᎢᎦ Calhoun, ᏣᏥᏱ). ᎤᏗᏗᏢᎢᎨᏍᏙᏗ, ᎤᏗᏅᏒᎩ ᎾᎥᎢ ᏄᎬᏫᏳᏌᏕᎩ ᎤᎬᏫᏳᎯ ᏣᏂ Ross ᎠᎴ ᎠᏂᏯᏩᏍᎩ ᏄᎬᏫᏳᏒ ᏣᎴᎩ, ᎯᎠ ᎦᏬᏂᏍᎩ ᎯᎠ ᏣᎳᎩ ᎬᎾᏕᎾ ᏗᏂᎳᏫᎩ, ᎯᎠ ᏣᎳᎩ ᎠᏠᏯᏍᏔᏅᎯ ᎪᏪᎳᏅᎯ ᎦᎫᏍᏛᏗ ᏀᎾ ᎫᏰᏉᏂ 26, 1827, ᎧᏁᎢᏍᏗ ᎯᎠ ᏣᎳᎩ ᎠᏰᎵ ᎤᏙᏢᏒ ᎾᏍᏋ ᏄᎬᏫᏳᏌᏕᎩ ᎠᎴ ᎤᎾᏤᎵᏛ ᎤᎾᏙᏢᎯ ᎠᏰᎵ ᎤᏙᏢᏒ.	jinikə̃tə̃na , hia t͡salaki , naski ut͡seli t͡suwakutʰanə̃sə̃ anilastalə̃ tikatohi kut͡ɬə̃ə̃skə̃ hia astanə̃nə̃ t͡sat͡siji , tʰanasi , ujə̃t͡ɬə̃ tikʰanokitə̃ , ale ˌæləbˈæmə , atajilə̃ atanə̃sti . unə̃sa kot͡ɬə̃nə̃ ajeli tikalawiisti hawinatit͡ɬə̃ ijakajə̃li nelaskohit͡sikʷa tʰalisko hiski nanai it͡se et͡sotʰa naə̃nike etoa ika kæɫhˈuːn , t͡sat͡siji . utitit͡ɬə̃ikestoti , utinə̃sə̃ki naə̃i nukə̃wijusateki ukə̃wijuhi t͡sani ɹˈɑːs ale anijawaski nukə̃wijusə̃ t͡saleki , hia kawoniski hia t͡salaki kə̃natena tinilawiki , hia t͡salaki at͡ɬojastʰanə̃hi kowelanə̃hi kakustə̃ti nana kujekʷoni tʰalisko sutali , ijakajə̃li nelaskohit͡sikʷa tʰalisko kalikʷoki , kʰaneisti hia t͡salaki ajeli utot͡ɬə̃sə̃ naskʷə̃ nukə̃wijusateki ale unat͡selitə̃ unatot͡ɬə̃hi ajeli utot͡ɬə̃sə̃ .
ᎭᏫᎾᏗᏢ 1835, ᏤᎩ ᎤᏪᏥ ᎠᏑᏰᏛ ᎠᏥᎸᏉᏗ ᏣᏂ F. Schermerhorn ᏥᏄᏍᏗ ᎧᏃᎮᏛ ᏓᏠᎯᏍᏛ ᎧᎻᏏᏂ. ᎯᎠ Ꭴ.. ᎠᏰᎵ ᎤᏙᏢᏒ ᎧᏁᎢᏍᏔᏅ ᎠᎫᏴᏗ ᎯᎠ ᏣᎳᎩ ᎠᏰᎵ ᎤᏙᏢᏒ 4.5 ᎢᏳᏆᏗᏅᏓ ᎤᏂᏃᏍᏓ (ᏄᎾᏛᏅ ᏐᎢ ᏗᏓᏁᏤᏗ) ᎠᎲᏍᏗ ᎤᏅᏌ. ᎾᏍᎩ ᎯᎠ ᏓᏓᎴᏂᏍᎬ ᎨᏒᎩ ᎠᏓᏯᏍᏗ ᎭᏫᎾᏗᏢ ᏚᏂᏃᏗ 1835 ᎠᏥᏅᏏᏓᏍᏗ ᏧᎸᏫᏍᏓᏁᏗ ᏣᎳᎩ ᎠᏰᎵ ᎤᏙᏢᏒ ᏗᏂᎳᏫᎩ. ᎤᎬᏫᏳᎯ Ross, ᎠᏁᎶᏗᏍᎩ ᎠᏒᏢᎢ ᎯᎠ ᏧᏠᎯᏍᏗ ᎠᏰᎵ ᎤᏤᎵ ᏄᏂᎬᏫᏳᏌᏕᎩ ᎠᎴ ᎯᎠ ᏣᎴᎩ ᎤᎾᏓᏟᏌᎲ, ᎠᎵᏍᏕᎸᏗ ᏬᏏᏓᏂ ᎬᏙᏗ ᏣᏂ ᏣᎴᎩ ᎠᏍᏚᎢᏛ ᎢᏤ ᏄᏍᏛ ᏚᎾᎵᏃᎮᎸ, ᎠᎴ ᎤᏅᏌ ᎨᏒᎩ ᎤᎦᏔᎲᏒ ᎤᏣᏘᎾ ᎠᎴ ᎤᏃᎮᎴᎢ ᎾᏛᏁᎲ Schermerhorn.	hawinatit͡ɬə̃ ijakajə̃li nelaskohit͡sikʷa t͡sosko hiski , t͡seki uwet͡si asujetə̃ at͡silə̃kʷoti t͡sani ˈɛf . ʃˈɝmɚhɚn t͡sinusti kʰanohetə̃ tat͡ɬohistə̃ kʰamisini . hia u . ajeli utot͡ɬə̃sə̃ kʰaneistʰanə̃ akujə̃ti hia t͡salaki ajeli utot͡ɬə̃sə̃ nə̃ki hiski ijukʷatinə̃ta uninosta nunatə̃nə̃ soi titanet͡seti ahə̃sti unə̃sa . naski hia tataleniskə̃ kesə̃ki atajasti hawinatit͡ɬə̃ tuninoti ijakajə̃li nelaskohit͡sikʷa t͡sosko hiski at͡sinə̃sitasti t͡sulə̃wistaneti t͡salaki ajeli utot͡ɬə̃sə̃ tinilawiki . ukə̃wijuhi ɹˈɑːs , anelotiski asə̃t͡ɬə̃i hia t͡sut͡ɬohisti ajeli ut͡seli nunikə̃wijusateki ale hia t͡saleki unatat͡ɬisahə̃ , alistelə̃ti wositani kə̃toti t͡sani t͡saleki astuitə̃ it͡se nustə̃ tunalinohelə̃ , ale unə̃sa kesə̃ki ukatʰahə̃sə̃ ut͡satʰina ale unohelei natə̃nehə̃ ʃˈɝmɚhɚn .
ᎯᎠ ᏎᏍᏗ ᏴᏫ ᎦᎪ ᎤᏲᎱᏒ ᏥᏄᏍᏗ ᏄᎵᏍᏔᏅ ᎯᎠ ᏅᎾᏓᎤᎳᏨᏱ ᎤᎭ ᏭᏪᏙᎢ ᏧᏓᎴᏅᏓ ᎠᎦᏎᏍᏔᏅ. ᏴᏩᏁᎬ ᎦᎾᎦᏘ ᎠᎴ ᎧᏃᎮᏛ ᎨᏥᏅᏏᏓ Elizur ᎠᏍᎦᏯ ᎦᎵᏦᏕ ᎠᏥᎾᏝᎢ, ᎦᎪ ᎪᏢᏅᎯ ᎯᎠ ᎥᎢᏒᎢ ᎬᏙᏗ ᏌᏊ ᎤᎾᏓᏟᏌᎲ, ᎠᎦᏎᏍᏔᏅ 2,000 ᎠᏲᎱᎯᏍᏗ ᎭᏫᎾᏗᏢ ᎯᎠ ᎠᎴᏫᏍᏙᏗ ᎠᎴ 2,000 ᏀᎾ ᎯᎠ ᎤᏍᏗ ᎦᏅᏅ; ᎤᏤᎵ ᏂᎦᏛ ᎦᏟᏌᏅ 4,000 ᎠᏲᎱᎯᏍᏗ ᎤᎾᎵᏃᎯᏴᎯ ᏄᎬᏫᏳᏌᏕᎩ ᎦᏁᎳ ᎠᏎᏍᏙ. ᏗᏕᎶᏆᏍᎩ ᎢᎬᎾᏗ ᎠᏨᏍᏛ ᎠᎦᏎᏍᏙᏗ ᎭᏫᎾᏗᏢ 1973 ᎠᎦᏎᏍᏔᏅ 2,000 ᏂᎦᏛ ᎦᏟᏌᏅ ᎠᏲᎱᎯᏍᏗ; ᏄᏓᎴ, ᎭᏫᎾᏗᏢ 1984, ᎠᏍᏆᏛ Ꮎ ᏂᎦᏛ ᎦᏟᏌᏅ 8,000 ᏴᏫ ᎤᏲᎱᏒ.	hia sesti jə̃wi kako ujohusə̃ t͡sinusti nulistʰanə̃ hia nə̃nataulat͡sə̃ji uha wuwetoi t͡sutalenə̃ta akasestʰanə̃ . jə̃wanekə̃ kanakatʰi ale kʰanohetə̃ ket͡sinə̃sita ɪlˈɪzɚ askaja kalit͡sote at͡sinat͡ɬai , kako kot͡ɬə̃nə̃hi hia ə̃isə̃i kə̃toti sakʷu unatat͡ɬisahə̃ , akasestʰanə̃ tʰali ijakajə̃li ajohuhisti hawinatit͡ɬə̃ hia alewistoti ale tʰali ijakajə̃li nana hia usti kanə̃nə̃ , ut͡seli nikatə̃ kat͡ɬisanə̃ nə̃ki ijakajə̃li ajohuhisti unalinohijə̃hi nukə̃wijusateki kanela asesto . titelokʷaski ikə̃nati at͡sə̃stə̃ akasestoti hawinatit͡ɬə̃ ijakajə̃li sonelaskohit͡sikʷa kalikʷasko t͡soi akasestʰanə̃ tʰali ijakajə̃li nikatə̃ kat͡ɬisanə̃ ajohuhisti , nutale , hawinatit͡ɬə̃ ijakajə̃li sonelaskohit͡sikʷa nelasko nə̃ki , askʷatə̃ na nikatə̃ kat͡ɬisanə̃ t͡sanela ijakajə̃li jə̃wi ujohusə̃ .
ᏣᎳᎩ ᎪᏪᎵᏍᎩ Robert ᎪᎯᏳᏙᏗ ᏂᎬᏅ ᎢᏯᏓᏛᏁᎸ ᎯᎠ ᎤᏍᏗ ᎦᏅᏅ ᎭᏫᎾᏗᏢ ᎣᏓᎸ ᏅᎩᏨᎴ ᎧᏃᎩᏍᏗ (1992)	t͡salaki koweliski ɹˈɑːbɚt kohijutoti nikə̃nə̃ ijatatə̃nelə̃ hia usti kanə̃nə̃ hawinatit͡ɬə̃ otalə̃ nə̃kit͡sə̃le kʰanokisti ijakajə̃li sonelaskohit͡sikʷa sonelasko tʰali
ᎤᎪᏗᏗ ᎢᏗᎦᎸᎳᏗ ᎭᏫᎾᏗᏢ Glenn J. Twist's ᎤᏓᏂᏝᏅ ᎠᏍᏆᏂᎪᏒᏗ ᎣᏓᎸ ᎠᏓᏃᎮᏗ ᎢᏯᏓᏛᏁᎸ ᎯᎠ ᎤᏍᏗ ᎦᏅᏅ ᎠᎴ ᏂᏕᎦᎵᏍᏔᏂᏙᎲ ᏓᏓᏘᏂᏒ ᎢᏳᏩᎪᏗ ᎯᎠ ᎤᏍᏗ ᎦᏅᏅ	ukotiti itikalə̃lati hawinatit͡ɬə̃ ɡlˈɛn d͡ʒˈeᶦ . twˈɪsts utanit͡ɬanə̃ askʷanikosə̃ti otalə̃ atanoheti ijatatə̃nelə̃ hia usti kanə̃nə̃ ale nitekalistʰanitohə̃ tatatʰinisə̃ ijuwakoti hia usti kanə̃nə̃
