’परती टूटि रहल अछि’ - मैथिली कविता सङ्ग्रह - १९९३	pˈəɾt̪iː ʈˈuːʈɪ ɾˈəɦəl ˈət͡ʃʰɪ mˈəɪt̪ʰɪliː kˈəʋɪt̪aː sˈəŋɡɾəɦ ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ t̪ɪɾˈaːnʋe
देशक जम्मा उत्पादनक ७०% मुर्गा उत्पादन चितवनमे होएत अछि। नयाँ समयमे फुल खेती, च्याउ खेती, मह लगायतक बिभिन्न नयाँ चिजक सुरूवात भेल अछि।	d̪ˈeʃək d͡ʒˈəmːaː ʊt̪pˈaːd̪nək sˈət̪ːəɾ pɾˈət̪ɪʃət̪ mˈʊɾɡaː ʊt̪pˈaːd̪ən t͡ʃɪt̪ʋˈənme ɦˈoet̪ ˈət͡ʃʰɪ . nˈəjaː̃ səmˈəjme pʰˈʊl kʰˈet̪iː , t͡ʃjˈaːʊ kʰˈet̪iː , mˈəɦ ləɡˈaːjt̪ək bˈɪbʱɪnː nˈəjaː̃ t͡ʃˈɪd͡ʒək sʊɾuːʋˈaːt̪ bʱˈel ˈət͡ʃʰɪ .
संयुक्त राज्य अमेरिका, (सामान्यत: अमेरिका, यु.एस.ए. वा यु.एस.) संवैधानिक सङ्घीय गणतन्त्रमे आधारित उत्तर अमेरिका महादेशमे रहल विश्वक चारिम पैग राष्ट्र छी। पचासटा संवैधानिक राज्यमे बाँटल अमेरिकाक राजधानी वाशिङ्टन डी.सी. छी। एतौका अठ्चालीस राज्य प्रशान्त महासागर आ एटलान्टिक महासागरसभक बीचमे मध्य उत्तर अमेरिकामे पडैत अछि जेकर उत्तरमे क्यानडा आ दक्षिणमे मेक्सिको अछि।	sə̃jˈʊkt̪ ɾˈaːd͡ʒj ˈəmeɾɪkaː , saːmˈaːnjət̪ , ˈəmeɾɪkaː , jˈʊ . ˈes . ˈe . ʋˈaː jˈʊ . ˈes . sə̃ʋəɪd̪ʱˈaːnɪk səŋɡʱˈiːj ɡəɳt̪ˈənt̪ɾəme aːd̪ʱˈaːɾɪt̪ ˈʊt̪ːəɾ ˈəmeɾɪkaː məɦaːd̪ˈeʃme ɾˈəɦəl ʋˈɪʃʋək t͡ʃˈaːɾɪm pˈəɪɡ ɾˈaːʂʈɾ t͡ʃʰˈiː . pət͡ʃˈaːsʈaː sə̃ʋəɪd̪ʱˈaːnɪk ɾˈaːd͡ʒjəme bˈaː̃ʈəl əmeɾɪkˈaːk ɾˈaːd͡ʒd̪ʱaːniː ʋaːʃˈɪŋʈən ɖˈiː . sˈiː . t͡ʃʰˈiː . ˈet̪əʊkaː əʈʰt͡ʃaːlˈiːs ɾˈaːd͡ʒj pɾəʃˈaːnt̪ məɦaːsˈaːɡəɾ ˈaː eʈlˈaːnʈɪk məɦaːsˈaːɡɾəsbʱək bˈiːt͡ʃme mˈəd̪ʱj ˈʊt̪ːəɾ əmeɾɪkˈaːme pˈəɖəɪt̪ ˈət͡ʃʰɪ d͡ʒˈekəɾ ʊt̪ːˈəɾme kjˈaːnɖaː ˈaː d̪əkʂˈɪɳme mˈeksɪko ˈət͡ʃʰɪ .
हम देखलहुँ जे काकी’क मुँह मे बुरलेल शब्द आबैत आबैत रुकि गेलनि. पत्नीधर्म इन्टरनेट सँ जोगाएल जानकारी पर बेसी भारी पड़ि रहल छलनि. ओ शालीनता सँ उत्तर देलथिन, “ओसामाक मरने किछु नहि होएत. जेना कोनो पैघ कम्पनी’क सी.ई.ओ. “रिटायर हर्ट” भऽ गेलाह. कम्पनी’क परफोर्मेन्स किछु दिन’क लेल डाँवाडोल रहत. फेर सँ वैह. कोनो दोसर लोक एहि पद केँ ग्रहण करताह आ कम्पनी केँ उपर लऽ जेबाक लेल प्रयत्न करताह”.	ɦˈəm d̪ekʰˈəlɦʊ̃ d͡ʒˈe kˈaːkiː kˈə mˈʊ̃ɦ mˈe bˈʊɾlel ʃˈəbd̪ ˈaːbəɪt̪ ˈaːbəɪt̪ ɾˈʊkɪ ɡˈelnɪ . pət̪niːd̪ʱˈəɾm ɪnʈˈəɾneʈ sˈə̃ d͡ʒoɡˈaːel d͡ʒˈaːnkaːɾiː pˈəɾ bˈesiː bʱˈaːɾiː pˈəɽɪ ɾˈəɦəl t͡ʃʰˈəlnɪ . ˈo ʃaːlˈiːnt̪aː sˈə̃ ˈʊt̪ːəɾ d̪ˈelt̪ʰɪn , osaːmˈaːk mˈəɾne kˈɪt͡ʃʰʊ nˈəɦɪ ɦˈoet̪ . d͡ʒˈenaː kˈono pˈəɪɡʱ kˈəmpəniː kˈə sˈiː . ˈiː . ˈo . ɾɪʈˈaːjəɾ ɦˈəɾʈ bʱˈə ɡelˈaːɦ . kˈəmpəniː kˈə pəɾpʰoɾmˈens kˈɪt͡ʃʰʊ d̪ˈɪn kˈə lˈel ɖaː̃ʋˈaːɖol ɾˈəɦət̪ . pʰˈeɾ sˈə̃ ʋˈəɪɦ . kˈono d̪ˈosəɾ lˈok ˈeɦɪ pˈəd̪ kˈẽ ɡɾˈəɦəɳ kəɾt̪ˈaːɦ ˈaː kˈəmpəniː kˈẽ ˈʊpəɾ lˈə d͡ʒebˈaːk lˈel pɾəjˈət̪n kəɾt̪ˈaːɦ .
सुरू कालिम्पोङ्गमे वुलेटिन १९६६ ई.स. मे प्रकाशित भेल अछि।	sˈʊɾuː kaːlɪmpˈoŋɡəme ʋˈʊleʈɪn ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ t͡ʃʰɪjˈaːsəʈʰ ˈiː . sˈə . mˈe pɾəkˈaːʃɪt̪ bʱˈel ˈət͡ʃʰɪ .
चेतना समिति पटनाक आजीवन सदस्य एवं संगठन सचिव ( 1969 स 1973)	t͡ʃˈet̪naː sˈəmɪt̪ɪ pəʈnˈaːk aːd͡ʒˈiːʋən səd̪ˈəsj ˈeʋə̃ sˈə̃ŋɡəʈʰən sˈət͡ʃɪʋ ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ ˈʊnɦət̪ːəɾ sˈə ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ t̪ˈɪɦət̪ːəɾ
चेतना समिति पटना द्वारा गठित मातृभाषा रक्षा समिति (1978ई०) एवं मैथिली संघर्ष समिति (1992 ई०) क संयोजक ।	t͡ʃˈet̪naː sˈəmɪt̪ɪ pˈəʈnaː d̪ʋˈaːɾaː ɡˈəʈʰɪt̪ mˈaːt̪ɾɪbʱaːʂaː ɾˈəkʂaː sˈəmɪt̪ɪ ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ ˈəʈʰɦət̪ːəɾ ˈiː ʃˈuːnj ˈeʋə̃ mˈəɪt̪ʰɪliː sə̃ŋɡʱˈəɾʂ sˈəmɪt̪ɪ ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ bˈaːnʋe ˈiː ʃˈuːnj kˈə sˈə̃jod͡ʒək .
साहित्य अकादेमी, नई दिल्लीक मैथिली परामर्श दात्री समितिक सदस्य (1988 सँ 1992 धरि) ।	saːɦˈɪt̪j əkˈaːd̪emiː , nˈəiː d̪ɪlːˈiːk mˈəɪt̪ʰɪliː pəɾaːmˈəɾʃ d̪ˈaːt̪ɾiː sˈəmɪt̪ɪk səd̪ˈəsj ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ əʈʈʰˈaːsiː sˈə̃ ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ bˈaːnʋe d̪ʱˈəɾɪ .
मैथिली लिट्रेचर इन बिहार- दी कम्प्रिहेंसिभ हिष्ट्ी ऑफ बिहार- सं०- डॉ० के०के० दत्त, के०पी० जयसवाल रिसर्च इन्स्टीच्यूट पटना- 1976	mˈəɪt̪ʰɪliː lˈɪʈɾet͡ʃəɾ ˈɪn bɪɦˈaːɾ d̪ˈiː kˈəmpɾɪɦẽsɪbʱ ɦˈɪʂʈ ˈɔːpʰ bɪɦˈaːɾ sˈə̃ ʃˈuːnj ɖˈɔː ʃˈuːnj kˈe ʃˈuːnj kˈe ʃˈuːnj d̪ˈət̪ː , kˈe ʃˈuːnj pˈiː ʃˈuːnj d͡ʒəjəsʋˈaːl ɾɪsˈəɾt͡ʃ ɪnsʈiːt͡ʃjˈuːʈ pˈəʈnaː ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ t͡ʃʰˈɪɦət̪ːəɾ
प्राचीन भारतीय साहित्यक कथा परम्परा एवं मैथिली साहित्यमे उपन्यासक आविर्भाव- मिथिला भारती-1970	pɾaːt͡ʃˈiːn bʱaːɾt̪ˈiːj saːɦˈɪt̪jək kˈət̪ʰaː pəɾˈəmpəɾaː ˈeʋə̃ mˈəɪt̪ʰɪliː saːɦˈɪt̪jəme ʊpənjˈaːsək aːʋɪɾbʱˈaːʋ mˈɪt̪ʰɪlaː bʱˈaːɾt̪iː ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ sˈət̪ːəɾ
विद्यापतिक काव्य सौष्ठव एवं वैष्णव भक्ति आन्दोलनमे हिनक योगदान-स्मारिका, चेतना समिति, पटना-1972	ʋɪd̪jˈaːpt̪ɪk kˈaːʋj səˈʊʂʈʰəʋ ˈeʋə̃ ʋəˈɪʂɳəʋ bʱˈəkt̪ɪ ˈaːnd̪olənme ɦˈɪnək joɡd̪ˈaːn smˈaːɾɪkaː , t͡ʃˈet̪naː sˈəmɪt̪ɪ , pˈəʈnaː ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ bˈəɦət̪ːəɾ
स्व० रमानाथझाक मैथिली सेवाक विभिन्न आयाम स्मारिका, चेतना समिति, पटना-1979	sʋˈə ʃˈuːnj ɾəmaːnaːt̪ʰd͡ʒʱˈaːk mˈəɪt̪ʰɪliː seʋˈaːk ʋˈɪbʱɪnː aːjˈaːm smˈaːɾɪkaː , t͡ʃˈet̪naː sˈəmɪt̪ɪ , pˈəʈnaː ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ ʊnˈaːsiː
अछाम, नेपालक सुदूरपश्चिमाञ्चल विकास क्षेत्रमे रहल एक पहाडी जिला छी। १,६८० वर्ग किलोमिटरमे फैलल अछाम, नेपालक दुर्गम जिलासभमे सँ एक छी। हाल सेवामे नैरहल साँफेबगर विमानस्थल, सदरमुकाम मंगलसेनसँ आठ घण्टा पैदल दुरीमे अछि।	ət͡ʃʰˈaːm , nepˈaːlək sʊd̪uːɾpəʃt͡ʃɪmˈaːɲt͡ʃəl ʋɪkˈaːs kʂˈet̪ɾəme ɾˈəɦəl ˈek pəɦˈaːɖiː d͡ʒˈɪlaː t͡ʃʰˈiː . ˈek ɦəzˈaːɾ t͡ʃʰˈəɦ sˈəʊ ˈəsːiː ʋˈəɾɡ kɪlomɪʈˈəɾme pʰˈəɪləl ət͡ʃʰˈaːm , nepˈaːlək d̪ˈʊɾɡəm d͡ʒɪlaːsˈəbʱme sˈə̃ ˈek t͡ʃʰˈiː . ɦˈaːl seʋˈaːme nəˈɪɾɦəl saː̃pʰˈebɡəɾ ʋɪmaːnˈəst̪ʰəl , səd̪əɾmʊkˈaːm mˈə̃ŋɡəlsensə̃ ˈaːʈʰ ɡʱˈəɳʈaː pˈəɪd̪əl d̪ʊɾˈiːme ˈət͡ʃʰɪ .
मैथिली कविताक विकास यात्रा पटना 03.091995	mˈəɪt̪ʰɪliː kəʋɪt̪ˈaːk ʋɪkˈaːs jˈaːt̪ɾaː pˈəʈnaː t̪ˈiːn d̪əʃˈəmləʋ ʃˈuːnj nˈəʊ ˈek nˈəʊ nˈəʊ pˈaː̃t͡ʃ
मिथिलाक सामाजिक आ सांस्कृतिक जीवन पटना 23.11.1995	mɪt̪ʰɪlˈaːk saːmˈaːd͡ʒɪk ˈaː sˈaː̃skɾɪt̪ɪk d͡ʒˈiːʋən pˈəʈnaː t̪eˈiːs d̪əʃˈəmləʋ ˈek ˈek . ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ pə̃ɲt͡ʃˈaːnʋe
अलन्दूर भारतक तमिलनाडु राज्यक चेन्नई जिलाक शहरी क्षेत्र अन्तर्गत चेन्नई प्राधिकरण अन्तर्गतक एक इलाका छी। ई स्थानक जनसङ्ख्या २०११ मे १,६४,४३० छल। सन् २०३० धरि ई स्थानक जनसङ्ख्या ३,००,००० पहुँच जाइत से अनुमान अछि। अलन्दूरममे नेहरू मूर्ति आ कठिपारा जङ्क्सन अछि।	ələnd̪ˈuːɾ bʱˈaːɾt̪ək t̪əmɪlnˈaːɖʊ ɾˈaːd͡ʒjək t͡ʃˈenːəiː d͡ʒɪlˈaːk ʃˈəɦɾiː kʂˈet̪ɾ ənt̪ˈəɾɡət̪ t͡ʃˈenːəiː pɾaːd̪ʱˈɪkɾəɳ ənt̪ˈəɾɡət̪ək ˈek ɪlˈaːkaː t͡ʃʰˈiː . ˈiː st̪ʰˈaːnək d͡ʒənsˈəŋkʰjaː d̪ˈo ɦəzˈaːɾ ɡjˈaːɾəɦ mˈe ˈek lˈaːkʰ t͡ʃəˈʊ̃səʈʰ ɦəzˈaːɾ t͡ʃˈaːɾ sˈəʊ t̪ˈiːs t͡ʃʰˈəl . sˈən d̪ˈo ɦəzˈaːɾ t̪ˈiːs d̪ʱˈəɾɪ ˈiː st̪ʰˈaːnək d͡ʒənsˈəŋkʰjaː t̪ˈiːn lˈaːkʰ pəɦˈʊ̃t͡ʃ d͡ʒˈaːɪt̪ sˈe ənʊmˈaːn ˈət͡ʃʰɪ . ələnd̪uːɾˈəmme nˈeɦɾuː mˈuːɾt̪ɪ ˈaː kəʈʰɪpˈaːɾaː d͡ʒˈəŋksən ˈət͡ʃʰɪ .
इटाली, युनानक बाद युरोपक दोसर प्राचीनतम राष्ट्र छी । रोमक सभ्यता तथा इटालीक इतिहास देशके प्राचीन वैभव तथा विकासक प्रतीक छी । आधुनिक इटाली सन् १८६१ मे राज्यक रूपमे गठित भेल छल । देशक धीमा प्रगति, सामाजिक सङ्गठन तथा राजनितिक उथल-पुथल इटालीक २,५०० वर्षक इतिहास सँ संबद्ध अछि । देशमे पूर्वकालमे राजतन्त्र छल जेकर अन्तिम राजघराना सेवाय छल । जुन, सन् १९४६ सँ देश एक जनतान्त्रिक राज्यमे परिवर्तित भ गेल ।	ɪʈˈaːliː , jʊnˈaːnək bˈaːd̪ jˈʊɾopək d̪ˈosəɾ pɾaːt͡ʃˈiːnt̪əm ɾˈaːʂʈɾ t͡ʃʰˈiː . ɾˈomək sˈəbʱjət̪aː t̪ˈət̪ʰaː ɪʈaːlˈiːk ɪt̪ɪɦˈaːs d̪ˈeʃke pɾaːt͡ʃˈiːn ʋˈəɪbʱəʋ t̪ˈət̪ʰaː ʋɪkˈaːsək pɾət̪ˈiːk t͡ʃʰˈiː . ˈaːd̪ʱʊnɪk ɪʈˈaːliː sˈən ˈek ɦəzˈaːɾ ˈaːʈʰ sˈəʊ ˈɪksəʈʰ mˈe ɾˈaːd͡ʒjək ɾˈuːpme ɡˈəʈʰɪt̪ bʱˈel t͡ʃʰˈəl . d̪ˈeʃək d̪ʱˈiːmaː pɾˈəɡt̪ɪ , saːmˈaːd͡ʒɪk sˈəŋɡəʈʰən t̪ˈət̪ʰaː ɾˈaːd͡ʒnɪt̪ɪk ˈʊt̪ʰəl pˈʊt̪ʰəl ɪʈaːlˈiːk d̪ˈo ɦəzˈaːɾ pˈaː̃t͡ʃ sˈəʊ ʋˈəɾʂək ɪt̪ɪɦˈaːs sˈə̃ sˈə̃mbəd̪ʱː ˈət͡ʃʰɪ . d̪ˈeʃme puːɾʋəkˈaːlme ɾaːd͡ʒt̪ˈənt̪ɾ t͡ʃʰˈəl d͡ʒˈekəɾ ˈənt̪ɪm ɾaːd͡ʒəɡʱɾˈaːnaː seʋˈaːj t͡ʃʰˈəl . d͡ʒˈʊn , sˈən ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ t͡ʃʰɪjaːlˈiːs sˈə̃ d̪ˈeʃ ˈek d͡ʒənt̪ˈaːnt̪ɾɪk ɾˈaːd͡ʒjəme pəɾɪʋˈəɾt̪ɪt̪ bʱˈə ɡˈel .
अक्षांश उत्तरी २६.४०" सऽ उत्तरी २७.८" धरि	əkʂˈaː̃ʃ ˈʊt̪ːəɾiː t͡ʃʰəbːˈiːs d̪əʃˈəmləʋ t͡ʃˈaːɾ ʃˈuːnj sˈə ˈʊt̪ːəɾiː sət̪ːaːˈiːs d̪əʃˈəmləʋ ˈaːʈʰ d̪ʱˈəɾɪ
अरनिको उपनाम बलबाहू, आनिक आदि (सन् १२४५-१३०६) प्रसिद्ध कलाकार तथा नेपालक राष्ट्रिय विभूति छी । पाटनमे जन्म भेल अरनिको चीन जाए अपन वास्तुकला देखेनए छल । अरनिको प्यागोडा शैलीक मन्दिरसभ निर्माण केनिहार दक्ष कलाकार छी ।	ˈəɾnɪko ʊpnˈaːm bəlbˈaːɦuː , ˈaːnɪk ˈaːd̪ɪ sˈən ˈek ɦəzˈaːɾ d̪ˈo sˈəʊ pəɪ̃n̪t̪aːlˈiːs ˈek ɦəzˈaːɾ t̪ˈiːn sˈəʊ t͡ʃʰˈəɦ pɾˈəsɪd̪ʱː kəlaːkˈaːɾ t̪ˈət̪ʰaː nepˈaːlək ɾˈaːʂʈɾɪj ʋɪbʱˈuːt̪ɪ t͡ʃʰˈiː . paːʈˈənme d͡ʒˈənm bʱˈel ˈəɾnɪko t͡ʃˈiːn d͡ʒˈaːe ˈəpən ʋˈaːst̪ʊklaː d̪ˈekʰenəe t͡ʃʰˈəl . ˈəɾnɪko pjˈaːɡoɖaː ʃəɪlˈiːk mənd̪ˈɪɾsəbʱ nɪɾmˈaːɳ kenɪɦˈaːɾ d̪ˈəkʂ kəlaːkˈaːɾ t͡ʃʰˈiː .
सर आइज्याक न्यूटन, (४ जेनवरी १६४३ – ३१ मार्च १७२७) बेलायती भौतिकशास्त्री, गणितशास्त्री, खगोलशास्त्री, प्राकृतिक दर्शनिक, आर गूढ रसायनशास्त्री छेल जेकरा विज्ञानके प्रमुख व्यक्तित्वके रूपमे मनल जाइत अछि।	sˈəɾ aːɪd͡ʒjˈaːk njˈuːʈən , t͡ʃˈaːɾ d͡ʒenˈəʋɾiː ˈek ɦəzˈaːɾ t͡ʃʰˈəɦ sˈəʊ t̪əɪ̃n̪t̪aːlˈiːs ɪkt̪ˈiːs mˈaːɾt͡ʃ ˈek ɦəzˈaːɾ sˈaːt̪ sˈəʊ sət̪ːaːˈiːs belˈaːjt̪iː bʱəʊt̪ɪkʃˈaːst̪ɾiː , ɡəɳɪt̪ʃˈaːst̪ɾiː , kʰəɡolʃˈaːst̪ɾiː , pɾˈaːkɾɪt̪ɪk d̪ˈəɾʃənɪk , ˈaːɾ ɡˈuːɖʱ ɾəsaːjənʃˈaːst̪ɾiː t͡ʃʰˈel d͡ʒˈekɾaː ʋɪd͡ʒɲˈaːnke pɾˈəmʊkʰ ʋjəkt̪ˈɪt̪ʋəke ɾˈuːpme mˈənəl d͡ʒˈaːɪt̪ ˈət͡ʃʰɪ .
जन्म:६-७-१९५० ई.,प्रकाशित कथा मे मैथिकीक संग हिन्दी मे सेहो । सभसँ पैघ विजय मैथिली कथा संग्रह ।	d͡ʒˈənm , t͡ʃʰˈəɦ sˈaːt̪ ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ pət͡ʃˈaːs ˈiː , pɾəkˈaːʃɪt̪ kˈət̪ʰaː mˈe məɪt̪ʰɪkˈiːk sˈə̃ŋɡ ɦˈɪnd̪iː mˈe sˈeɦo . sˈəbʱsə̃ pˈəɪɡʱ ʋˈɪd͡ʒəj mˈəɪt̪ʰɪliː kˈət̪ʰaː sˈə̃ŋɡɾəɦ .
नेनपनेसँ तुकान्त जोड़बाक आदति सन् २००१ मे गजलक रूपमे बदलि गेलनि । प्रारम्भमे अनचिन्हारजी गीत, व्यङ्ग्य, कविता ओ कथा सेहो लिखलाह मुदा सन् २००१ मे ई पूर्ण रूपेण गजल सीखब शुरू केलनि आ सन् २००८ मे गजल केन्द्रित ब्लाग अनचिन्हार आखर केर निर्माण केला । एहि ब्लागसँ एखन धरि अनचिन्हारजी कुल ३०-३२ टा मैथिली गजलकारकेँ प्रशिक्षित कऽ मैथिली गजलकेँ विस्तार देलाह।	nenˈəpnesə̃ t̪ʊkˈaːnt̪ d͡ʒoɽbˈaːk ˈaːd̪t̪ɪ sˈən d̪ˈo ɦəzˈaːɾ ˈek mˈe ɡˈəd͡ʒlək ɾˈuːpme bˈəd̪lɪ ɡˈelnɪ . pɾaːɾˈəmbʱəme ənt͡ʃɪnɦˈaːɾd͡ʒiː ɡˈiːt̪ , ʋjˈəŋɡj , kˈəʋɪt̪aː ˈo kˈət̪ʰaː sˈeɦo lɪkʰlˈaːɦ mˈʊd̪aː sˈən d̪ˈo ɦəzˈaːɾ ˈek mˈe ˈiːsaː puːɾʋˈəɾɳ ɾˈuːpeɳ ɡˈəd͡ʒəl sˈiːkʰəb ʃˈʊɾuː kˈelnɪ ˈaː sˈən d̪ˈo ɦəzˈaːɾ ˈaːʈʰ mˈe ɡˈəd͡ʒəl kˈend̪ɾɪt̪ blˈaːɡ ənt͡ʃɪnɦˈaːɾ ˈaːkʰəɾ kˈeɾ nɪɾmˈaːɳ kˈelaː . ˈeɦɪ blˈaːɡsə̃ ˈekʰən d̪ʱˈəɾɪ ənt͡ʃɪnɦˈaːɾd͡ʒiː kˈʊl t̪ˈiːs bət̪ːˈiːs ʈˈaː mˈəɪt̪ʰɪliː ɡəd͡ʒəlkˈaːɾkẽ pɾəʃˈɪkʂɪt̪ kˈə mˈəɪt̪ʰɪliː ɡəd͡ʒˈəlkẽ ʋɪst̪ˈaːɾ d̪elˈaːɦ .
बर्ष २०१४-१५ लेल विदेह भाषा सम्मान(समानान्तर साहित्य अकादेमी सम्मान)सँ पोथी “अनचिन्हार आखर” (गजल संग्रह) लेल सम्मानित।	bˈəɾʂ d̪ˈo ɦəzˈaːɾ t͡ʃˈəʊd̪əɦ pˈə̃n̪d̪ɾəɦ lˈel ʋˈɪd̪eɦ bʱˈaːʂaː səmːˈaːn səmaːnˈaːnt̪əɾ saːɦˈɪt̪j əkˈaːd̪emiː səmːˈaːn sˈə̃ pˈot̪ʰiː ənt͡ʃɪnɦˈaːɾ ˈaːkʰəɾ ɡˈəd͡ʒəl sˈə̃ŋɡɾəɦ lˈel səmːˈaːnɪt̪ .
कार्यक्षेत्र- महाराजा सियाजी राव विश्वविद्यालय,बड़ौदा,(1979-81), दक्षिणी गुजरात विश्वविद्यालय (1981-85), दिल्ली विश्वविद्यालय,दिल्ली (1985-87), हैदराबाद विश्वविद्यालय, हैदराबाद,(1987-2000) मे भाषाविज्ञानक प्रोफेसर, ओ अतिथि प्रोफेसरक रूपमे इंडियन इन्स्टीच्यूट ऑफ एडवांस स्टडी, शिमला (1989) मे काज करैत वर्तमानमे केन्द्रीय भारतीय भाषा संस्थान, मैसूर मे निदेशकक पद पर आसीन छथि।	kaːɾjəkʂˈet̪ɾ məɦaːɾˈaːd͡ʒaː sɪjˈaːd͡ʒiː ɾˈaːʋ ʋɪʃʋəʋɪd̪jˈaːləj , bˈəɽəʊd̪aː , ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ ʊnˈaːsiː ɪkjˈaːsiː , d̪ˈəkʂɪɳiː ɡʊd͡ʒɾˈaːt̪ ʋɪʃʋəʋɪd̪jˈaːləj ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ ɪkjˈaːsiː pət͡ʃˈaːsiː , d̪ˈɪlːiː ʋɪʃʋəʋɪd̪jˈaːləj , d̪ˈɪlːiː ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ pət͡ʃˈaːsiː sət̪ːˈaːsiː , ɦəɪd̪ɾaːbˈaːd̪ ʋɪʃʋəʋɪd̪jˈaːləj , ɦəɪd̪ɾaːbˈaːd̪ , ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ sət̪ːˈaːsiː d̪ˈo ɦəzˈaːɾ mˈe bʱaːʂaːʋɪd͡ʒɲˈaːnək pɾˈopʰesəɾ , ˈo ˈət̪ɪt̪ʰɪ pɾopʰˈesɾək ɾˈuːpme ˈɪ̃ɳɖɪjən ɪnsʈiːt͡ʃjˈuːʈ ˈɔːpʰ eɖʋˈaː̃s sʈˈəɖiː , ʃˈɪmlaː ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ nəʋˈaːsiː mˈe kˈaːd͡ʒ kˈəɾəɪt̪ ʋəɾt̪əmˈaːnme kend̪ɾˈiːj bʱaːɾt̪ˈiːj bʱˈaːʂaː sə̃st̪ʰˈaːn , məɪsˈuːɾ mˈe nɪd̪ˈeʃkək pˈəd̪ pˈəɾ aːsˈiːn t͡ʃʰˈət̪ʰɪ .
, फाउन्डेसनमें २५० कर्मचारी कार्यरत अछि। फाउन्डेसन के वार्षिक राजश्व लगभग अमेरिकी $५० मिलियन रहल अछि। लाइला त्रेतिकोभ फाउन्डेसनके कार्यकारी प्रमूख छी जखन प्यात्रिसियो लोरेन्ते न्यासीके प्रमूख छी।	pʰaːʊnɖesˈənmẽ d̪ˈo sˈəʊ pət͡ʃˈaːs kəɾmət͡ʃˈaːɾiː kˈaːɾjəɾət̪ ˈət͡ʃʰɪ . pʰaːˈʊnɖesən kˈe ʋˈaːɾʂɪk ɾaːd͡ʒˈəʃʋ lˈəɡbʱəɡ ˈəmeɾɪkiː pət͡ʃˈaːs ɖˈɔːləɾ mˈɪlɪjən ɾˈəɦəl ˈət͡ʃʰɪ . lˈaːɪlaː t̪ɾˈet̪ɪkobʱ pʰaːʊnɖesˈənke kˈaːɾjəkaːɾiː pɾəmˈuːkʰ t͡ʃʰˈiː d͡ʒˈəkʰən pjˈaːt̪ɾɪsɪjo loɾˈent̪e njaːsˈiːke pɾəmˈuːkʰ t͡ʃʰˈiː .
आइटिसी लिमिटेड (पूर्व नाम: इम्पेरियल टोब्याको कम्पनी), भारतमे एक तम्बाकू कम्पनी छी । सन् १९१० मे अङ्ग्रेजी तम्बाकू कम्पनी इम्पेरियल एकर गठन केनए छल । एकर वार्षिक कारोबार $४.७५ बिलियन अछि । ई भारतक निजी कम्पनीसभमे कर-पूर्व लाभक दृष्टिसँ दोसर स्थान पर आवैत अछि ।	ˈaːɪʈɪsiː lˈɪmɪʈeɖ pˈuːɾʋ nˈaːm , ˈɪmpeɾɪjəl ʈobjˈaːko kˈəmpəniː , bʱaːɾˈət̪me ˈek t̪əmbˈaːkuː kˈəmpəniː t͡ʃʰˈiː . sˈən ˈek ɦəzˈaːɾ nˈəʊ sˈəʊ d̪ˈəs mˈe ˈəŋɡɾed͡ʒiː t̪əmbˈaːkuː kˈəmpəniː ˈɪmpeɾɪjəl ˈekəɾ ɡˈəʈʰən kˈenəe t͡ʃʰˈəl . ˈekəɾ ʋˈaːɾʂɪk kaːɾobˈaːɾ t͡ʃˈaːɾ d̪əʃˈəmləʋ sˈaːt̪ pˈaː̃t͡ʃ ɖˈɔːləɾ bˈɪlɪjən ˈət͡ʃʰɪ . ˈiː bʱˈaːɾt̪ək nˈɪd͡ʒiː kəmpəniːsˈəbʱme kˈəɾ pˈuːɾʋ lˈaːbʱək d̪ɾˈɪʂʈɪsə̃ d̪ˈosəɾ st̪ʰˈaːn pˈəɾ ˈaːʋəɪt̪ ˈət͡ʃʰɪ .
