Lenane le feletseng la Wikipedia dikgatiso&nbsp;·	lɛnɑnɛ lɛ fɛlɛt͡sʼɛŋ lɑ wikʼipʼɛdiɑ dikχɑtʼisɔ
Richard Victor Selope Thema, 1886 - 1955	rikɦɑrd viktʼɔr sɛlɔpʼɛ tʰɛmɑ , sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɛdi lɛ mɑʃɔmɛ ɑ rɔbɛdi lɛ mɛt͡sʼɔ ɛ t͡sʰɛlɛt͡sʼɛŋ ɦɔ isɑ ɦɔ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ mɑɬɑnɔ lɛ mɛt͡sʼɔ ɛ mɛɬɑnɔ
Moiloa o ne a nyetse Mme Anna Mmadijelwang, 'me banyalani bana ba ne ba e-na le bara ba babeli le barali ba bane.	mɔilɔɑ ɔ nɛ ɑ ɲɛt͡sʼɛ mmɛ ɑnnɑ mmɑdid͡ʒɛlwɑŋ , mɛ bɑɲɑlɑni bɑnɑ bɑ nɛ bɑ ɛ nɑ lɛ bɑrɑ bɑ bɑbɛli lɛ bɑrɑli bɑ bɑnɛ .
Stock o hōletse a lula le mmae le nkgono le ntate-moholo oa hae, mme hamorao ea e-ba ntate oa bara ba bararo. Ho tloha bonyenyaneng o ile a sekamela mminong le phatlalatsong, qetellong a phehella mosebetsi oa mecha ea litaba o neng o tla nka lilemo tse ka bang mashome a mabedi.	stʼɔkkʼ ɔ ɦɔlɛt͡sʼɛ ɑ lulɑ lɛ mmɑɛ lɛ nkχɔnɔ lɛ ntʼɑtʼɛ mɔɦɔlɔ ɔɑ ɦɑɛ , mmɛ ɦɑmɔrɑɔ ɛɑ ɛ bɑ ntʼɑtʼɛ ɔɑ bɑrɑ bɑ bɑrɑrɔ . ɦɔ t͡ɬʼɔɦɑ bɔɲɛɲɑnɛŋ ɔ ilɛ ɑ sɛkʼɑmɛlɑ mminɔŋ lɛ pʰɑt͡ɬʼɑlɑt͡sʼɔŋ , !ɛtʼɛllɔŋ ɑ pʰɛɦɛllɑ mɔsɛbɛt͡sʼi ɔɑ mɛkɦɑ ɛɑ litʼɑbɑ ɔ nɛŋ ɔ t͡ɬʼɑ nkʼɑ lilɛmɔ t͡sʼɛ kʼɑ bɑŋ mɑʃɔmɛ ɑ mɑbɛdi .
Sepulana (hape sePulane) ke puo ya Batho ba Mapulana, sehlopha sa merabe se nang le dibaka tse tlase haholo se fumanehang sebakeng sa Bushbuckridge, se phethang diprofinse ho Mpumalanga e ka leboya-botjhabela le Limpopo ka borwa-botjhabela ho Afrika Borwa. Puo ena e buuwa ke batho ba ka bang 800,000.	sɛpʼulɑnɑ ɦɑpʼɛ sɛpʼulɑnɛ kʼɛ pʼuɔ jɑ bɑtʰɔ bɑ mɑpʼulɑnɑ , sɛɬɔpʰɑ sɑ mɛrɑbɛ sɛ nɑŋ lɛ dibɑkʼɑ t͡sʼɛ t͡ɬʼɑsɛ ɦɑɦɔlɔ sɛ fumɑnɛɦɑŋ sɛbɑkʼɛŋ sɑ buʃbukkʼridxɛ , sɛ pʰɛtʰɑŋ dipʼrɔfinsɛ ɦɔ mpʼumɑlɑŋɑ ɛ kʼɑ lɛbɔjɑ bɔt͡ʃʼɦɑbɛlɑ lɛ limpʼɔpʼɔ kʼɑ bɔrwɑ bɔt͡ʃʼɦɑbɛlɑ ɦɔ ɑfrikʼɑ bɔrwɑ . pʼuɔ ɛnɑ ɛ buuwɑ kʼɛ bɑtʰɔ bɑ kʼɑ bɑŋ dikʼɛtʼɛ mɑkχɔlɔ ɑ rɔbɛdi .
Mark Mayambela (o hlahile ka la 9 Lwetse 1987) ke sebapadi sa bolo ya maoto sa Afrika Borwa se tlohetseng mosebetsi se seng se ntse se le mokoetlisi wa ntshetsopele ya bohareng ba Cape Town City F.C.	mɑrkʼ mɑjɑmbɛlɑ ɔ ɬɑɦilɛ kʼɑ lɑ rɔbɔŋ lwɛt͡sʼɛ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ rɔbɛdi lɛ mɛt͡sʼɔ ɛ supʼilɛŋ kʼɛ sɛbɑpʼɑdi sɑ bɔlɔ jɑ mɑɔtʼɔ sɑ ɑfrikʼɑ bɔrwɑ sɛ t͡ɬʼɔɦɛt͡sʼɛŋ mɔsɛbɛt͡sʼi sɛ sɛŋ sɛ nt͡sʼɛ sɛ lɛ mɔkʼɔɛt͡ɬʼisi wɑ nt͡sʰɛt͡sʼɔpʼɛlɛ jɑ bɔɦɑrɛŋ bɑ kɑpʼɛ tʼɔwn kitʼj fk .
Mapulana (kapa Mapulana) ke sehlopha sa morabe se buang Sesotho seo tšimoloho ea sona e qalileng ho Barolong le Kgalagadi. Ba khetholloa ka tau ea bona, ba bina tau ("ba tantšang tau"). Ho tobana le tlhaselo e hlophisitsoeng ke di-impi tsa Swazi, likotoana tsa Mapulana, Kutswe, le Pai tse kopantsweng tlas'a boetapele ba Morena Maripe Mashile le moena wa hae Chiloane.	mɑpʼulɑnɑ kʼɑpʼɑ mɑpʼulɑnɑ kʼɛ sɛɬɔpʰɑ sɑ mɔrɑbɛ sɛ buɑŋ sɛsɔtʰɔ sɛɔ t͡ʃʼimɔlɔɦɔ ɛɑ sɔnɑ ɛ !ɑlilɛŋ ɦɔ bɑrɔlɔŋ lɛ kχɑlɑxɑdi . bɑ kʰɛtʰɔllɔɑ kʼɑ tʼɑu ɛɑ bɔnɑ , bɑ binɑ tʼɑu bɑ tʼɑnt͡ʃʼɑŋ tʼɑu . ɦɔ tʼɔbɑnɑ lɛ t͡ɬʰɑsɛlɔ ɛ ɬɔpʰisit͡sʼɔɛŋ kʼɛ di impʼi t͡sʼɑ swɑzi , likʼɔtʼɔɑnɑ t͡sʼɑ mɑpʼulɑnɑ , kʼut͡sʼwɛ , lɛ pʼɑi t͡sʼɛ kʼɔpʼɑnt͡sʼwɛŋ t͡ɬʼɑs ɑ bɔɛtʼɑpʼɛlɛ bɑ mɔrɛnɑ mɑripʼɛ mɑʃilɛ lɛ mɔɛnɑ wɑ ɦɑɛ kɦilɔɑnɛ .
Dipou-nama le vulva yohle di fapana ka boholo, sebopeho le mmala ho ya ka motho. Ha ho sarolla molomo ho leka ho fetola karolo ena ya mmele hore e dumellane le ntho e ntle, mme hangata ho etswa ke basadi ba baholo ho banana, ho bapisitswe le ho holofala ha ditho tsa botona le botshehadi tsa basadi (FGM) le tlhekefetso ya bana.	dipʼɔu nɑmɑ lɛ vulvɑ jɔɬɛ di fɑpʼɑnɑ kʼɑ bɔɦɔlɔ , sɛbɔpʼɛɦɔ lɛ mmɑlɑ ɦɔ jɑ kʼɑ mɔtʰɔ . ɦɑ ɦɔ sɑrɔllɑ mɔlɔmɔ ɦɔ lɛkʼɑ ɦɔ fɛtʼɔlɑ kʼɑrɔlɔ ɛnɑ jɑ mmɛlɛ ɦɔrɛ ɛ dumɛllɑnɛ lɛ ntʰɔ ɛ nt͡ɬʼɛ , mmɛ ɦɑŋɑtʼɑ ɦɔ ɛt͡sʼwɑ kʼɛ bɑsɑdi bɑ bɑɦɔlɔ ɦɔ bɑnɑnɑ , ɦɔ bɑpʼisit͡sʼwɛ lɛ ɦɔ ɦɔlɔfɑlɑ ɦɑ ditʰɔ t͡sʼɑ bɔtʼɔnɑ lɛ bɔt͡sʰɛɦɑdi t͡sʼɑ bɑsɑdi fxm lɛ t͡ɬʰɛkʼɛfɛt͡sʼɔ jɑ bɑnɑ .
Hungani Malcolm Ndlovu (ya hlahileng ka la 19 Phuptjane 1994, Mpumalanga) ke sebapadi le motjeki wa Afrika Borwa. Ke motshwantshisi wa Tsonga ya tsebahalang haholo ka dikarolo tsa hae letotong la thelevishene Memoir of an Honest Voice, Sipho le Scandal! Haufinyane o qadile ka Phihlello ya hae ya DJ e le DJ Grizi. Hajwale o bapala karolo ya Tbose Maputla ho Skeem Saam.	ɦuŋɑni mɑlkɔlm ndlɔvu jɑ ɬɑɦilɛŋ kʼɑ lɑ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ rɔbɔŋ pʰupʼt͡ʃʼɑnɛ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ rɔbɔŋ lɛ mɛt͡sʼɔ ɛ mɛnɛ , mpʼumɑlɑŋɑ kʼɛ sɛbɑpʼɑdi lɛ mɔt͡ʃʼɛkʼi wɑ ɑfrikʼɑ bɔrwɑ . kʼɛ mɔt͡sʰwɑnt͡sʰisi wɑ t͡sʼɔŋɑ jɑ t͡sʼɛbɑɦɑlɑŋ ɦɑɦɔlɔ kʼɑ dikʼɑrɔlɔ t͡sʼɑ ɦɑɛ lɛtʼɔtʼɔŋ lɑ tʰɛlɛviʃɛnɛ mɛmɔir ɔf ɑn ɦɔnɛstʼ vɔikɛ , sipʰɔ lɛ skɑndɑl ! ɦɑufiɲɑnɛ ɔ !ɑdilɛ kʼɑ pʰiɬɛllɔ jɑ ɦɑɛ jɑ dd͡ʒ ɛ lɛ dd͡ʒ xrizi . ɦɑd͡ʒwɑlɛ ɔ bɑpʼɑlɑ kʼɑrɔlɔ jɑ tʼbɔsɛ mɑpʼut͡ɬʼɑ ɦɔ skʼɛɛm sɑɑm .
Ndima o hlahetse Afrika Borwa mme a holela Port Elizabeth. Ho tloha bongwaneng o ile a bontsha tjheseho ya ho bapala, e ileng ya mo lebisa hamorao ho ya kwetlisong ya molao ea bonono. O ile a fumana lengolo la Bachelor of Arts in Live Performance ho South African School of Motion Picture Medium and Live Performance (AFDA).	ndimɑ ɔ ɬɑɦɛt͡sʼɛ ɑfrikʼɑ bɔrwɑ mmɛ ɑ ɦɔlɛlɑ pʼɔrtʼ ɛlizɑbɛtʰ . ɦɔ t͡ɬʼɔɦɑ bɔŋwɑnɛŋ ɔ ilɛ ɑ bɔnt͡sʰɑ t͡ʃʼɦɛsɛɦɔ jɑ ɦɔ bɑpʼɑlɑ , ɛ ilɛŋ jɑ mɔ lɛbisɑ ɦɑmɔrɑɔ ɦɔ jɑ kʼwɛt͡ɬʼisɔŋ jɑ mɔlɑɔ ɛɑ bɔnɔnɔ . ɔ ilɛ ɑ fumɑnɑ lɛŋɔlɔ lɑ bɑkɦɛlɔr ɔf ɑrt͡sʼ in livɛ pʼɛrfɔrmɑnkɛ ɦɔ sɔutʰ ɑfrikɑn skɦɔɔl ɔf mɔtʼiɔn pʼiktʼurɛ mɛdium ɑnd livɛ pʼɛrfɔrmɑnkɛ ɑfdɑ .
Hotele ya hae ya Temperance le mesebetsi ya setjhaba e ntse e le mehlala ya bohlokwa ya boipuso le kgwebo ya Ma-Afrika qetellong ya lekgolo la leshome le metso e robong la dilemo.	ɦɔtʼɛlɛ jɑ ɦɑɛ jɑ tʼɛmpʼɛrɑnkɛ lɛ mɛsɛbɛt͡sʼi jɑ sɛt͡ʃʼɦɑbɑ ɛ nt͡sʼɛ ɛ lɛ mɛɬɑlɑ jɑ bɔɬɔkʼwɑ jɑ bɔipʼusɔ lɛ kχwɛbɔ jɑ mɑ ɑfrikʼɑ !ɛtʼɛllɔŋ jɑ lɛkχɔlɔ lɑ lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ rɔbɔŋ lɑ dilɛmɔ .
Beisine (Senyesemane: The Basin) ke sebaka se tummeng sa ho sesa leoatleng ka leboea-bochabela ho Sehlekehleke sa Rottnest, pakeng tsa Lebōpo la Pinky le Longreach Bay ka Oseteralia Bophirima.	bɛisinɛ sɛɲɛsɛmɑnɛ , tʰɛ bɑsin kʼɛ sɛbɑkʼɑ sɛ tʼummɛŋ sɑ ɦɔ sɛsɑ lɛɔɑt͡ɬʼɛŋ kʼɑ lɛbɔɛɑ bɔkɦɑbɛlɑ ɦɔ sɛɬɛkʼɛɬɛkʼɛ sɑ rɔtʼtʼnɛstʼ , pʼɑkʼɛŋ t͡sʼɑ lɛbɔpʼɔ lɑ pʼinkʼj lɛ lɔŋrɛɑkɦ bɑj kʼɑ ɔsɛtʼɛrɑliɑ bɔpʰirimɑ .
Van der Merwe o ne a bontshitse tshabo ya bophelo ba hae kamora bopaki ba hae. Setsebi se khahlanong le tlōlo ea molao Yusuf Abramjee o ile a ngola hore Van der Merwe o ile a ikopanya le eena matsatsi a seng makae pele ho lefu la hae, a lemosa hore o tšaba hore "mohlomong o tla thunngoa matsatsing a tlang."	vɑn dɛr mɛrwɛ ɔ nɛ ɑ bɔnt͡sʰit͡sʼɛ t͡sʰɑbɔ jɑ bɔpʰɛlɔ bɑ ɦɑɛ kʼɑmɔrɑ bɔpʼɑkʼi bɑ ɦɑɛ . sɛt͡sʼɛbi sɛ kʰɑɬɑnɔŋ lɛ t͡ɬʼɔlɔ ɛɑ mɔlɑɔ jusuf ɑbrɑmd͡ʒɛɛ ɔ ilɛ ɑ ŋɔlɑ ɦɔrɛ vɑn dɛr mɛrwɛ ɔ ilɛ ɑ ikʼɔpʼɑɲɑ lɛ ɛɛnɑ mɑt͡sʼɑt͡sʼi ɑ sɛŋ mɑkʼɑɛ pʼɛlɛ ɦɔ lɛfu lɑ ɦɑɛ , ɑ lɛmɔsɑ ɦɔrɛ ɔ t͡ʃʼɑbɑ ɦɔrɛ mɔɬɔmɔŋ ɔ t͡ɬʼɑ tʰunŋɔɑ mɑt͡sʼɑt͡sʼiŋ ɑ t͡ɬʼɑŋ .
Reuben Tholakele Galuza (1895–1965), ya tsejwang haholo e le RT Galuza, e ne e le mosuwe le mongodi wa Afrika Borwa ya neng a sebeletsa e le hlooho ya Adams College . O tsebahala ka ho hanyetsa ho kenngwa tshebetsong ha Molao wa Thuto wa Batho wa selemo sa 1953 le ka menehelo ya hae thutong ya dipuo tsa Maafrika, haholo- holo Sezulu .	rɛubɛn tʰɔlɑkʼɛlɛ xɑluzɑ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɛdi lɛ mɑʃɔmɛ ɑ rɔbɔŋ lɛ mɛt͡sʼɔ ɛ mɛɬɑnɔ ɦɔ isɑ ɦɔ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ t͡sʰɛlɛt͡sʼɛŋ lɛ mɛt͡sʼɔ ɛ mɛɬɑnɔ , jɑ t͡sʼɛd͡ʒwɑŋ ɦɑɦɔlɔ ɛ lɛ rtʼ xɑluzɑ , ɛ nɛ ɛ lɛ mɔsuwɛ lɛ mɔŋɔdi wɑ ɑfrikʼɑ bɔrwɑ jɑ nɛŋ ɑ sɛbɛlɛt͡sʼɑ ɛ lɛ ɬɔɔɦɔ jɑ ɑdɑms kɔllɛxɛ . ɔ t͡sʼɛbɑɦɑlɑ kʼɑ ɦɔ ɦɑɲɛt͡sʼɑ ɦɔ kʼɛnŋwɑ t͡sʰɛbɛt͡sʼɔŋ ɦɑ mɔlɑɔ wɑ tʰutʼɔ wɑ bɑtʰɔ wɑ sɛlɛmɔ sɑ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ mɑɬɑnɔ lɛ mɛt͡sʼɔ ɛ mɛrɑrɔ lɛ kʼɑ mɛnɛɦɛlɔ jɑ ɦɑɛ tʰutʼɔŋ jɑ dipʼuɔ t͡sʼɑ mɑɑfrikʼɑ , ɦɑɦɔlɔ ɦɔlɔ sɛzulu .
nday Times le ile la mo sheba e le e mong wa dipapadi tse lokelang ho fallela sehlopheng sa mose ho mawatle ho ya ntshetsopele. Mbuthuma o ile a khethwa sehlopheng sa pele sa Afrika Borwa bakeng sa Mohope wa COSAFA wa 2023.O boetse a bapala bakeng sa Afrika Borwa U23 selemong sona seo, nakong ya dikhetho tsa 2023 U-23 Africa Cup of Nations.	ndɑj tʼimɛs lɛ ilɛ lɑ mɔ ʃɛbɑ ɛ lɛ ɛ mɔŋ wɑ dipʼɑpʼɑdi t͡sʼɛ lɔkʼɛlɑŋ ɦɔ fɑllɛlɑ sɛɬɔpʰɛŋ sɑ mɔsɛ ɦɔ mɑwɑt͡ɬʼɛ ɦɔ jɑ nt͡sʰɛt͡sʼɔpʼɛlɛ . mbutʰumɑ ɔ ilɛ ɑ kʰɛtʰwɑ sɛɬɔpʰɛŋ sɑ pʼɛlɛ sɑ ɑfrikʼɑ bɔrwɑ bɑkʼɛŋ sɑ mɔɦɔpʼɛ wɑ kɔsɑfɑ wɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ mɛrɑrɔ . ɔ bɔɛt͡sʼɛ ɑ bɑpʼɑlɑ bɑkʼɛŋ sɑ ɑfrikʼɑ bɔrwɑ u mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ mɛrɑrɔ sɛlɛmɔŋ sɔnɑ sɛɔ , nɑkʼɔŋ jɑ dikʰɛtʰɔ t͡sʼɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ mɛrɑrɔ u mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ mɛrɑrɔ ɑfrikɑ kupʼ ɔf nɑtʼiɔns .
morara ke ditholwana, ka botanically ke monokotshowai, wa difate tsa morara tse lehong le leholo la dimela tse thunyang tsa mofuta wa Vitis. Morara ke mofuta wa ditholwana o sa sebetseng ka nako, o atisang ho hlaha ka dihlopha.	mɔrɑrɑ kʼɛ ditʰɔlwɑnɑ , kʼɑ bɔtʼɑnikɑllj kʼɛ mɔnɔkʼɔt͡sʰɔwɑi , wɑ difɑtʼɛ t͡sʼɑ mɔrɑrɑ t͡sʼɛ lɛɦɔŋ lɛ lɛɦɔlɔ lɑ dimɛlɑ t͡sʼɛ tʰuɲɑŋ t͡sʼɑ mɔfutʼɑ wɑ vitʼis . mɔrɑrɑ kʼɛ mɔfutʼɑ wɑ ditʰɔlwɑnɑ ɔ sɑ sɛbɛt͡sʼɛŋ kʼɑ nɑkʼɔ , ɔ ɑtʼisɑŋ ɦɔ ɬɑɦɑ kʼɑ diɬɔpʰɑ .
Tsiliso Monaheng ke mongodi le mohlahlobisisi wa setso ya tsebahalang ka tshusumetso ya hae ho dingodilweng, botjhaba, le moetlo. Mosebetsi wa hae o hlahloba dihlooho tsa boitsebiso, phetoho ya matjhaba, puo, le mesebetsi ya setso ditjhabeng tsa kajeno tsa Afrika.	t͡sʼilisɔ mɔnɑɦɛŋ kʼɛ mɔŋɔdi lɛ mɔɬɑɬɔbisisi wɑ sɛt͡sʼɔ jɑ t͡sʼɛbɑɦɑlɑŋ kʼɑ t͡sʰusumɛt͡sʼɔ jɑ ɦɑɛ ɦɔ diŋɔdilwɛŋ , bɔt͡ʃʼɦɑbɑ , lɛ mɔɛt͡ɬʼɔ . mɔsɛbɛt͡sʼi wɑ ɦɑɛ ɔ ɬɑɬɔbɑ diɬɔɔɦɔ t͡sʼɑ bɔit͡sʼɛbisɔ , pʰɛtʼɔɦɔ jɑ mɑt͡ʃʼɦɑbɑ , pʼuɔ , lɛ mɛsɛbɛt͡sʼi jɑ sɛt͡sʼɔ dit͡ʃʼɦɑbɛŋ t͡sʼɑ kʼɑd͡ʒɛnɔ t͡sʼɑ ɑfrikʼɑ .
Saptouw, F. "Sechaba sa Naha ho Goodman Gallery Cape," ArtThrob.	sɑpʼtʼɔuw , f . sɛkɦɑbɑ sɑ nɑɦɑ ɦɔ xɔɔdmɑn xɑllɛrj kɑpʼɛ , ɑrtʼtʰrɔb .
Mosebetsi oa Philander, ea neng a bapala sethaleng ka bongata, o ne o atisa ho khothalletsa ho nepahala ha puo ea Kaaps libukeng le tšebetsong.	mɔsɛbɛt͡sʼi ɔɑ pʰilɑndɛr , ɛɑ nɛŋ ɑ bɑpʼɑlɑ sɛtʰɑlɛŋ kʼɑ bɔŋɑtʼɑ , ɔ nɛ ɔ ɑtʼisɑ ɦɔ kʰɔtʰɑllɛt͡sʼɑ ɦɔ nɛpʼɑɦɑlɑ ɦɑ pʼuɔ ɛɑ kʼɑɑpʼs libukʼɛŋ lɛ t͡ʃʼɛbɛt͡sʼɔŋ .
Moaho o moholo wa boema-fofane o sebelisetswa difofane tsa matjhaba le tsa lehae.	mɔɑɦɔ ɔ mɔɦɔlɔ wɑ bɔɛmɑ fɔfɑnɛ ɔ sɛbɛlisɛt͡sʼwɑ difɔfɑnɛ t͡sʼɑ mɑt͡ʃʼɦɑbɑ lɛ t͡sʼɑ lɛɦɑɛ .
Ka la 27 Pherekgong 2020 o ile a saena le SL Benfica mme a bapala papadi ya hae ya pele le sehlopha tlholong ya dintlha tse 3-1 ho Braga ho Taça da Liga Feminina.	kʼɑ lɑ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ supʼilɛŋ pʰɛrɛkχɔŋ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɑʃɔmɛ ɑ mɑbɛdi ɔ ilɛ ɑ sɑɛnɑ lɛ sl bɛnfikɑ mmɛ ɑ bɑpʼɑlɑ pʼɑpʼɑdi jɑ ɦɑɛ jɑ pʼɛlɛ lɛ sɛɬɔpʰɑ t͡ɬʰɔlɔŋ jɑ dint͡ɬʰɑ t͡sʼɛ tʰɑrɔ nŋwɛ ɦɔ brɑxɑ ɦɔ tʼɑkɑ dɑ lixɑ fɛmininɑ .
Van Wyk o ile a kgutlela Europe ka Phupu 2020 ha a ne a ikopanya le Glasgow City, sehlopha se ho Scotland Women's Premier League (SWPL). Kamora ho hlaha hanngoe feela papading ya UEFA Women's Champions League kgahlanong le VfL Wolfsburg, qalo ya hae ya SWPL e ile ya diehiswa ka dikgwedi tse mmalwa ka lebaka la motswako wa kotsi ya lengole le ho emiswa ha liki nakong ya sewa sa Covid-19 .	vɑn wjkʼ ɔ ilɛ ɑ kχut͡ɬʼɛlɑ ɛurɔpʼɛ kʼɑ pʰupʼu dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɑʃɔmɛ ɑ mɑbɛdi ɦɑ ɑ nɛ ɑ ikʼɔpʼɑɲɑ lɛ xlɑsxɔw kitʼj , sɛɬɔpʰɑ sɛ ɦɔ skɔt͡ɬʼɑnd wɔmɛn s pʼrɛmiɛr lɛɑxuɛ swpʼl . kʼɑmɔrɑ ɦɔ ɬɑɦɑ ɦɑnŋɔɛ fɛɛlɑ pʼɑpʼɑdiŋ jɑ uɛfɑ wɔmɛn s kɦɑmpʼiɔns lɛɑxuɛ kχɑɬɑnɔŋ lɛ vfl wɔlfsburx , !ɑlɔ jɑ ɦɑɛ jɑ swpʼl ɛ ilɛ jɑ diɛɦiswɑ kʼɑ dikχwɛdi t͡sʼɛ mmɑlwɑ kʼɑ lɛbɑkʼɑ lɑ mɔt͡sʼwɑkʼɔ wɑ kʼɔt͡sʼi jɑ lɛŋɔlɛ lɛ ɦɔ ɛmiswɑ ɦɑ likʼi nɑkʼɔŋ jɑ sɛwɑ sɑ kɔvid lɛʃɔmɛ lɛ mɛt͡sʼɔ ɛ rɔbɔŋ .
Ka Phato selemong sa 2022, o ile a ikopanya le sehlopha sa naha ya Italy sa Serie A, Sassuolo . Kamora dihla tse pedi sehlopheng, o ile a tloha lehlabuleng la 2024, a batla phephetso e ntjha.	kʼɑ pʰɑtʼɔ sɛlɛmɔŋ sɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ mmɛdi , ɔ ilɛ ɑ ikʼɔpʼɑɲɑ lɛ sɛɬɔpʰɑ sɑ nɑɦɑ jɑ itʼɑlj sɑ sɛriɛ ɑ , sɑssuɔlɔ . kʼɑmɔrɑ diɬɑ t͡sʼɛ pʼɛdi sɛɬɔpʰɛŋ , ɔ ilɛ ɑ t͡ɬʼɔɦɑ lɛɬɑbulɛŋ lɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ mɛnɛ , ɑ bɑt͡ɬʼɑ pʰɛpʰɛt͡sʼɔ ɛ nt͡ʃʼɦɑ .
Mahlangu o ile a patelwa Atteridgeville. O ile a patwa hape Mamelodi ka la 6 Mmesa 1993. Ho na le letlapa le tlalehwang le baleha tjena: "Bolella batho ba ka hore kea ba rata le hore ba lokela ho tswela pele ho lwana, madi a ka a tla fepa sefate se tla beha ditholwana tsa tokoloho, Aluta continua."	mɑɬɑŋu ɔ ilɛ ɑ pʼɑtʼɛlwɑ ɑtʼtʼɛridxɛvillɛ . ɔ ilɛ ɑ pʼɑtʼwɑ ɦɑpʼɛ mɑmɛlɔdi kʼɑ lɑ t͡sʰɛlɛlɑ mmɛsɑ sɛkʼɛtʼɛ lɛ mɑkχɔlɔ ɑ rɔbɔŋ lɛ mɑʃɔmɛ ɑ rɔbɔŋ lɛ mɛt͡sʼɔ ɛ mɛrɑrɔ . ɦɔ nɑ lɛ lɛt͡ɬʼɑpʼɑ lɛ t͡ɬʼɑlɛɦwɑŋ lɛ bɑlɛɦɑ t͡ʃʼɛnɑ , bɔlɛllɑ bɑtʰɔ bɑ kʼɑ ɦɔrɛ kʼɛɑ bɑ rɑtʼɑ lɛ ɦɔrɛ bɑ lɔkʼɛlɑ ɦɔ t͡sʼwɛlɑ pʼɛlɛ ɦɔ lwɑnɑ , mɑdi ɑ kʼɑ ɑ t͡ɬʼɑ fɛpʼɑ sɛfɑtʼɛ sɛ t͡ɬʼɑ bɛɦɑ ditʰɔlwɑnɑ t͡sʼɑ tʼɔkʼɔlɔɦɔ , ɑlutʼɑ kɔntʼinuɑ .
Ka 2022 o ile a kgethwa e le sebapadi sa bolo ya maoto sa Basadi sa selemo sa Mokgatlo wa Baqolotsi ba ditaba wa bolo ya maoto wa Afrika Borwa (Safja).	kʼɑ dikʼɛtʼɛ t͡sʼɛ pʼɛdi lɛ mɑʃɔmɛ ɑ mɑbɛdi lɛ mɛt͡sʼɔ ɛ mmɛdi ɔ ilɛ ɑ kχɛtʰwɑ ɛ lɛ sɛbɑpʼɑdi sɑ bɔlɔ jɑ mɑɔtʼɔ sɑ bɑsɑdi sɑ sɛlɛmɔ sɑ mɔkχɑt͡ɬʼɔ wɑ bɑ!ɔlɔt͡sʼi bɑ ditʼɑbɑ wɑ bɔlɔ jɑ mɑɔtʼɔ wɑ ɑfrikʼɑ bɔrwɑ sɑfd͡ʒɑ .
