preload=Template:Standard content for new page	preloˈɑd templɑˈte , stɑnˈdɑrd d͡ʒonˈtent ˈfor ˈnew pɑˈɡe
Yanvarnen fevral aylarınıñ orta arareti +3 – +4°C, avgustnıñki +24,6°C. Yağanaqlarnıñ orta yıllıq derecesi — 400 mm, yıllıq küneşli saatlarnıñ orta miqdarı — 2150, avanıñ nisbiy dımlılığı — 69 %. Yuvunuv mevsimi marttan oktâbrgece devam ete (suv arareti tahminen +22 – +28°C).	jɑnvɑrˈnen fewˈrɑl ɑjlɑrɯˈnɯŋ orˈtɑ ɑrɑreˈti ˈyt͡ʃ , ˈdørt dereˈd͡ʒe , ɑwɡustnɯŋˈki jiɡirˈmi ˈdørt ɑlˈtɯ dereˈd͡ʒe . jɑɣɑnɑqlɑrˈnɯŋ orˈtɑ jɯˈlːɯq dered͡ʒeˈsi ˈdørt ˈjyz milːiˈmetr , jɯˈlːɯq kyneʃˈli sɑːtlɑrˈnɯŋ orˈtɑ miqdɑˈrɯ eˈki ˈbiŋ ˈjyz eˈlːi , ɑvɑˈnɯŋ nisˈbij dɯmlɯlɯˈɣɯ ɑltˈmɯʃ doˈquz fɑˈiz . juvuˈnuw mewsiˈmi mɑrˈtːɑn oktabrɡeˈd͡ʒe deˈvɑm eˈte ˈsuw ɑrɑreˈti tɑhmiˈnen jiɡirˈmi eˈki , jiɡirˈmi seˈkiz dereˈd͡ʒe .
İklim quru, orta sıcaq, orta yımşaq qışlı. Yanvarniñ orta arareti –1,8°C, iyülniñ +23,3°C.	ikˈlim quˈru , orˈtɑ sɯˈd͡ʒɑq , orˈtɑ jɯmˈʃɑq qɯʃˈlɯ . jɑnvɑrˈniŋ orˈtɑ ɑrɑreˈti miˈnus ˈbir seˈkiz dereˈd͡ʒe , ijylˈniŋ jiɡirˈmi ˈyt͡ʃ ˈyt͡ʃ dereˈd͡ʒe .
İklim yarım sahralıq, sıcaq, orta yımşaq qışlı. Yanvarniñ orta arareti –1,4°C, iyülniñ +27,3°C.	ikˈlim jɑˈrɯm sɑhrɑˈlɯq , sɯˈd͡ʒɑq , orˈtɑ jɯmˈʃɑq qɯʃˈlɯ . jɑnvɑrˈniŋ orˈtɑ ɑrɑreˈti miˈnus ˈbir ˈdørt dereˈd͡ʒe , ijylˈniŋ jiɡirˈmi jeˈdi ˈyt͡ʃ dereˈd͡ʒe .
Saq iklim ve tabiat şaraitlerinen Kezlevge beñzey. Mında yalı boyu - çöl iklimi, pek qurğaqlı, yımşaq qış ile. Avanıñ orta yıllıq arareti +11,2 °C; yaz aylarınıñ orta arareti +22 °C, qış aylarında ise ava arareti sıfırğa yaqın ola. Yıl devamında küneşli saatlarnıñ orta miqdarı 2500.	ˈsɑq ikˈlim ˈve tɑbiˈɑt ʃɑrɑitleriˈnen kezlewˈɡe beŋˈzej . mɯnˈdɑ jɑˈlɯ boˈju ˈt͡ʃøl ikliˈmi , ˈpek qurɣɑqˈlɯ , jɯmˈʃɑq ˈqɯʃ iˈle . ɑvɑˈnɯŋ orˈtɑ jɯˈlːɯq ɑrɑreˈti ˈon ˈbir eˈki dereˈd͡ʒe , ˈjɑz ɑjlɑrɯˈnɯŋ orˈtɑ ɑrɑreˈti jiɡirˈmi eˈki dereˈd͡ʒe , ˈqɯʃ ɑjlɑrɯnˈdɑ iˈse ɑˈvɑ ɑrɑreˈti sɯfɯrˈɣɑ jɑˈqɯn oˈlɑ . ˈjɯl devɑmɯnˈdɑ kyneʃˈli sɑːtlɑrˈnɯŋ orˈtɑ miqdɑˈrɯ eˈki ˈbiŋ ˈbeʃ ˈjyz .
2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012	eˈki ˈbiŋ eˈki eˈki ˈbiŋ ˈyt͡ʃ eˈki ˈbiŋ ˈdørt eˈki ˈbiŋ ˈbeʃ eˈki ˈbiŋ ɑlˈtɯ eˈki ˈbiŋ jeˈdi eˈki ˈbiŋ seˈkiz eˈki ˈbiŋ doˈquz eˈki ˈbiŋ ˈon eˈki ˈbiŋ ˈon ˈbir eˈki ˈbiŋ ˈon eˈki
Abdureim Reşidov 1912 senesi Qırımda, Mamaşay köyünde köylü qorantasında doğdı. O, yaşlıqtan uçucılıq zenaatına aveslendi ve Aqmescit aeroklubına oqumağa kirdi. Soñra Ades (Odessa) arbiy uçucılar mektebini bitirdi ve arbiy uçucı oldı.	ɑbdureˈim reʃiˈdow ˈbiŋ doˈquz ˈjyz ˈon eˈki seneˈsi qɯrɯmˈdɑ , mɑmɑˈʃɑj køjynˈde køjˈly qorɑntɑsɯnˈdɑ doɣˈdɯ . ˈo , jɑʃlɯqˈtɑn ut͡ʃud͡ʒɯˈlɯq zenɑːtɯˈnɑ ɑveslenˈdi ˈve ɑqmesˈd͡ʒit ɑeroklubɯˈnɑ oqumɑˈɣɑ kirˈdi . soŋˈrɑ ɑˈdes odeˈsːɑ ɑrˈbij ut͡ʃud͡ʒɯˈlɑr mektebiˈni bitirˈdi ˈve ɑrˈbij ut͡ʃuˈd͡ʒɯ olˈdɯ .
1945 senesiniñ iyün ayında Abdureim Reşidovğa uruşlarda köstergen cesürlik, fedakârlıqları içün Şuralar Birliginiñ Qaramanı unvanı berildi ve “Altın Yıldız” taqdim etildi.	ˈbiŋ doˈquz ˈjyz ˈqɯrq ˈbeʃ senesiˈniŋ iˈjyn ɑjɯnˈdɑ ɑbdureˈim reʃidowˈɣɑ uruʃlɑrˈdɑ køsterˈɡen d͡ʒesyrˈlik , fedɑkarlɯqlɑˈrɯ iˈt͡ʃyn ʃurɑˈlɑr birliɡiˈniŋ qɑrɑmɑˈnɯ unvɑˈnɯ berilˈdi ˈve ɑlˈtɯn jɯlˈdɯz tɑqˈdim etilˈdi .
Abibulla Abdureşid oğlu Odabaş (1891 – 1938 (?) ) – belli qırımtatar yazıcı ve medeniyet erbabı.	ɑbibuˈlːɑ ɑbdureˈʃid oɣˈlu odɑˈbɑʃ ˈbiŋ seˈkiz ˈjyz doqˈsɑn ˈbir , ˈbiŋ doˈquz ˈjyz oˈtuz seˈkiz ? beˈlːi qɯrɯmtɑˈtɑr jɑzɯˈd͡ʒɯ ˈve medeniˈjet erbɑˈbɯ .
Coğrafik ceetten Qırım eki teñ olmağan qısımğa bölüne: onıñ şimali çöl (bütün yarımadanıñ 4/5 qısmı), cenübi ise ormanlı Qırım dağlarıdır (meydanlıqnıñ 1/5 qısmı). Aqyardan Kefege qadar üç dağ sırası uzana. Eñ yüksek soyu yalı boyunda uzanğan Baş ya da Cenübiy dağ sırasıdır, onda Qırımnıñ eñ yüksek noqtası Roman Qoş degen dağ (1545 m) buluna.	d͡ʒoɣrɑˈfik d͡ʒeːˈtːen qɯˈrɯm eˈki ˈteŋ olmɑˈɣɑn qɯsɯmˈɣɑ bølyˈne , oˈnɯŋ ʃimɑˈli ˈt͡ʃøl byˈtyn jɑrɯmɑdɑˈnɯŋ ˈdørt ˈbeʃ qɯsˈmɯ , d͡ʒenyˈbi iˈse ormɑnˈlɯ qɯˈrɯm dɑɣlɑrɯˈdɯr mejdɑnlɯqˈnɯŋ ˈbir ˈbeʃ qɯsˈmɯ . ɑqjɑrˈdɑn kefeˈɡe qɑˈdɑr ˈyt͡ʃ ˈdɑɣ sɯrɑˈsɯ uzɑˈnɑ . ˈeŋ jykˈsek soˈju jɑˈlɯ bojunˈdɑ uzɑnˈɣɑn ˈbɑʃ ˈjɑ ˈdɑ d͡ʒenyˈbij ˈdɑɣ sɯrɑsɯˈdɯr , onˈdɑ qɯrɯmˈnɯŋ ˈeŋ jykˈsek noqtɑˈsɯ roˈmɑn ˈqoʃ deˈɡen ˈdɑɣ ˈbiŋ ˈbeʃ ˈjyz ˈqɯrq ˈbeʃ ˈmetr buluˈnɑ .
Mecliske 33 kişi saylana. Meclis toplaşuvları, üç ayda bir kereden az olmayacaq şekilde ötkerilip, Meclis azalarınıñ 2/3-den az olmağan qısmınıñ iştirak etmesinen keçerli sayıla. Meclis qararları, toplaşuvğa iştirak etken azalarnıñ mıtlaqa ekseriyet reyi ile alına.	med͡ʒlisˈke oˈtuz ˈyt͡ʃ kiˈʃi sɑjlɑˈnɑ . med͡ʒˈlis toplɑʃuwlɑˈrɯ , ˈyt͡ʃ ɑjˈdɑ ˈbir kereˈden ˈɑz olmɑjɑˈd͡ʒɑq ʃekilˈde øtkeriˈlip , med͡ʒˈlis ɑzɑlɑrɯˈnɯŋ eˈki ˈyt͡ʃ ˈden ˈɑz olmɑˈɣɑn qɯsmɯˈnɯŋ iʃtiˈrɑk etmesiˈnen ket͡ʃerˈli sɑjɯˈlɑ . med͡ʒˈlis qɑrɑrlɑˈrɯ , toplɑʃuwˈɣɑ iʃtiˈrɑk etˈken ɑzɑlɑrˈnɯŋ mɯtlɑˈqɑ ekseriˈjet reˈji iˈle ɑlɯˈnɑ .
Meclis azalarınıñ eñ az 1/3 qısmınıñ talabınen;	med͡ʒˈlis ɑzɑlɑrɯˈnɯŋ ˈeŋ ˈɑz ˈbir ˈyt͡ʃ qɯsmɯˈnɯŋ tɑlɑbɯˈnen ,
-{Zhào Xiāngrú and Reinhard F. Hahn (1989). "The Ili Turk People and Their Language". Central Asiatic Journal}- 33 (3/4): 261-285.	zhɑˈo ziɑnɡˈru ˈɑnd reinˈhɑrd f . ˈhɑhn ˈbiŋ doˈquz ˈjyz sekˈsen doˈquz . tˈhe ɯˈli ˈturk peopˈle ˈɑnd theˈir lɑnɡuɑˈɡe . d͡ʒentˈrɑl ɑsiɑˈtid͡ʒ ʒourˈnɑl oˈtuz ˈyt͡ʃ ˈyt͡ʃ ˈdørt , eˈki ˈjyz ɑltˈmɯʃ ˈbir , eˈki ˈjyz sekˈsen ˈbeʃ .
Aşqabat, 773 400 (01.01.2004) kişinen Türkmenistannıñ eñ balaban şeeridir. Şeerniñ ealisi esasen Türkmenlerden ibaret. Daa soñra sırasınen Rus, Ermeni ve Azeri kibi qavmiy azlıqlar kele. Şeerniñ büyük çoqluğınıñ sünniy musulman olmasınıñ yanında, hristian azlıqlar da buluna. Ayrıca Aşqabat keçmişte Bahai azlığınıñ da müim bir yerleşim yeri edi.	ɑʃqɑˈbɑt , jeˈdi ˈjyz jetˈmiʃ ˈyt͡ʃ ˈbiŋ ˈdørt ˈjyz ˈbir ˈbir eˈki ˈbiŋ ˈdørt kiʃiˈnen tyrkmenistɑˈnːɯŋ ˈeŋ bɑlɑˈbɑn ʃeːriˈdir . ʃeːrˈniŋ eɑliˈsi esɑˈsen tyrkmenlerˈden ibɑˈret . ˈdɑː soŋˈrɑ sɯrɑsɯˈnen ˈrus , ermeˈni ˈve ɑzeˈri kiˈbi qɑwˈmij ɑzlɯqˈlɑr keˈle . ʃeːrˈniŋ byˈjyk t͡ʃoqluɣɯˈnɯŋ syˈnːij musulˈmɑn olmɑsɯˈnɯŋ jɑnɯnˈdɑ , hristiˈɑn ɑzlɯqˈlɑr ˈdɑ buluˈnɑ . ɑjrɯˈd͡ʒɑ ɑʃqɑˈbɑt ket͡ʃmiʃˈte bɑhɑˈi ɑzlɯɣɯˈnɯŋ ˈdɑ myˈim ˈbir jerleˈʃim jeˈri eˈdi .
Desna () - Ukrainanıñ Çernigiv vilâyetinde bir qasaba. Ealisiniñ sayısı 6 800 kişi (09.01.2025 senesi).	desˈnɑ ukrɑinɑˈnɯŋ t͡ʃerniˈɡiw vilajetinˈde ˈbir qɑsɑˈbɑ . eɑlisiˈniŋ sɑjɯˈsɯ ɑlˈtɯ ˈbiŋ seˈkiz ˈjyz kiˈʃi doˈquz ˈbir eˈki ˈbiŋ jiɡirˈmi ˈbeʃ seneˈsi .
Mena () - Ukrainanıñ Çernigiv vilâyetinde bir şeer. Ealisiniñ sayısı 10 600 kişi (01.12.2024 senesi).	meˈnɑ ukrɑinɑˈnɯŋ t͡ʃerniˈɡiw vilajetinˈde ˈbir ˈʃeːr . eɑlisiˈniŋ sɑjɯˈsɯ ˈon ˈbiŋ ɑlˈtɯ ˈjyz kiˈʃi ˈbir ˈon eˈki eˈki ˈbiŋ jiɡirˈmi ˈdørt seneˈsi .
Yuliya Tımoşenko () - 13-ünci (4.02.2005 - 8.09.2005) ve 16-ncı (18.12.2007 - 3.03.2010) Ukraina baş naziri. "Batkivşçına" ("Vatan") siyasiy fırqası ve "Blok Yuliyi Tımoşenko" ("Yuliya Tımoşenko Bloku") saylav blokunıñ yolbaşçısı.	juliˈjɑ tɯmoʃenˈko miˈnus ˈon ˈyt͡ʃ ynˈd͡ʒi ˈdørt eˈki eˈki ˈbiŋ ˈbeʃ , seˈkiz doˈquz eˈki ˈbiŋ ˈbeʃ ˈve ˈon ɑlˈtɯ nˈd͡ʒɯ ˈon seˈkiz ˈon eˈki eˈki ˈbiŋ jeˈdi , ˈyt͡ʃ ˈyt͡ʃ eˈki ˈbiŋ ˈon ukrɑiˈnɑ ˈbɑʃ nɑziˈri . bɑtkiwʃt͡ʃɯˈnɑ vɑˈtɑn sijɑˈsij fɯrqɑˈsɯ ˈve bˈlok juliˈji tɯmoʃenˈko juliˈjɑ tɯmoʃenˈko bloˈku sɑjˈlɑw blokuˈnɯŋ jolbɑʃt͡ʃɯˈsɯ .
