The Latin Library, Suetoni Tranquilli vita Divi Augusti	ˈtʰɛ ˈɫatɪn ˈlɪbrary , suˈɛtɔnɪ traŋˈkʷɪllɪ ˈwɪta ˈdɪwɪ au̯ˈɡʊstɪ
Scripta a Darowski edita pertinent potissimum ad anthropologiam philosophicam et ad historiam philosophiae in Polonia, praecipue philosophiae a iesuitis excultae. Publici iuris fecit quindecim libros et plus quam 300 commentarios, ex quibus supra quinquaginta in alienis linguis.	sˈkrɪpta ˈa daˈrɔwskɪ ˈɛdɪta ˈpɛrtɪnɛnt pɔˈtɪssɪmũː ˈad antʰrɔpɔˈɫɔɡiãː pʰɪɫɔˈsɔpʰɪkãː ˈɛt ˈad hɪsˈtɔriãː pʰɪɫɔˈsɔpʰiae̯ ˈɪn pɔˈɫɔnia , prae̯ˈkɪpuɛ pʰɪɫɔˈsɔpʰiae̯ ˈa jɛˈsuɪtɪs ɛksˈkʊɫtae̯ . ˈpʊblɪkɪ ˈjʊrɪs ˈfɛkɪt ˈkʷɪndɛkĩː ˈlɪbrɔs ˈɛt ˈpɫʊs ˈkʷãː trɛˈkɛntiː kɔmmɛnˈtariɔs , ˈɛks ˈkʷɪbʊs ˈsʊpra kʷɪŋkʷaˈɡɪnta ˈɪn aˈliɛnɪs ˈlɪŋɡʷɪs .
Fratres Friedemann anno 1598 ambonem quoque fecerunt. Altitudinis 7 metrorum est et invenitur in pilastro merdionali arcus triumphalis in choro. Pulpitum ad latus septentrionale non ante saeculum XIX in aedificium venit.	ˈfratrɛs friˈɛdɛmann ˈannɔ ˈmiːllɛ kʷiːŋˈɡɛntiː duɔdeːˈkɛntũː ˈambɔnẽː ˈkʷɔkʷɛ ˈfɛkɛrʊnt . aɫtɪˈtʊdɪnɪs ˈsɛptẽː ˈmɛtrɔrũː ˈɛst ˈɛt ɪnˈwɛnɪtʊr ˈɪn pɪˈɫastrɔ mɛrdiˈɔnalɪ ˈarkʊs triˈʊmpʰalɪs ˈɪn ˈkʰɔrɔ . ˈpʊɫpɪtũː ˈad ˈɫatʊs sɛptɛntriˈɔnaɫɛ ˈnɔn ˈantɛ ˈsae̯kʊɫũː uːndeːwiːˈɡɪntiː ˈɪn ae̯dɪˈfɪkiũː ˈwɛnɪt .
Cum substantia activa non iam diluta sit, liberatio velocitatem in tali re statuens primo grado erit. At substantiae inactivae aeque eodem modo momenti sunt.	ˈkũː sʊpsˈtantia ˈaktɪwa ˈnɔn ˈjãː ˈdɪɫʊta ˈsɪt , lɪbɛˈratiɔ wɛɫɔˈkɪtatẽː ˈɪn ˈtalɪ ˈrɛ sˈtatuẽːs ˈprɪmɔ ˈɡradɔ ˈɛrɪt . ˈat sʊpsˈtantiae̯ ɪˈnaktɪwae̯ ˈae̯kʷɛ ˈeɔdẽː ˈmɔdɔ mɔˈmɛntɪ ˈsʊnt .
Barbara Pierce Bush, filia Georgii W. Bush, olim praesidis Civitatum Foederatarum	ˈbarbara piˈɛrkɛ ˈbʊsh , ˈfɪlia ɡeˈɔrɡiɪ w . ˈbʊsh , ˈɔlĩː ˈprae̯sɪdɪs kɪˈwɪtatũː foe̯dɛˈratarũː
liber definitivus Esperanticae linguae Vasconibus aptus, cui titulus: Esperantoa ikasgai (1990; editio altera anni 2016 est).	ˈlɪbɛr dɛfɪˈnɪtɪwʊs ɛspɛˈrantɪkae̯ ˈlɪŋɡʷae̯ wasˈkɔnɪbʊs ˈaptʊs , ˈkuɪ ˈtɪtʊɫʊs , ɛspɛˈrantoa ɪˈkasɡaɪ ˈmiːllɛ noːŋˈɡɛntiː noːnaːˈɡɪntaː , ɛˈdɪtiɔ ˈaɫtɛra ˈannɪ ˈduɔ ˈmiːlia ˈseːdɛkĩː ˈɛst .
Goldfarb, Michael (2009). Emancipation: How Liberating Europe's Jews from the Ghetto Led to Revolution and Resistance. New York: Simon & Schuster. ISBN 978-1-4165-4796-9.	ˈɡɔɫdfarb , ˈmɪkʰae̯ɫ ˈduɔ ˈmiːlia ˈnɔwẽː . ɛmaŋkɪˈpatiɔn , ˈhɔw lɪˈbɛratɪŋɡ eˈʊrɔpɛ s ˈjɛws ˈfrõː ˈtʰɛ ɡˈhɛttɔ ˈɫɛd ˈtɔ rɛwɔˈɫʊtiɔn ˈand rɛsɪsˈtaŋkɛ . ˈnɛw ˈyɔrk , ˈsɪmɔn sˈkʰʊstɛr . ˈɪsbn noːŋˈɡɛntiː duɔdeːɔktoːˈɡɪntaː ˈuːnʊs ˈkʷattuɔr ˈmiːlia ˈkɛntũː sɛksaːˈɡɪntaː ˈkʷiːŋkʷɛ ˈkʷattuɔr ˈmiːlia sɛptɪŋˈɡɛntiː noːnaːˈɡɪntaː ˈsɛks ˈnɔwẽː .
Nina Darnton, "An American Artist Displeases the English Cousins" in New York Times (24 Octobris 1994)	ˈnɪna ˈdarntɔn , ˈan aˈmɛrɪkan ˈartɪst dɪsˈpɫeasɛs ˈtʰɛ ˈɛŋɡlɪsh ˈkoʊsĩːs ˈɪn ˈnɛw ˈyɔrk ˈtɪmɛs wiːˈɡɪntiː ˈkʷattuɔr ˈɔktɔbrɪs ˈmiːllɛ noːŋˈɡɛntiː noːnaːˈɡɪntaː ˈkʷattuɔr
Macrobius libro primo Saturnaliorum 10(17) et 13(20)	maˈkrɔbiʊs ˈlɪbrɔ ˈprɪmɔ satʊrnaˈliɔrũː ˈdɛkẽː sɛpˈtɛndɛkĩː ˈɛt ˈtrɛdɛkĩː wiːˈɡɪntiː
1557 : Hans Staden, Warhaftige Historia und Beschreibung eyner Landtschafft der wilden, nacketen, grimmigen menschfresser Leuthen in der Newenwelt America gelegen lib. 2 cap 29; pp. 123-129 versionis Latinae	ˈmiːllɛ kʷiːŋˈɡɛntiː kʷiːŋkʷaːˈɡɪntaː ˈsɛptẽː , ˈhãːs sˈtadɛn , waˈrʰaftɪɡɛ hɪsˈtɔria ˈʊnd bɛsˈkʰreɪbʊŋɡ ˈeynɛr ˈɫandtskʰafft ˈdɛr ˈwɪɫdɛn , ˈnakkɛtɛn , ˈɡrɪmmɪɡɛn mẽːskʰˈfrɛssɛr ˈɫeʊtʰɛn ˈɪn ˈdɛr nɛˈwɛnwɛɫt aˈmɛrɪka ˈɡɛɫɛɡɛn ˈlɪb . ˈduɔ ˈkap uːndeːtriːˈɡɪntaː , pp . ˈkɛntũː wiːˈɡɪntiː ˈtreːs , ˈkɛntũː uːndeːtriːˈɡɪntaː wɛrˈsiɔnɪs ˈɫatɪnae̯
cum substantiis antipsychoticis , id sunt ex thioxantheno substantiae derivatae, habent. Hic quinque substantiarum perscribuntur:	ˈkũː sʊpsˈtantiɪs antɪpsyˈkʰɔtɪkɪs , ˈɪd ˈsʊnt ˈɛks tʰiɔkˈsantʰɛnɔ sʊpsˈtantiae̯ dɛˈrɪwatae̯ , ˈhabɛnt . ˈhɪk ˈkʷɪŋkʷɛ sʊpstanˈtiarũː pɛrskrɪˈbʊntʊr ,
Diltiazemum effectuus antihypertensivorum suorum vasodilatationem et relaxationem musculorum levium perficit. Praeterea nodus atrioventricularis cordis deprimitur. Exempli effectuum non desideratorum posse sint: vomitus, diarrhoea, bradycardia (pulsus tardus), insufficientia cordis, reactio allergica.	dɪɫtiˈazzɛmũː ɛfˈfɛktuʊs antɪhypɛrtẽːˈsɪwɔrũː ˈsuɔrũː wasɔdɪɫataˈtiɔnẽː ˈɛt rɛɫaksaˈtiɔnẽː mʊsˈkʊɫɔrũː ˈɫɛwiũː ˈpɛrfɪkɪt . prae̯ˈtɛrea ˈnɔdʊs atriɔwɛntrɪˈkʊɫarɪs ˈkɔrdɪs dɛˈprɪmɪtʊr . ɛkˈsɛmplɪ ɛfˈfɛktuũː ˈnɔn dɛsɪdɛˈratɔrũː ˈpɔssɛ ˈsɪnt , ˈwɔmɪtʊs , diarˈrʰoe̯a , bradyˈkardia ˈpʊɫsʊs ˈtardʊs , ĩːsʊffɪkiˈɛntia ˈkɔrdɪs , reˈaktiɔ alˈlɛrɡɪka .
Paige McClanahan, "Roberto Azevêdo to be named new World Trade Organisation chief" in The Guardian (8 Maii 2013)	ˈpaɪɡɛ mkˈkɫanahan , rɔˈbɛrtɔ azˈzɛwɛdɔ ˈtɔ ˈbɛ ˈnamɛd ˈnɛw ˈwɔrɫd ˈtradɛ ɔrɡanɪˈsatiɔn ˈkʰiɛf ˈɪn ˈtʰɛ ɡuˈardian ˈɔktoː ˈmajjɪ ˈduɔ ˈmiːlia ˈtrɛdɛkĩː
Musculus pectineus (una cum nervo obturatorii, innervatio nervo obturatorio accessorio non constanter, ca. 20%)	ˈmʊskʊɫʊs pɛkˈtɪneʊs ˈʊna ˈkũː ˈnɛrwɔ ɔptʊraˈtɔriɪ , ɪnnɛrˈwatiɔ ˈnɛrwɔ ɔptʊraˈtɔriɔ akkɛsˈsɔriɔ ˈnɔn kõːsˈtantɛr , ˈka . wiːˈɡɪntiː kɛnˈtɛsɪmae̯
Sergio Arauz, Nelson Rauda Zablah, "El uso arbitrario de la partida secreta lleva a la detención del expresidente Saca y su equipo" in El Faro (30 Octobris 2016)	ˈsɛrɡiɔ ˈarau̯z , ˈnɛɫsɔn ˈrau̯da ˈzabɫah , ˈɛɫ ˈʊsɔ arbɪˈtrariɔ ˈdɛ ˈɫa ˈpartɪda ˈsɛkrɛta lˈlɛwa ˈa ˈɫa dɛˈtɛŋkiɔn ˈdɛɫ ɛksprɛsɪˈdɛntɛ ˈsaka ˈy ˈsʊ ˈɛkʷɪpɔ ˈɪn ˈɛɫ ˈfarɔ triːˈɡɪntaː ˈɔktɔbrɪs ˈduɔ ˈmiːlia ˈseːdɛkĩː
Fricker, Mark, et Colin Willmer. 2012. Stomata. Springer Netherlands. ISBN 978-94-011-0579-8.	ˈfrɪkkɛr , ˈmark , ˈɛt ˈkɔlɪn ˈwɪllmɛr . ˈduɔ ˈmiːlia duˈɔdɛkĩː . sˈtɔmata . sˈprɪŋɡɛr nɛˈtʰɛrɫands . ˈɪsbn noːŋˈɡɛntiː duɔdeːɔktoːˈɡɪntaː noːnaːˈɡɪntaː ˈkʷattuɔr ˈuːndɛkĩː kʷiːŋˈɡɛntiː uːndeːɔktoːˈɡɪntaː ˈɔktoː .
Pagina de Leone Pontrjagin e Lexico encyclopaedico mathematico	ˈpaɡɪna ˈdɛ ˈɫeɔnɛ ˈpɔntrjaɡɪn ˈɛ ˈɫɛksɪkɔ ɛŋkykɫɔˈpae̯dɪkɔ matʰɛˈmatɪkɔ
Thunnus alalunga (binomen a Petro Iosepho Bonnaterre anno 1788 statutum) est species piscium per mundum fere omnem in oceanis Pacifico, Indico, Atlantico Mediterraneoque mari habitantium, ab hominibus assidue venatorum.	ˈtʰʊnnʊs aɫaˈɫʊŋɡa ˈbɪnɔmɛn ˈa ˈpɛtrɔ ˈjɔsɛpʰɔ bɔnnaˈtɛrrɛ ˈannɔ ˈmiːllɛ sɛptɪŋˈɡɛntiː duɔdeːnoːnaːˈɡɪntaː sˈtatʊtũː ˈɛst sˈpɛkiɛs ˈpɪskiũː ˈpɛr ˈmʊndũː ˈfɛrɛ ˈɔmnẽː ˈɪn ɔˈkeanɪs paˈkɪfɪkɔ , ˈɪndɪkɔ , aˈtɫantɪkɔ mɛdɪtɛrraˈneɔkʷɛ ˈmarɪ habɪˈtantiũː , ˈab hɔˈmɪnɪbʊs asˈsɪduɛ wɛˈnatɔrũː .
Principissa Maria Laura (nata Woluae Sancti Lamberti die 26 Augusti 1988)	prɪŋkɪˈpɪssa ˈmaria ˈɫau̯ra ˈnata ˈwɔɫuae̯ ˈsaŋktɪ ɫamˈbɛrtɪ ˈdiɛ wiːˈɡɪntiː ˈsɛks au̯ˈɡʊstɪ ˈmiːllɛ noːŋˈɡɛntiː duɔdeːnoːnaːˈɡɪntaː
Mense Octobri anno 2022 regio Zaporizhiensis consilio gubernationis Russicae ad Russiam tota adnexa est (omnibus paene civitatibus negantibus); de facto pars regionis borealis et Zaporizhia urbs ipsa administrationi Russicae non subdita est; caput regionis Zaporizhiensis Russicae Melitopolis est.	ˈmẽːsɛ ˈɔktɔbrɪ ˈannɔ ˈduɔ ˈmiːlia wiːˈɡɪntiː ˈduɔ ˈrɛɡiɔ zapɔrɪzhiˈẽːsɪs kõːˈsɪliɔ ɡʊbɛrnaˈtiɔnɪs ˈrʊssɪkae̯ ˈad ˈrʊssiãː ˈtɔta adˈnɛksa ˈɛst ˈɔmnɪbʊs ˈpae̯nɛ kɪwɪˈtatɪbʊs nɛˈɡantɪbʊs , ˈdɛ ˈfaktɔ ˈpars rɛˈɡiɔnɪs bɔˈrealɪs ˈɛt zapɔˈrɪzhia ˈʊrps ˈɪpsa admɪnɪstraˈtiɔnɪ ˈrʊssɪkae̯ ˈnɔn ˈsʊbdɪta ˈɛst , ˈkapʊt rɛˈɡiɔnɪs zapɔrɪzhiˈẽːsɪs ˈrʊssɪkae̯ mɛlɪˈtɔpɔlɪs ˈɛst .
Ex Beaver Dam (1999), obtulit rex insomnem, Editor Miloš P. Zapletal	ˈɛks ˈbeawɛr ˈdãː ˈmiːllɛ noːŋˈɡɛntiː uːndeːˈkɛntũː , ˈɔptʊlɪt ˈrɛks ĩːˈsɔmnẽː , ˈɛdɪtɔr ˈmɪɫɔs p . ˈzapɫɛtaɫ
Enciklopedio de Esperanto, versio FictionBook.	ɛŋkɪkɫɔˈpɛdiɔ ˈdɛ ɛspɛˈrantɔ , ˈwɛrsiɔ fɪktiˈɔnboɔk .
Spica est stirpis frumenti culmen quod grana continet. Etiam potest esse:	sˈpɪka ˈɛst sˈtɪrpɪs frʊˈmɛntɪ ˈkʊɫmɛn ˈkʷɔd ˈɡrana ˈkɔntɪnɛt . ˈɛtiãː ˈpɔtɛst ˈɛssɛ ,
Castrum Tiuelis (alia nomina: Triuella ) (Slovenice: Trbovlje; Theodisce: Trifail) est urbs Sloveniae, caput Municipii Tiuelis, in historica provincia Styria sita. Castrum Tiuelis est urbs princeps regionis statisticae Savaniae Mediae.	ˈkastrũː tiˈuɛlɪs ˈalia ˈnɔmɪna , triuˈɛlla sɫɔˈwɛnɪkɛ , trˈbɔwljɛ , tʰeɔˈdɪskɛ , ˈtrɪfaɪɫ ˈɛst ˈʊrps sɫɔˈwɛniae̯ , ˈkapʊt mʊnɪˈkɪpiɪ tiˈuɛlɪs , ˈɪn hɪsˈtɔrɪka prɔˈwɪŋkia sˈtyria ˈsɪta . ˈkastrũː tiˈuɛlɪs ˈɛst ˈʊrps ˈprɪŋkɛps rɛˈɡiɔnɪs staˈtɪstɪkae̯ saˈwaniae̯ ˈmɛdiae̯ .
Pulcheriopolis fuit sedes episcopalis Ecclesiae Catholicae Romanae, saeculo V condita. Hodie est sedes titularis nomine Dioecesis Pulcheriopolitana.	pʊɫkʰɛriˈɔpɔlɪs ˈfuɪt ˈsɛdɛs ɛpɪsˈkɔpalɪs ɛkˈkɫɛsiae̯ kaˈtʰɔlɪkae̯ ˈrɔmanae̯ , ˈsae̯kʊɫɔ w ˈkɔndɪta . ˈhɔdiɛ ˈɛst ˈsɛdɛs tɪˈtʊɫarɪs ˈnɔmɪnɛ diˈoe̯kɛsɪs pʊɫkʰɛriɔpɔˈlɪtana .
Ex Alberto Eduardo, primigenito Victoriae Reginae filio, tunc annos decem nato et iam Principe Cambriae, primum anno 1851 appellata est; qui princeps tandem anno 1901 Eduardus VII rex regnare coeperit.	ˈɛks aɫˈbɛrtɔ ɛduˈardɔ , prɪmɪˈɡɛnɪtɔ wɪkˈtɔriae̯ ˈrɛɡɪnae̯ ˈfɪliɔ , ˈtʊŋk ˈannɔs ˈdɛkẽː ˈnatɔ ˈɛt ˈjãː ˈprɪŋkɪpɛ ˈkambriae̯ , ˈprɪmũː ˈannɔ ˈmiːllɛ ɔktɪŋˈɡɛntiː kʷiːŋkʷaːˈɡɪntaː ˈuːnʊs apˈpɛllata ˈɛst , ˈkʷɪ ˈprɪŋkɛps ˈtandẽː ˈannɔ ˈmiːllɛ noːŋˈɡɛntiː ˈuːnʊs ɛduˈardʊs ˈsɛptẽː ˈrɛks ˈrɛŋnarɛ ˈkoe̯pɛrɪt .
Meditrinae Aesculapii filiae festum dedicatum esse dicitur, sed non sine dubio. Fasti Amiterni et Fasti fratrum Arvalium die 11 Octobris festum Iovis indicant; fortasse, sicut alterae feriae vindemiatorum, Vinalia Priora et Rustica, Iovi Meditrinalia dedicata sunt.	mɛˈdɪtrɪnae̯ ae̯skʊˈɫapiɪ ˈfɪliae̯ ˈfɛstũː dɛˈdɪkatũː ˈɛssɛ ˈdɪkɪtʊr , ˈsɛd ˈnɔn ˈsɪnɛ ˈdʊbiɔ . ˈfastɪ amɪˈtɛrnɪ ˈɛt ˈfastɪ ˈfratrũː arˈwaliũː ˈdiɛ ˈuːndɛkĩː ˈɔktɔbrɪs ˈfɛstũː ˈjɔwɪs ˈɪndɪkant , fɔrˈtassɛ , ˈsɪkʊt ˈaɫtɛrae̯ ˈfɛriae̯ wɪndɛmiˈatɔrũː , wɪˈnalia ˈpriɔra ˈɛt ˈrʊstɪka , ˈjɔwɪ mɛdɪtrɪˈnalia dɛˈdɪkata ˈsʊnt .
Turris Bonifaz: In Lomana sita, munimentum medioevale quod defensionis systema vallis illustrat.	ˈtʊrrɪs ˈbɔnɪfaz , ˈɪn ˈɫɔmana ˈsɪta , mʊnɪˈmɛntũː mɛdiˈoe̯waɫɛ ˈkʷɔd dɛfẽːˈsiɔnɪs ˈsystɛma ˈwallɪs ɪlˈlʊstrat .
Fabellam de vulpe et uva primum exposuisse videtur Aesopus saeculo VI a.Chr.n., sed meminisse debemus eius generis fabulas iam ante apud Hesiodum et Archilochum, nec non apud populos orientales, expositas esse.	faˈbɛllãː ˈdɛ ˈwʊɫpɛ ˈɛt ˈʊwa ˈprɪmũː ɛkspɔsuˈɪssɛ ˈwɪdɛtʊr ˈae̯sɔpʊs ˈsae̯kʊɫɔ ˈwɪ ˈa . kʰr . n , ˈsɛd mɛmɪˈnɪssɛ ˈdɛbɛmʊs ˈɛjjʊs ˈɡɛnɛrɪs ˈfabʊɫas ˈjãː ˈantɛ ˈapʊd hɛˈsiɔdũː ˈɛt arˈkʰɪɫɔkʰũː , ˈnɛk ˈnɔn ˈapʊd ˈpɔpʊɫɔs ɔriˈɛntaɫɛs , ɛksˈpɔsɪtas ˈɛssɛ .
Flumen Rubrum Vietnamiae et Sinarum, vulgo Sông Hồng	ˈfɫʊmɛn ˈrʊbrũː wiɛtˈnamiae̯ ˈɛt ˈsɪnarũː , ˈwʊɫɡɔ ˈsɔŋɡ ˈhɔŋɡ
Heroides est collectio elegiarum Iacobi Bidermanni, quas annis tricesimis saeculi XVII componebat, Heroides Ovidii et Helii Eobani Hessi imitans et cum eo certans. Epistolae sunt in primo et secundo libro personarum Veteris Testamenti, in libro tertio Ecclesiae, ubi Bidermannus ecclesiologiam suam poetice enarravit.	hɛˈroɪdɛs ˈɛst kɔlˈlɛktiɔ ɛɫɛˈɡiarũː ˈjakɔbɪ bɪdɛrˈmannɪ , ˈkʷas ˈannɪs trɪˈkɛsɪmɪs ˈsae̯kʊlɪ sɛpˈtɛndɛkĩː kɔmˈpɔnɛbat , hɛˈroɪdɛs ɔˈwɪdiɪ ˈɛt ˈhɛliɪ eˈɔbanɪ ˈhɛssɪ ˈɪmɪtãːs ˈɛt ˈkũː ˈeɔ ˈkɛrtãːs . ɛˈpɪstɔɫae̯ ˈsʊnt ˈɪn ˈprɪmɔ ˈɛt sɛˈkʊndɔ ˈlɪbrɔ pɛrˈsɔnarũː ˈwɛtɛrɪs tɛstaˈmɛntɪ , ˈɪn ˈlɪbrɔ ˈtɛrtiɔ ɛkˈkɫɛsiae̯ , ˈʊbɪ bɪdɛrˈmannʊs ɛkkɫɛsiɔˈɫɔɡiãː ˈsuãː ˈpoe̯tɪkɛ ɛˈnarrawɪt .
Noel Robertson, "The origin of the Panathenaea", Rheinisches Museum für Philologie, 1985ː 231-295	ˈnoe̯ɫ rɔˈbɛrtsɔn , ˈtʰɛ ˈɔrɪɡɪn ˈɔf ˈtʰɛ panatʰɛˈnae̯a , rʰeɪˈnɪskʰɛs ˈmʊseũː ˈfur pʰɪɫɔˈɫɔɡiɛ , ˈmiːllɛ noːŋˈɡɛntiː ɔktoːˈɡɪntaː ˈkʷiːŋkʷɛ dʊˈkɛntiː triːˈɡɪntaː ˈuːnʊs , dʊˈkɛntiː noːnaːˈɡɪntaː ˈkʷiːŋkʷɛ
Michaël Moussa Adamo (Makokou in urbe natus die 10 Ianuarii 1961; Liberopoli die 20 Ianuarii 2023 mortuus) fuit legatus et politicus Gabonis.	ˈmɪkʰaeɫ moˈʊssa ˈadamɔ maˈkɔkoʊ ˈɪn ˈʊrbɛ ˈnatʊs ˈdiɛ ˈdɛkẽː januˈariɪ ˈmiːllɛ noːŋˈɡɛntiː sɛksaːˈɡɪntaː ˈuːnʊs , lɪbɛˈrɔpɔlɪ ˈdiɛ wiːˈɡɪntiː januˈariɪ ˈduɔ ˈmiːlia wiːˈɡɪntiː ˈtreːs ˈmɔrtuʊs ˈfuɪt ˈɫɛɡatʊs ˈɛt pɔˈlɪtɪkʊs ˈɡabɔnɪs .
Fluvius Magnus (Hispanice Río Grande et Lusitanice Rio Grande) permulta flumina appellantur, quorum maxima sunt:	ˈfɫʊwiʊs ˈmaŋnʊs hɪsˈpanɪkɛ ˈriɔ ˈɡrandɛ ˈɛt ɫʊsɪˈtanɪkɛ ˈriɔ ˈɡrandɛ pɛrˈmʊɫta ˈfɫʊmɪna appɛlˈlantʊr , ˈkʷɔrũː ˈmaksɪma ˈsʊnt ,
Persona principalis melodramatis nauarchus Batavus est, qui in poenam blasphemiae ita damnatus est, ut per maria mundi in perpetuum vagetur: singulis tantum septenniis licebit ei ad litus maris accedere, ea quidem condicione, ut uxorem fidelem et suae utilitatis immemorem invenerit. Ita tolletur poena, et anima Batavi cruciata in pacem ulteriorem transit.	ˈpɛrsɔna prɪŋˈkɪpalɪs mɛɫɔˈdramatɪs nau̯ˈarkʰʊs ˈbatawʊs ˈɛst , ˈkʷɪ ˈɪn ˈpoe̯nãː bɫasˈpʰɛmiae̯ ˈɪta ˈdamnatʊs ˈɛst , ˈʊt ˈpɛr ˈmaria ˈmʊndɪ ˈɪn pɛrˈpɛtuũː ˈwaɡɛtʊr , ˈsɪŋɡʊlɪs ˈtantũː sɛpˈtɛnniɪs ˈlɪkɛbɪt ˈeɪ ˈad ˈlɪtʊs ˈmarɪs akˈkɛdɛrɛ , ˈea ˈkʷɪdẽː kɔndɪˈkiɔnɛ , ˈʊt ˈʊksɔrẽː ˈfɪdɛɫẽː ˈɛt ˈsuae̯ ʊtɪˈlɪtatɪs ɪmˈmɛmɔrẽː ɪnˈwɛnɛrɪt . ˈɪta ˈtɔllɛtʊr ˈpoe̯na , ˈɛt ˈanɪma ˈbatawɪ krʊˈkiata ˈɪn ˈpakẽː ʊɫtɛˈriɔrẽː ˈtrãːsɪt .
est initium carminis a discipulis vagantibus Latine scripti, quod in codice Carminum Buranorum sub numero Supp. XIX reperitur.	ˈɛst ɪˈnɪtiũː ˈkarmɪnɪs ˈa dɪsˈkɪpʊlɪs waˈɡantɪbʊs ˈɫatɪnɛ sˈkrɪptɪ , ˈkʷɔd ˈɪn ˈkɔdɪkɛ ˈkarmɪnũː bʊˈranɔrũː ˈsʊb ˈnʊmɛrɔ ˈsʊpp . uːndeːwiːˈɡɪntiː rɛˈpɛrɪtʊr .
Aqua liquida in maribus, fluminibus, lacubus, et aliis locis reperitur. In statu solido nivem aut glaciem efficit cum temperatura sub 0° C sit; quod fit, exempli gratia, tempore hiberno vel in culminibus montium altissimorum. In modo autem gasii invenitur in atmosphaera terrestri in formis vaporis aut nubium in caelo formatis.	ˈakʷa ˈlɪkʷɪda ˈɪn ˈmarɪbʊs , fɫʊˈmɪnɪbʊs , ˈɫakʊbʊs , ˈɛt ˈaliɪs ˈɫɔkɪs rɛˈpɛrɪtʊr . ˈɪn sˈtatʊ ˈsɔlɪdɔ ˈnɪwẽː ˈau̯t ˈɡɫakiẽː ˈɛffɪkɪt ˈkũː tɛmpɛˈratʊra ˈsʊb ˈnɪhɪɫ ˈɡradʊs ˈkɛɫsiʊs ˈsɪt , ˈkʷɔd ˈfɪt , ɛkˈsɛmplɪ ˈɡratia , ˈtɛmpɔrɛ hɪˈbɛrnɔ ˈwɛɫ ˈɪn kʊɫˈmɪnɪbʊs ˈmɔntiũː aɫtɪsˈsɪmɔrũː . ˈɪn ˈmɔdɔ ˈau̯tẽː ˈɡasiɪ ɪnˈwɛnɪtʊr ˈɪn atmɔsˈpʰae̯ra tɛrˈrɛstrɪ ˈɪn ˈfɔrmɪs ˈwapɔrɪs ˈau̯t ˈnʊbiũː ˈɪn ˈkae̯ɫɔ ˈfɔrmatɪs .
historicum Grenovici locum, ubi Regium Observatorium circulum meridianum Grenovicensem (0° longitudinis) et GMT designat.	hɪsˈtɔrɪkũː ɡrɛˈnɔwɪkɪ ˈɫɔkũː , ˈʊbɪ ˈrɛɡiũː ɔpsɛrwaˈtɔriũː ˈkɪrkʊɫũː mɛrɪˈdianũː ɡrɛnɔwɪˈkẽːsẽː ˈnɪhɪɫ ˈɡradʊs ɫɔŋɡɪˈtʊdɪnɪs ˈɛt ɡmt dɛˈsɪŋnat .
Tempestas Lutetiana praecipue sicca est. Mediocris temperatura est 10.6° C. Mensis Iulius est calidissimus, quo 18.0 gradus Celsius, frigidissimus Ianuarius, quo 3.4° Celsius mediocriter metiri solent. Plurimum mense Iunio pluit, dum 65 millimetra est imbri altitudo mediocris, minimum mensibus Februario Aprilique, dum 45 millimetra imbri cadunt.	tɛmˈpɛstas ɫʊtɛˈtiana prae̯ˈkɪpuɛ ˈsɪkka ˈɛst . mɛˈdiɔkrɪs tɛmpɛˈratʊra ˈɛst ˈdɛkẽː . ˈsɛks ˈɡradʊs ˈkɛɫsiʊs . ˈmẽːsɪs ˈjʊliʊs ˈɛst kalɪˈdɪssɪmʊs , ˈkʷɔ duɔdeːwiːˈɡɪntiː . ˈnɪhɪɫ ˈɡradʊs ˈkɛɫsiʊs , frɪɡɪˈdɪssɪmʊs januˈariʊs , ˈkʷɔ ˈtreːs . ˈkʷattuɔr ˈɡradʊs ˈkɛɫsiʊs mɛdiˈɔkrɪtɛr ˈmɛtɪrɪ ˈsɔɫɛnt . ˈpɫʊrɪmũː ˈmẽːsɛ ˈjʊniɔ ˈpɫuɪt , ˈdũː sɛksaːˈɡɪntaː ˈkʷiːŋkʷɛ mɪlˈlɪmɛtra ˈɛst ˈɪmbrɪ aɫˈtɪtʊdɔ mɛˈdiɔkrɪs , ˈmɪnɪmũː ˈmẽːsɪbʊs fɛbruˈariɔ aˈprɪlɪkʷɛ , ˈdũː kʷadraːˈɡɪntaː ˈkʷiːŋkʷɛ mɪlˈlɪmɛtra ˈɪmbrɪ ˈkadʊnt .
Alberdi, Antxón, et Silbia López de Lacalle. 2007. Un viaje al Cosmos en 52 semanas. CSIC.	aɫˈbɛrdɪ , ˈantksɔn , ˈɛt ˈsɪɫbia ˈɫɔpɛz ˈdɛ ɫaˈkallɛ . ˈduɔ ˈmiːlia ˈsɛptẽː . ˈʊn wiˈajjɛ ˈaɫ ˈkɔsmɔs ˈɛn kʷiːŋkʷaːˈɡɪntaː ˈduɔ ˈsɛmanas . kˈsɪk .
