31 гыйнвар — Фәррах Дәүләтшин, БАССР халык чәчәне.	uˈtɨz ˈber ʁɨjnˈvɑr færˈrax dæylætˈʃin , ˈbe ˈɑ ˈes ˈes ˈer xɑˈlɨq ɕæɕæˈne .
Классик диабет катарактасы кабыкта лачаусыман томанланулардан тора (рәс. 12.4а) һәм диабет белән яшь авыруларда очрый. Ул үзеннән-үзе суырыла яки берничә көндә өлгерә ала.	klasˈsik diaˈbet qɑtɑrɑqtɑˈsɨ qɑbɨqˈtɑ lɑɕɑusɨˈmɑn tomɑnlɑnulɑrˈdɑn toˈrɑ ˈræs . uniˈke . ˈdyrt ˈɑ ˈhæm diaˈbet beˈlæn ˈjɑʃ ɑvɨrulɑrˈdɑ oˈɕrɨj . ˈul yzenˈnæn yˈze suɨrɨˈlɑ jɑˈqi berniˈɕæ kønˈdæ ølɡeˈræ ɑˈlɑ .
Дәүләтнең сәнәгать өлешендә иң мөһимнәрнең булып автомобиль сәнәгате тора. Биредә 800 меңнән артык кеше эшли, әлеге сектор экспорт өчен елына £26,6 миллиард тудыра. Авиация сәнәгате күрсәткечләре буенча дөньяда тотрыклы рәвештә икенче-өченче урында тора.	dæylætˈneŋ sænæˈɡat øleʃenˈdæ ˈiŋ møhimnærˈneŋ buˈlɨp avtomoˈbil sænæɡaˈte toˈrɑ . bireˈdæ siˈɡez ˈjøz meŋˈnæn ɑrˈtɨq keˈʃe eˈʃli , æleˈɡe sekˈtor ekˈsport øˈɕen jelɨˈna jeɡerˈme ɑlˈtɨ øˈter ɑlˈtɨ milliˈard ˈfunt tudɨˈrɑ . aviat͡siˈjɑ sænæɡaˈte kyrsætkeɕlæˈre bujenˈɕa dønjɑˈda totrɨˈqlɨ ræveˈʃtæ ikenˈɕe øɕenˈɕe urɨnˈdɑ toˈrɑ .
2008 ел да ширкәттә 400 мең кеше эшләде. Шул ук елда ширкәт табышы $23,5 млрд тәшкил итте.	iˈke ˈmeŋ siˈɡez ˈjel ˈdɑ ʃirkætˈtæ ˈdyrt ˈjøz ˈmeŋ keˈʃe eʃlæˈde . ˈʃul ˈuq jelˈda ʃirˈkæt tɑbɨˈʃɨ jeɡerˈme ˈøɕ øˈter ˈbiʃ dolˈlɑr mlrd tæˈʃkil itˈte .
Илнең 1 нче президенты Джордж Вашингтон () — $1 банкнотасында.	ilˈneŋ berenˈɕe prezidenˈtɨ dˈʒordʒ vaʃinɡˈton ˈber dolˈlɑr bɑnqnotɑsɨnˈdɑ .
Сала-су 3-нче — Россия территориясеннән ага торган елга. Дагстан Республикасы, Чечен Республикасы биләмәләрендә ага. Елганың тамагы 2-Сала-су елгасының сул ярыннан 0,6 км ераклыкта урнашкан. Елга озынлыгы 12 км.	sɑˈlɑ ˈsu øɕenˈɕe rossiˈjɑ territorijɑsenˈnæn ɑˈʁɑ torˈʁɑn jelˈɡa . dɑʁˈstɑn respublikaˈsɨ , ɕeˈɕen respublikaˈsɨ bilæmælærenˈdæ ɑˈʁɑ . jelɡaˈnɨŋ tɑmɑˈʁɨ iˈke sɑˈlɑ ˈsu jelɡasɨˈnɨŋ ˈsul jɑrɨnˈnɑn ˈnul øˈter ɑlˈtɨ kiloˈmetr jeraqlɨqˈta urnɑˈʃqɑn . jelˈɡa ozɨnlɨˈʁɨ uniˈke kiloˈmetr .
1-Марыль-Кы — Россия территориясеннән ага торган елга. Ямал-Ненец АО, Красноярск крае биләмәләрендә ага. Елганың тамагы Марыль-Кы елгасының сул ярыннан 30 км ераклыкта урнашкан. Елга озынлыгы 41 км.	ˈber mɑˈrɨl ˈqɨ rossiˈjɑ territorijɑsenˈnæn ɑˈʁɑ torˈʁɑn jelˈɡa . jɑˈmɑl neˈnet͡s ˈɑ ˈo , qrɑsnoˈjɑrsq kraˈje bilæmælærenˈdæ ɑˈʁɑ . jelɡaˈnɨŋ tɑmɑˈʁɨ mɑˈrɨl ˈqɨ jelɡasɨˈnɨŋ ˈsul jɑrɨnˈnɑn uˈtɨz kiloˈmetr jeraqlɨqˈta urnɑˈʃqɑn . jelˈɡa ozɨnlɨˈʁɨ qɨˈrɨq ˈber kiloˈmetr .
2-Марыль-Кы — Россия территориясеннән ага торган елга. Ямал-Ненец АО, Красноярск крае биләмәләрендә ага. Елганың тамагы Марыль-Кы елгасының сул ярыннан 51 км ераклыкта урнашкан. Елга озынлыгы 20 км.	iˈke mɑˈrɨl ˈqɨ rossiˈjɑ territorijɑsenˈnæn ɑˈʁɑ torˈʁɑn jelˈɡa . jɑˈmɑl neˈnet͡s ˈɑ ˈo , qrɑsnoˈjɑrsq kraˈje bilæmælærenˈdæ ɑˈʁɑ . jelɡaˈnɨŋ tɑmɑˈʁɨ mɑˈrɨl ˈqɨ jelɡasɨˈnɨŋ ˈsul jɑrɨnˈnɑn ilˈle ˈber kiloˈmetr jeraqlɨqˈta urnɑˈʃqɑn . jelˈɡa ozɨnlɨˈʁɨ jeɡerˈme kiloˈmetr .
3-Марыль-Кы — Россия территориясеннән ага торган елга. Ямал-Ненец АО, Красноярск крае биләмәләрендә ага. Елганың тамагы 2-Марыль-Кы елгасының уң ярыннан 18 км ераклыкта урнашкан. Елга озынлыгы 29 км.	ˈøɕ mɑˈrɨl ˈqɨ rossiˈjɑ territorijɑsenˈnæn ɑˈʁɑ torˈʁɑn jelˈɡa . jɑˈmɑl neˈnet͡s ˈɑ ˈo , qrɑsnoˈjɑrsq kraˈje bilæmælærenˈdæ ɑˈʁɑ . jelɡaˈnɨŋ tɑmɑˈʁɨ iˈke mɑˈrɨl ˈqɨ jelɡasɨˈnɨŋ ˈuŋ jɑrɨnˈnɑn unsiˈɡez kiloˈmetr jeraqlɨqˈta urnɑˈʃqɑn . jelˈɡa ozɨnlɨˈʁɨ jeɡerˈme tuˈʁɨz kiloˈmetr .
Tatnet - tulısınça Tatar İnternetı - Tatarstan Respublikası däwlät tellärendä (tatar häm/yäki urıs telläre) yazılğan wä Tatarstan häm/yäki Tatar xalqı turında xäbär itä torğan İnternet çeltärendäge mäğlümati resurslarnıñ barlığı bergä ul bula.	tʰˈætnɛt tʰˈuːlɪsɪnsə tʰɑːtʰˈɑːɹ ˌɪntɚnˈɛt̬ɪ tʰɑːtʰˈɑːɹstɑːn ɹispˈʌblɪkəʒɪ dˈɔːlɑːt tʰˈɛləɹˌɛndə tʰɑːtʰˈɑːɹ hˈæm jˈɑːki jˈɝiz tʰˈɛləɹi jˈæɛziɫɡən wˈɑː tʰɑːtʰˈɑːɹstɑːn hˈæm jˈɑːki tʰɑːtʰˈɑːɹ ɡzˈæɫkiː t͡ʃəwɛɹˈiːndə ksəbˈɑːɹ ˈaᶦt̬ə tʰˈɔːɹɡæn ˈɪntɚnˌɛt sˈɛɫtɑːɹˌɛndˌeᶦd͡ʒ mˈæɡlʌmˌeᶦt̬ˌiːʲˌaᶦ ɹᵻzˈʌɚzlˌɑːɹnɪn bˈɑːɹɫd͡ʒɪ bˈɝɡə jˈuːˈɛɫ bjˈuːlə .
11 dekäber 1941 — Almaniä häm İtaliä Amerika Quşma Ştatlarına suğış iğlan itä.	unˈber dˈʌŋkəbɚ ˈmeŋ tuˈʁɨz ˈjøz qɨˈrɨq ˈber ɑːɫmˈɑːniʲə hˈæm itʰˈæliʲə əmˈɛɹɪkə kwzmˈʌ stˈætlɑːɹˌiːnə sˈuːɡis ˈaᶦlən ˈaᶦt̬ə .
Мисы́р (‎‎ – Миср, мәсри مصر – Маср), рәсми атама Гарә́п Мисы́р Җөмһүрияте́ ( – Җүмһүрийәт Миср әл-Гарәбиййә, мәсри جمهورية مصر العربية – Гөмһөрейәт Мәср әл-Гарәбеййә) – төньяк-көнчыгыш Африкада һәм Синай ярымутравында урнашкан дәүләт. Исраил, Фәлистыйн, Судан һәм Ливия белән чиктәш. Төньякта Урта диңгез белән, ә көнчыгышта Кызыл диңгез белән юыла.	miˈsɨr ˈmisr , mæˈsri msˤr ˈmɑsr , ræsˈmi ɑtɑˈmɑ ɡaˈræp miˈsɨr ʑømhyrijɑˈte ʑymhyriˈjæt ˈmisr ˈæl ɡaræbijˈjæ , mæˈsri d͡ʒmhwrj msˤr ˈalʕrbj ɡømhøreˈjæt ˈmæsr ˈæl ɡaræbejˈjæ tøˈnjɑq kønɕɨˈʁɨʃ afrikaˈda ˈhæm siˈnaj jɑrɨmutrɑvɨnˈdɑ urnɑˈʃqɑn dæyˈlæt . israˈil , fæliˈstɨjn , suˈdɑn ˈhæm liviˈjɑ beˈlæn ɕikˈtæʃ . tønjɑqˈta urˈtɑ diŋˈɡez beˈlæn , ˈæ kønɕɨʁɨˈʃta qɨˈzɨl diŋˈɡez beˈlæn juɨˈlɑ .
2011 елның 14 октябрендә DDL intercettazioni канунына протест белдереп, 1 көнгә ябылып ала .	iˈke ˈmeŋ unˈber jelˈnɨŋ unˈdyrt oqtjɑbrenˈdæ dˈiː dˈiː ˈɛɫ ˌɪntɚsɛt̬ɑːziʲˈoᶷni qɑnunɨˈnɑ proˈtest beldeˈrep , ˈber kønˈɡæ jɑbɨˈlɨp ɑˈlɑ .
en:Shrove Tuesday – the day before :en:Ash Wednesday	ˈɛn , sθɹˈʌv tʰˈuːzdi ðˈə dˈeᶦ bᵻfˈɔːɹ , ˈɛn , ˈæʃ wˈɛnzdi
Иоанн Павел II 120дән артык фәлсәфә һәм илаһит белеме буенча фәнни хезмәт, 14 энциклика һәм биш китап авторы.	ioˈann paˈvel iˈke ˈmeŋ ˈjøz jeɡermeˈdæn ɑrˈtɨq fælsæˈfæ ˈhæm ilaˈhit beleˈme bujenˈɕa fænˈni xezˈmæt , unˈdyrt ent͡sikliˈka ˈhæm ˈbiʃ kiˈtap ɑvtoˈrɨ .
Susan Paul Pattie, Faith in History: Armenians Rebuilding Community, (Smithsonian Institution Press, 1997), 40.	sˈuːzən pʰˈɔːɫ pʰˈæt̬i , fˈeᶦθ ˈɪn hˈɪstɚi , ɑːɹmˈiːniʲənz ɹibˈɪɫdɪŋ kəmjˈuːnᵻt̬i , smɪθsˈoᶷniʲən ˌɪnstɪtʰˈuːʃən pɹˈɛs , ˈmeŋ tuˈʁɨz ˈjøz tuqˈsɑn ʑiˈde , qɨˈrɨq .
697 ел (б. э к.) — Милади тәкъвим буенча безнең эрага кадәр VII гасырга кергән ел.	ɑlˈtɨ ˈjøz tuqˈsɑn ʑiˈde ˈjel bezˈneŋ eraˈɡa kaˈdær milaˈdi tækʔˈvim bujenˈɕa bezˈneŋ eraˈɡa kaˈdær ʑidenˈɕe ʁɑsɨrˈʁɑ kerˈɡæn ˈjel .
385 — Милади тәкъвим буенча IV гасырга кергән ел.	ˈøɕ ˈjøz sikˈsæn ˈbiʃ milaˈdi tækʔˈvim bujenˈɕa dyrtenˈɕe ʁɑsɨrˈʁɑ kerˈɡæn ˈjel .
1260 yılda Bremen Hanza Berlegenä quşıla. İqtisadi üseş Bremen şähärenä ärxäräy xäkimiätennän azat itä häm irekle şähär statusın alırğa mömkinlek birä.	ˈmeŋ iˈke ˈjøz ɑltˈmɨʃ ˈiːɫdə bɹˈɛmən hˈænzə bɚɫd͡ʒˈɛnə kwzilˈɑː . ˈiːktiːsəd̬ˌɪ jˈuːsəz bɹˈɛmən sˈæhɑːɹˌɛnə ˈɑːɹɡzæɹə ɡzˈækimiʲət̬ənən əzˈeᶦ ˈaᶦt̬ə hˈæm ˈaᶦɹɛkɫ sˈæhɑːɹ stˈæt͡ʃuːʒɪn ˈeᶦliʲɚŋɡə mˈɑːmkɪnlˌɛk bˈɪɹə .
