Rygel - Jonathan Hardy (hì-ang-á ê chhau-chok-jîn)	ɹˈɪɡɛɫ d͡ʒˈɑːnəθən hˈɑːɹd̬i hi˥˩ aŋ˧ a˥˩ e˨˦ t͡sʰau̯˧ t͡sɔk̚˥ d͡ʑin˨˦
Sheykh Tappeh (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Golestan Séng Aqqala Kūn Tiong-iong Koān Aq Altin Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	ʃˈɛɪk tʰˈæp pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ ŋɡoᶷlˈɛstən ɕiə̯ŋ˥˩ əkʰˈɑːlə kun˧ ti̯ɔŋ˧ i̯ɔŋ˥ ku̯an˧ ˈʌk æɫtˈɪn hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Gahuiyeh (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Kerman Séng Baft Kūn Tiong-iong Koān Fathabad Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	ɡˈæwɪjˌɛ pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ kʰˈɝmən ɕiə̯ŋ˥˩ bˈæft kun˧ ti̯ɔŋ˧ i̯ɔŋ˥ ku̯an˧ fˈɑːðəbˌæd hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Pachi (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Kerman Séng Rigan Kūn Tiong-iong Koān Gavkan Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	pʰˈɑːki pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ kʰˈɝmən ɕiə̯ŋ˥˩ ˈɪɹiɡən kun˧ ti̯ɔŋ˧ i̯ɔŋ˥ ku̯an˧ ɡˈævŋkən hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Angil (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Mazandaran Séng Nowshahr Kūn Kojur Koān Tavabe-e Kojur Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	ˈænd͡ʒiːɫ pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ mˈæændɚˌæn ɕiə̯ŋ˥˩ nˈoᶷʃæɹ kun˧ ŋkˈoᶷwɚ ku̯an˧ tʰˈævəb ˈiː ŋkˈoᶷwɚ hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Qoran Talar (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Mazandaran Séng Babol Kūn Babol Kenar Koān Babol Kenar Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	kɔːɹˈæn tʰˈælɑːɹ pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ mˈæændɚˌæn ɕiə̯ŋ˥˩ bˈæbəɫ kun˧ bˈæbəɫ kʰˈɛnɑːɹ ku̯an˧ bˈæbəɫ kʰˈɛnɑːɹ hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Kandeh Qulan-e Olya (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Sai Azerbaijan Séng Piranshahr Kūn Tiong-iong Koān Lahijan Hiong ê chng-thâu.	kʰˈænd kwlˈʌn ˈiː ˌɑːliːʲˈæ pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ sai̯˥ ˌɑːzɚbaᶦd͡ʒˈɑːn ɕiə̯ŋ˥˩ pʰɪɹˈɑːnʃɚ kun˧ ti̯ɔŋ˧ i̯ɔŋ˥ ku̯an˧ lˈæhɪeᶦjˌɑːn hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ .
Bezvan (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Tang Azerbaijan Séng Heris Kūn Tiong-iong Koān Bedevostan-e Sharqi Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	bˈɛtsvən pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ taŋ˥ ˌɑːzɚbaᶦd͡ʒˈɑːn ɕiə̯ŋ˥˩ ˈɛɹɪ kun˧ ti̯ɔŋ˧ i̯ɔŋ˥ ku̯an˧ bˈɛd̬əvoᶷstˌɑːn ˈiː shˈɑːɹkiː hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Baba Rostam (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Kermanshah Séng Gilan-e Gharb Kūn Govar Koān Heydariyeh Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	bˈʌbə ɹˈɔːstæm pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ kʰˈɝmænzhˌɑː ɕiə̯ŋ˥˩ d͡ʒˈɪlən ˈiː ˈɔːŋhɑːɹb kun˧ ɡˈoᶷvɑːɹ ku̯an˧ ˌɔᶦd̬ɑːɹˈiːjɛ hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Posht Kabud-e Jahangirvand (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Kermanshah Séng Kermanshah Kūn Firuzabad Koān Osmanvand Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	pʰˈʌʃt ŋkəbˈuːd ˈiː jˈʌhænd͡ʒɪɚvənd pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ kʰˈɝmænzhˌɑː ɕiə̯ŋ˥˩ kʰˈɝmænzhˌɑː kun˧ ˈɝuːzəbˌæd ku̯an˧ ˈɑːsmənvənd hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Mowtowr-e Ab Rostam Abir (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Sistan kap Baluchestan Séng Chabahar Kūn Tiong-iong Koān Pir Sohrab Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	moᶷtʰˈoᶷɹ ˈiː ˈæb ɹˈɔːstæm əbˈɪɚ pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ sˈɪstæn kap̚˧˨ bˈæluːt͡ʃˌɛstən ɕiə̯ŋ˥˩ ʃəbəhˈɑːɹ kun˧ ti̯ɔŋ˧ i̯ɔŋ˥ ku̯an˧ pʰˈɪɹ sˈɔːθɹəb hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Ravang (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Hormozgan Séng Minab Kūn Tiong-iong Koān Dar Agah Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	ɹˈævæŋɡ pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ ˈɝtsɡən ɕiə̯ŋ˥˩ mˈɪnəb kun˧ ti̯ɔŋ˧ i̯ɔŋ˥ ku̯an˧ dˈɑːɹ əɡˈæ hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Deli Ji-ye Zavareh (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Kohgiluyeh kap Boyer-Ahmad Séng Charam Kūn Sarfaryab Koān Poshteh-ye Zilayi Hiong ê chng-thâu.	dˈɛli d͡ʒˈiː jˈiː zˈævəɹˌɛ pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ kʰˈoᶷd͡ʒɪlˌuːjˌɛ kap̚˧˨ bˈɔᶦɚ ˈɑːmɑːd ɕiə̯ŋ˥˩ t͡ʃˈɑːɹæm kun˧ sˈɑːɹfɑːɹjəb ku̯an˧ pʰˈʌʃt jˈiː zˈɪləˌaᶦ hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ .
Pir Shahid (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Pak Khorasan Séng Shirvan Kūn Tiong-iong Koān Golian Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	pʰˈɪɹ ʃˈɑːhɪd pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ pak̚˧˨ khˌʊɚəˈɛseᶦn ɕiə̯ŋ˥˩ ʃˈɪɹvən kun˧ ti̯ɔŋ˧ i̯ɔŋ˥ ku̯an˧ ɡˈoᶷliʲən hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Sorond (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Lâm Khorasan Séng Tabas Kūn Deyhuk Koān Deyhuk Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	sˈɔːɹɑːnd pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ lam˨˦ khˌʊɚəˈɛseᶦn ɕiə̯ŋ˥˩ tʰˈʌbeᶦs kun˧ dˈʌək ku̯an˧ dˈʌək hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Nasl (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Kurdistan Séng Sarvabad Kūn Tiong-iong Koān Razab Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	nˈæsɫ pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ kʰˈɝd̬ɪstˌæn ɕiə̯ŋ˥˩ sˈɑːɹvəbˌæd kun˧ ti̯ɔŋ˧ i̯ɔŋ˥ ku̯an˧ ɹˈæzəb hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Kahriz-e Sorkh (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Lorestan Séng Aligudarz Kūn Tiong-iong Koān Borborud-e Gharbi Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	kʰˈɑːɹɪts ˈiː sˈɔːɹk pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ lˈɔːɹstæn ɕiə̯ŋ˥˩ əlˈaᶦuːd̬ˌɑːɹts kun˧ ti̯ɔŋ˧ i̯ɔŋ˥ ku̯an˧ bˈɔːɹbɚˌuːd ˈiː ˈɔːŋhɑːɹbɪ hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Khaneh Miran (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Markazi Séng Arak Kūn Tiong-iong Koān Sedeh Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	kʰˈʌn mˈɪɹən pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ mˈɑːɹkəɛzi ɕiə̯ŋ˥˩ ˈɑːɹeᶦk kun˧ ti̯ɔŋ˧ i̯ɔŋ˥ ku̯an˧ sdˈɪ hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Hesar (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Zanjan Séng Zanjan Kūn Zanjanrud Koān Shivanat Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	ˈɛsɑːɹ pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ zˈæneᶦjˌɑːn ɕiə̯ŋ˥˩ zˈæneᶦjˌɑːn kun˧ zˈæneᶦjˌɑːnɚˌuːd ku̯an˧ ʃˈiːvənˌæt hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Delijan (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Gilan Séng Lahijan Kūn Tiong-iong Koān Baz Kia Gurab Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	dˈɛlid͡ʒˌæn pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ d͡ʒˈɪlən ɕiə̯ŋ˥˩ lˈæhɪeᶦjˌɑːn kun˧ ti̯ɔŋ˧ i̯ɔŋ˥ ku̯an˧ bˈæz ki̯a˥ ɡˈʊɹəb hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Tut Kaleh-ye Sofla (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Gilan Séng Rudsar Kūn Tiong-iong Koān Reza Mahalleh Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	tut̚˧˨ kʰˈæɫ jˈiː soᶷflˈeᶦ pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ d͡ʒˈɪlən ɕiə̯ŋ˥˩ ɚˈuːʌdsˌɑːɹ kun˧ ti̯ɔŋ˧ i̯ɔŋ˥ ku̯an˧ ɹˈɛzə məhˈɑːlɛ hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
Hoseynabad-e Dula (Pho-su-gí: ) sī chi̍t ê tī Iran Islam Kiōng-hô-kok Semnan Séng Damghan Kūn Tiong-iong Koān Damankuh Hiong ê chng-thâu. Tī 2006 nî phó͘-cha ê sî-chūn, chit-ê chng-thâu ū ê lâng tòa, chóng-kiōng ū hō͘ jîn-ke.	ˈɑːzeᶦnəbˌæd ˈiː dˈuːlə pʰə˧ su˧ ɡi˥˩ , ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ ɪɹˈɑːn ɪslˈɑːm ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ sˈɛmnən ɕiə̯ŋ˥˩ dəmˈɔːŋhæn kun˧ ti̯ɔŋ˧ i̯ɔŋ˥ ku̯an˧ dˈæməŋkˌuː hi̯ɔŋ˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ . ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ pʰɔ˥ t͡sa˥ e˨˦ ɕi˧ t͡sun˧ , t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ u˧ e˨˦ laŋ˨˦ tu̯a˨˩ , t͡sɔŋ˥ ki̯ɔŋ˧ u˧ hɔ˧ d͡ʑin˧ ke˥ .
