Категори:Алфавите кура администрациллӗ виҫесем	kadeɡoˈri , alfaʋiˈde kuˈra administraˈt͡silːɘ ʋiʑeˈzem
Патшалăх шыв реестрĕнчи шыв объекчĕн кочĕ — 03030000112103000047306	patˈʂaləχ ˈʂɯʋ rejestrɘnˈd͡ʑi ˈʂɯʋ obˈjekt͡ɕɘn ˈkod͡ʑɘ ˈnolʲ ˈʋiɕːɘ ˈnolʲ ˈʋiɕːɘ ˈnolʲ ˈnolʲ ˈnolʲ ˈnolʲ pɘˈrːe pɘˈrːe ˈikːɘ pɘˈrːe ˈnolʲ ˈʋiɕːɘ ˈnolʲ ˈnolʲ ˈnolʲ ˈnolʲ təˈʋatːə ˈɕit͡ɕːɘ ˈʋiɕːɘ ˈnolʲ ˈultːə
Мариэтта —Раççей территоринчи юханшыв. Ямал-Ненец автономлă тăрăхĕ, Хантă-Манси автономи тăрăхĕ — Югра территорипе юхать. Юханшыв Мăн Мариэтта юханшывăн сылтăм çыранĕпе вăрринчен 25 км юхса кĕрет. Юханшыв тăршшĕ 12 км.	marieˈtːa raˈɕːej terːidorinˈd͡ʑi juɣanˈʐɯʋ . jaˈmal neˈnet͡s aʋtoˈnomlə ˈtərəɣɘ , ˈχandə manˈzi aʋtonoˈmi ˈtərəɣɘ juɡˈra terːidoriˈbe juˈɣatʲ . juɣanˈʐɯʋ ˈmən marieˈtːa juɣanˈʐɯʋən ˈsɯltəm ɕɯranɘˈbe ʋərːinˈd͡ʑen ˈɕirɘm ˈpilɘk kiloˈmetr juχˈsa kɘˈret . juɣanˈʐɯʋ ˈtərʂːɘ ˈʋun ˈik kiloˈmetr .
Патшалăх шыв реестрĕнчи шыв объекчĕн кочĕ — 15020100112115300020043	patˈʂaləχ ˈʂɯʋ rejestrɘnˈd͡ʑi ˈʂɯʋ obˈjekt͡ɕɘn ˈkod͡ʑɘ pɘˈrːe ˈpilːɘk ˈnolʲ ˈikːɘ ˈnolʲ pɘˈrːe ˈnolʲ ˈnolʲ pɘˈrːe pɘˈrːe ˈikːɘ pɘˈrːe pɘˈrːe ˈpilːɘk ˈʋiɕːɘ ˈnolʲ ˈnolʲ ˈnolʲ ˈikːɘ ˈnolʲ ˈnolʲ təˈʋatːə ˈʋiɕːɘ
Соболиная — Раççей территоринчи юханшыв. Хантă-Манси автономи тăрăхĕ — Югра территорипе юхать. Юханшыв Куль-Еган юханшывăн сылтăм çыранĕпе вăрринчен 313 км юхса кĕрет. Юханшыв тăршшĕ 11 км.	sobolinaˈja raˈɕːej terːidorinˈd͡ʑi juɣanˈʐɯʋ . ˈχandə manˈzi aʋtonoˈmi ˈtərəɣɘ juɡˈra terːidoriˈbe juˈɣatʲ . juɣanˈʐɯʋ ˈkulʲ jeˈɡan juɣanˈʐɯʋən ˈsɯltəm ɕɯranɘˈbe ʋərːinˈd͡ʑen ˈʋiɕ ˈɕɘr ˈʋun ˈʋiɕ kiloˈmetr juχˈsa kɘˈret . juɣanˈʐɯʋ ˈtərʂːɘ ˈʋun ˈpɘr kiloˈmetr .
Патшалăх шыв реестрĕнчи шыв объекчĕн кочĕ — 13010200512115200004190	patˈʂaləχ ˈʂɯʋ rejestrɘnˈd͡ʑi ˈʂɯʋ obˈjekt͡ɕɘn ˈkod͡ʑɘ pɘˈrːe ˈʋiɕːɘ ˈnolʲ pɘˈrːe ˈnolʲ ˈikːɘ ˈnolʲ ˈnolʲ ˈpilːɘk pɘˈrːe ˈikːɘ pɘˈrːe pɘˈrːe ˈpilːɘk ˈikːɘ ˈnolʲ ˈnolʲ ˈnolʲ ˈnolʲ təˈʋatːə pɘˈrːe ˈtəχːər ˈnolʲ
Патшалăх шыв реестрĕнчи шыв объекчĕн кочĕ — 15020300212115300034913	patˈʂaləχ ˈʂɯʋ rejestrɘnˈd͡ʑi ˈʂɯʋ obˈjekt͡ɕɘn ˈkod͡ʑɘ pɘˈrːe ˈpilːɘk ˈnolʲ ˈikːɘ ˈnolʲ ˈʋiɕːɘ ˈnolʲ ˈnolʲ ˈikːɘ pɘˈrːe ˈikːɘ pɘˈrːe pɘˈrːe ˈpilːɘk ˈʋiɕːɘ ˈnolʲ ˈnolʲ ˈnolʲ ˈʋiɕːɘ təˈʋatːə ˈtəχːər pɘˈrːe ˈʋiɕːɘ
Beiträge zur Fauna der Bären-Insel. 2. Der Saibling der Bären-Insel. Bihang till K. Svenska Vet.-Akad. Handlingar 26 (4), (4): 1–8 (1900)	bˈeᶦtɹeᶦd͡ʒ zˈɝ fˈɔːnə dˈɝ bˈɛɹən ˈɪnsəɫ . ˈikːɘ . dˈɝ sˈeᶦblɪnd͡ʒ dˈɝ bˈɛɹən ˈɪnsəɫ . bˈɪeᶦnd͡ʒ tʰˈɪɫ kʰˈeᶦ . svˈɛnskə vˈɛt . əkʰˈɑːd . hˈændlɪŋɡˌɑːɹ ˈɕirɘm ˈultːə təˈʋatːə , təˈʋatːə , pɘˈrːe , ˈsakːər ˈpin ˈtəɣər ˈɕɘr
Сиди-Али — Марокко территоринчи кӳлĕ. юханшыв юхса кĕрет, юхăмсăр облаç юхса тухать. Кӳлĕ лаптăкĕ 5 км².	siˈdi aˈli maroˈkːo terːidorinˈd͡ʑi ˈkylɘ . juɣanˈʐɯʋ juχˈsa kɘˈret , ˈjuɣəmzər obˈlaɕ juχˈsa tuˈɣatʲ . ˈkylɘ ˈlaptəɡɘ ˈpilɘk təʋatˈkal kiloˈmetr .
John Obadiah Westwood: Memoir of the Late Rev. Frederick William Hope. In: The Gentleman's Magazine. F. Jefferies, 1862, S. 785-788; online	d͡ʒˈɑːn ˌoᶷbədˈaᶦə wˈɛstwʊd , mˈɛmwɑːɹ ˈʌv ðˈə lˈeᶦt ɹˈɛv . fɹˈɛdɹɪk wˈɪɫjəm hˈoᶷp . ˈɪn , ðˈə d͡ʒˈɛntəɫmənz mˈæɡəzˌiːn . ˈɛf . d͡ʒˈɛfɹiz , ˈpin ˈsaɡər ˈɕɘr ˈutməl ˈikːɘ , ˈɛs . ˈɕit͡ɕ ˈɕɘr saɡərˈʋunːə ˈpilːɘk , ˈɕit͡ɕ ˈɕɘr saɡərˈʋunːə ˈsakːər , ˈɔːnlaᶦn
Категори:1969 çулта уçнă астрономи объекчĕсем	kadeɡoˈri , ˈpin ˈtəɣər ˈɕɘr ˈutməl ˈtəχːər ɕulˈda ˈuɕnə astronoˈmi objekt͡ɕɘˈzem
Гидрологи тĕпчевленӳ кочĕ (ГТ) — 103007787	ɡidroloˈɡi tɘpt͡ɕeʋleˈny ˈkod͡ʑɘ ˈɡe ˈte ˈɕɘr ˈʋiɕ milːiˈon ˈɕit͡ɕ ˈpin ˈɕit͡ɕ ˈɕɘr saɡərˈʋunːə ˈɕit͡ɕːɘ
Смирнова, Н. «Артист чунĕ ирĕкре çеç уçăлать» / Н. Смирнова // Хыпар. – 1995. – 11 пуш.	smirnoˈʋa , n . arˈdist ˈt͡ɕunɘ irɘkˈre ˈɕeɕ uʑəˈlatʲ n . smirnoˈʋa χɯˈbar . ˈpin ˈtəɣər ˈɕɘr təɣərˈʋunːə ˈpilːɘk . ˈʋun ˈpɘr ˈpuʂ .
Гайслер — Германи территоринчи юханшыв. Бавари территорипе юхать. Юханшыв Лауэр юханшыва юхса кĕрет. Юханшыв тăршшĕ 4,91 км, бассейн лаптăкĕ км².	ɡajsˈler ɡermaˈni terːidorinˈd͡ʑi juɣanˈʐɯʋ . baʋaˈri terːidoriˈbe juˈɣatʲ . juɣanˈʐɯʋ lauˈer juɣanʐɯˈʋa juχˈsa kɘˈret . juɣanˈʐɯʋ ˈtərʂːɘ təˈʋatːə χyreʂˈke ˈtəχːər pɘˈrːe kiloˈmetr , baˈsːejn ˈlaptəɡɘ km .
«Интер» итал клубĕсенчен пĕрремĕш сезонри абонементсене хута кĕртнĕ. 1985 çулхи утăн 30-мĕшĕнче «Интер» итал клубĕсенчен пĕрремĕш хăйĕн тетелри сайтне уçать. 2000 çулхи авăнăн 20-мĕшĕнче клубăн Inter Channel телеканалĕ ĕçлеме тытăннă.	inˈder iˈdal klubɘzenˈd͡ʑen pɘˈrːemɘʂ sezonˈri abonementseˈne χuˈda ˈkɘrtnɘ . ˈpin ˈtəɣər ˈɕɘr saɡərˈʋunːə ˈpilɘk ɕulˈɣi ˈudən ʋədərmɘʐɘnˈd͡ʑe inˈder iˈdal klubɘzenˈd͡ʑen pɘˈrːemɘʂ ˈχəjɘn tedelˈri sajtˈne uˈʑatʲ . ˈik ˈpin ɕulˈɣi ˈaʋənən ɕirɘmːɘʐɘnˈd͡ʑe kˈlubən ɪntˈɝ t͡ʃˈænəɫ teleɡaˈnalɘ ɘɕleˈme ˈtɯdənːə .
Рок Боб (1964 çур.) — канад мусăкçи, юрăсен авторĕ, сасă режиссёрĕ тата продюсер.	ˈrok ˈbob ˈpin ˈtəɣər ˈɕɘr ˈutməl təˈʋat ˈɕur . kaˈnad muzəkˈɕi , jurəˈzen aʋˈtorɘ , ˈsazə reʒisːˈjorɘ taˈda prodjuˈzer .
Тĕп приз «Сăв. Марк арăсланĕ» (Василий Шукшин) в конкурсе фильмов для детей на МКФ в Венеции, 1964;	ˈtɘp pˈriz ˈsəʋ . ˈmark arəsˈlanɘ ʋaziˈlij ʂukˈʂin ʋ konɡurˈze filʲˈmoʋ dlˈja deˈdej ˈna ˈem ˈka ˈef ʋ ʋenet͡siˈi , ˈpin ˈtəɣər ˈɕɘr ˈutməl təˈʋatːə ,
36 — Клеопатра, Антоние Евфрата çити ăсатсан, Иудейĕне кĕрсе Ирод патĕнче чарăннă.	ˈʋədər ˈultːə kleobatˈra , andoniˈje jeʋfraˈda ɕiˈdi əzatˈsan , iudejɘˈne kɘrˈze iˈrod padɘnˈd͡ʑe ˈt͡ɕarənːə .
Зорге — Мускав чукун çулĕн Кĕçĕн пассажир ункинчи чукун çул чарăнăвĕ (МЧÇУ).	zorˈɡe musˈkaʋ t͡ɕuˈɡun ˈɕulɘn ˈkɘʑɘn pasːaˈʒir unɡinˈd͡ʑi t͡ɕuˈɡun ˈɕul ˈt͡ɕarənəʋɘ ˈem ˈt͡ɕe ˈɕe ˈu .
Аянян Эдуард Меликович (Совет Союзĕн Паттăрĕ) — ( -), 2-мĕш Украина фрончĕн 53-мĕш çарĕн 228-мĕш стрелоксен дивизин 795-мĕш стрелоксен полкĕн взвод командирĕ, аслă лейтенант, Совет Союзĕн Паттăрĕ , , , . Указ дати - .	ajanˈjan eduˈard meliɡoˈʋit͡ɕ soˈʋet soˈjuzɘn ˈpatːərɘ , ˈikːɘmɘʂ ukraiˈna fˈrond͡ʑɘn ˈalːə ˈʋiɕːɘmɘʂ ˈɕarɘn ˈik ˈɕɘr ˈɕirɘm ˈsakːərmɘʂ strelokˈsen diʋiˈzin ˈɕit͡ɕ ˈɕɘr təɣərˈʋunːə ˈpilːɘkmɘʂ strelokˈsen ˈpolkɘn ʋzˈʋod komanˈdirɘ , ˈaslə lejdeˈnant , soˈʋet soˈjuzɘn ˈpatːərɘ . uˈɡaz daˈdi .
Пронин Алексей Михайлович дивизи комиссарĕ, генерал-майор (раштав, 1941 -нарăс, 1944)	proˈnin alekˈsej miɣajloˈʋit͡ɕ diʋiˈzi komiˈsːarɘ , ɡeneˈral maˈjor raʂˈtaʋ , ˈpin ˈtəɣər ˈɕɘr ˈχɘrɘχ pɘˈrːe ˈnarəs , ˈpin ˈtəɣər ˈɕɘr ˈχɘrɘχ təˈʋatːə
Манштейн, Эрих, фон. Утерянные победы. Воспоминания фельдмаршала. — М.: Астрель, 2012. — 832 c. — ISBN 978-5-271-40123-7	manʂˈtejn , eˈriχ , ˈfon . uderjanːɯˈje pobeˈdɯ . ʋospominaniˈja felʲdmarʐaˈla . m , astˈrelʲ , ˈik ˈpin ˈʋun ˈikːɘ . ˈsaɡər ˈɕɘr ˈʋədər ˈikːɘ sˈiː . ˌaᶦˌɛsbiːʲˈɛn ˈtəɣər ˈɕɘr ˈɕitmɘl ˈsakːər , ˈpilːɘk , ˈik ˈɕɘr ˈɕitmɘl pɘˈrːe , ˈχɘrɘχ ˈpin ˈɕɘr ˈɕirɘm ˈʋiɕːɘ , ˈɕit͡ɕːɘ
Быков Юрий Михайлович — (1923-11.05.1945), уйрăм Тинĕсçум çарĕн 383-мĕш перевçĕсен дивизин 691-мĕш перевçĕсен полкĕн пулемёт расчёчĕн командирĕ , сержант, Совет Союзĕн Паттăрĕ , , . Указ дати - .	bɯˈɡoʋ juˈrij miɣajloˈʋit͡ɕ ˈpin ˈtəɣər ˈɕɘr ˈɕirɘm ˈʋiɕːɘ , ˈʋun pɘˈrːe . ˈpilːɘk . ˈpin ˈtəɣər ˈɕɘr ˈχɘrɘχ ˈpilːɘk , ˈujrəm tinɘsˈɕum ˈɕarɘn ˈʋiɕ ˈɕɘr saɡərˈʋunːə ˈʋiɕːɘmɘʂ pereʋɕɘˈzen diʋiˈzin ˈult ˈɕɘr təɣərˈʋunːə pɘˈrːemɘʂ pereʋɕɘˈzen ˈpolkɘn pulemˈjot rast͡ɕˈjod͡ʑɘn komanˈdirɘ , serˈʒant , soˈʋet soˈjuzɘn ˈpatːərɘ . uˈɡaz daˈdi .
Винокуров Василий Иосифович — (1.01.1915(19.12.1914)-03.07.1979), Совет Союзĕн Паттăрĕ , , . Указ дати - . Совет Союзĕн Паттăрĕн чысне илнĕ вăхăтра 1-мĕш Украина фрончĕн 3-мĕш гварди танк çарĕн 9-мĕш механизăмланă корпусăн 91-мĕш танк бригадин моторланă батальонăн автоматчиксен ротин старшини, старшина.	ʋinoɡuˈroʋ ʋaziˈlij iozifoˈʋit͡ɕ pɘˈrːe . pɘˈrːe . ˈpin ˈtəɣər ˈɕɘr ˈʋun ˈpilːɘk ˈʋun ˈtəχːər . ˈʋun ˈikːɘ . ˈpin ˈtəɣər ˈɕɘr ˈʋun təˈʋatːə ˈʋiɕːɘ . ˈɕit͡ɕːɘ . ˈpin ˈtəɣər ˈɕɘr ˈɕitmɘl ˈtəχːər , soˈʋet soˈjuzɘn ˈpatːərɘ . uˈɡaz daˈdi . soˈʋet soˈjuzɘn ˈpatːərɘn t͡ɕɯsˈne ˈilnɘ ʋəɣətˈra pɘˈrːemɘʂ ukraiˈna fˈrond͡ʑɘn ˈʋiɕːɘmɘʂ ɡʋarˈdi ˈtank ˈɕarɘn ˈtəχːərmɘʂ meɣanizəmˈlanə korˈbuzən təɣərˈʋunːə pɘˈrːemɘʂ ˈtank briɡaˈdin modorˈlanə badaˈlʲonən aʋtomatt͡ɕikˈsen roˈdin starʐiˈni , starʐiˈna .
1994-мĕш çул хыççăн «Комбинация» ушкăна та Татьяна Геннадьевна Иванова хăй ертсе пынă. Ахăртнех, паянхи кунчченех çапла.	ˈpin ˈtəɣər ˈɕɘr təɣərˈʋunːə təˈʋatːəmɘʂ ˈɕul ˈχɯɕːən kombinat͡siˈja uʂkəˈna ˈta tatʲjaˈna ɡenːadʲjeʋˈna iʋanoˈʋa ˈχəj jertˈse ˈpɯnə . aɣərtˈneχ , pajanˈɣi kunt͡ɕːeˈneχ ɕapˈla .
Гусев Сергей Иванович — (28.08.1918-18.01.1945), Совет Союзĕн Паттăрĕ , , . Указ дати - . Совет Союзĕн Паттăрĕн чысне илнĕ вăхăтра 3-мĕш Беларуç фрончĕн 28-мĕш çарĕн 130-мĕш перевçĕсен дивизин564-мĕш перевçĕсен полкĕн 2-мĕш перевçĕсен батальонĕн политика пайĕпе командирĕн çумĕ, капитан.	ɡuˈzeʋ serˈɡej iʋanoˈʋit͡ɕ ˈɕirɘm ˈsakːər . ˈsakːər . ˈpin ˈtəɣər ˈɕɘr ˈʋun ˈsakːər ˈʋun ˈsakːər . pɘˈrːe . ˈpin ˈtəɣər ˈɕɘr ˈχɘrɘχ ˈpilːɘk , soˈʋet soˈjuzɘn ˈpatːərɘ . uˈɡaz daˈdi . soˈʋet soˈjuzɘn ˈpatːərɘn t͡ɕɯsˈne ˈilnɘ ʋəɣətˈra ˈʋiɕːɘmɘʂ belaˈruɕ fˈrond͡ʑɘn ˈɕirɘm ˈsakːərmɘʂ ˈɕarɘn ˈɕɘr ˈʋədərmɘʂ pereʋɕɘˈzen diʋizinˈbilɘk ˈɕɘr ˈutməl təˈʋatːəmɘʂ pereʋɕɘˈzen ˈpolkɘn ˈikːɘmɘʂ pereʋɕɘˈzen badaˈlʲonɘn polidiˈɡa pajɘˈbe komanˈdirɘn ˈɕumɘ , kabiˈdan .
Дьяченко Фёдор Сергеевич — (30.09.1919-12.12.1983), Совет Союзĕн Паттăрĕ , , . Указ дати - . Совет Союзĕн Паттăрĕн чысне илнĕ вăхăтра Хура тинĕс флочĕн сыхлакан катерсен 8-мĕш дивизионĕн СКА-018 сыхлакан катерăн командирĕ, капитан-лейтенант.	dʲjad͡ʑenˈɡo fjoˈdor serɡejeˈʋit͡ɕ ˈʋədər . ˈtəχːər . ˈpin ˈtəɣər ˈɕɘr ˈʋun ˈtəχːər ˈʋun ˈikːɘ . ˈʋun ˈikːɘ . ˈpin ˈtəɣər ˈɕɘr saɡərˈʋunːə ˈʋiɕːɘ , soˈʋet soˈjuzɘn ˈpatːərɘ . uˈɡaz daˈdi . soˈʋet soˈjuzɘn ˈpatːərɘn t͡ɕɯsˈne ˈilnɘ ʋəɣətˈra χuˈra ˈtinɘs fˈlod͡ʑɘn sɯχlaˈɡan kaderˈzen ˈsakːərmɘʂ diʋiziˈonɘn sˈka ˈʋun ˈsakːər sɯχlaˈɡan kaˈderən komanˈdirɘ , kabiˈdan lejdeˈnant .
«…А я пролетарий, подался в планетарий…», Игорь Эренбург сăвви çине.	ˈa ˈja proledaˈrij , podalsˈja ʋ planedaˈrij , iˈɡorʲ erenˈburɡ səˈʋːi ɕiˈne .
Герштейн C. С. Великий универсал XX века (к 100-летию Льва Давидовича Ландау)	ɡerʂˈtejn sˈiː ˈes ʋeliˈɡij uniʋerˈzal ˈɕirɘm ʋeˈɡa k ˈɕɘr lediˈju lʲˈʋa daʋidoʋiˈd͡ʑa landaˈu
Кивĕ Йĕлмел (, ) — Тутарстанăн Çĕпрел районĕнчи чăваш ялĕ. Кивĕ Çĕпрел ял тăрăхĕнче шутланать.	ˈkiʋɘ jɘlˈmel , tudarsˈtanən ɕɘpˈrel rajonɘnˈd͡ʑi t͡ɕəˈʋaʂ ˈjalɘ . ˈkiʋɘ ɕɘpˈrel ˈjal tərəɣɘnˈd͡ʑe ʂutlaˈnatʲ .
Библиотека Царское Село, книги по истории Тверской губернии (Памятные книжки), PDF	bibliodeˈɡa t͡sarskoˈje seˈlo , kniˈɡi ˈpo istoriˈi tʋersˈkoj ɡuberniˈi pamjatnɯˈje kniʒˈki , pʰˌiːd̬iːʲˈɛf
1978 тата 1986 çулсенче А. Суслина Тĕнчери математиксен конгресне доклад тума чĕннĕ, 1986 çулта ăна пленумра доклад вулама ирĕк панă .	ˈpin ˈtəɣər ˈɕɘr ˈɕitmɘl ˈsaɡər taˈda ˈpin ˈtəɣər ˈɕɘr saɡərˈʋunːə ˈult ɕulzenˈd͡ʑe ˈa . susliˈna tɘnd͡ʑeˈri mademadikˈsen konɡresˈne dokˈlad tuˈma ˈt͡ɕɘnːɘ , ˈpin ˈtəɣər ˈɕɘr saɡərˈʋunːə ˈult ɕulˈda əˈna plenumˈra dokˈlad ʋulaˈma ˈirɘk ˈpanə .
Тов Э. Текстология Ветхого Завета = Textual Criticism of the Hebrew Bible / Пер. К. Бурмистров, Г. Ястребов. — М. : Библейско-богословский ин-т св. апостола Андрея, 2001. — 424 с. — ISBN 5-89647-031-2.	ˈtoʋ ˈe tekstoloɡiˈja ʋetχoˈɡo zaʋeˈda tʰˈɛkst͡ʃuːəɫ kɹˈɪt̬ɪsˌɪzəm ˈʌv ðˈə hˈiːbɹuː bˈaᶦbəɫ ˈper . k . burmistˈroʋ , ɡ . jastreˈboʋ . m , biblejsˈko boɡosloʋsˈkij ˈin t sʋ . abostoˈla andreˈja , ˈik ˈpin pɘˈrːe . təˈʋat ˈɕɘr ˈɕirɘm təˈʋat s . ˌaᶦˌɛsbiːʲˈɛn ˈpilːɘk , saɡərˈʋunːə ˈtəɣər ˈpin ˈult ˈɕɘr ˈχɘrɘχ ˈɕit͡ɕːɘ , ˈʋədər pɘˈrːe , ˈikːɘ .
