á	a³¹
ki-é	ki⁵³⁻⁵⁵ ie³¹
kî-fi	ki⁴⁴⁻³⁵ fi⁵³
kî-hi	ki⁴⁴⁻³⁵ hi⁵³
kí-kiú	kit̚¹ kiu³¹
kî-mìn	ki⁴⁴⁻³⁵ min¹¹
ki-ngiam	ki³¹ ŋiam⁵³
ki-ngiam-phín	ki³¹ ŋiam⁵³⁻⁵⁵ pʰin³¹
kî-pún	ki⁴⁴⁻³⁵ pun³¹
ki-sin	ki⁵³⁻⁵⁵ ɕin⁵³
ki-sṳ	ki⁵³⁻⁵⁵ sz̩⁵³
ki-sṳ́	ki⁵³⁻⁵⁵ sz̩³¹
kí-sṳ̀	ki³¹ sz̩¹¹
kì-tén	ki¹¹ tɛn⁴⁴
ki-tet	ki⁵³⁻⁵⁵ tɛt̚¹
kí-tô	ki³¹ to⁴⁴
kí-tô-chhièn	ki³¹ to⁴⁴⁻³⁵ t͡ɕʰiɛn¹¹
kî-tuk	ki⁴⁴⁻³⁵ tʊk̚¹
kî-tuk-kau	ki⁴⁴⁻³⁵ tʊk̚¹ kau⁵³
ki-yi	ki⁵³⁻⁵⁵ it̚¹
kî-yù	ki⁴⁴⁻³⁵ iu¹¹
kiai-chṳ́	kiaɪ⁵³⁻⁵⁵ t͡sz̩³¹
kiâng-chhṳt	kiaŋ⁴⁴ t͡sʰət̚⁵
kiang-é	kiaŋ⁵³⁻⁵⁵ ŋe³¹
kiáng-kîn	kiaŋ³¹ kin⁴⁴
kiat-sat	kiat̚¹ sat̚¹
kiê-cháu	ke⁴⁴⁻³⁵ t͡sau³¹
kiê-chhûn	ke⁴⁴ t͡sʰun⁴⁴
kiê-chi	ke⁴⁴⁻³⁵ t͡ɕi⁵³
kiê-hiet	ke⁴⁴⁻³⁵ hiat̚¹
kiê-khîn	ke⁴⁴ kʰin⁴⁴
kiê-kûng	ke⁴⁴ kʊŋ⁴⁴
kiê-kûng-ki	ke⁴⁴ kʊŋ⁴⁴⁻³⁵ ki⁵³
kiê-kûng-ki-fâ	ke⁴⁴ kʊŋ⁴⁴⁻³⁵ ki⁵³ fa⁴⁴
kiê-lón	ke⁴⁴⁻³⁵ lɔn³¹
kiê-lon-é	ke⁴⁴⁻³⁵ lɔn⁵³⁻⁵⁵ ne³¹
kiê-lu	ke⁴⁴⁻³⁵ lu⁵³
kiê-mà	ke⁴⁴⁻³⁵ ma¹¹
kiê-mà-phì	ke⁴⁴⁻³⁵ ma¹¹ pʰi¹¹
kiê-mô-so	ke⁴⁴ mau⁴⁴⁻³⁵ sau⁵³
kiê-thon	kiaɪ⁴⁴⁻³⁵ tʰɔn⁵³
kie-va̍k	ki⁵³ ʋak̚⁵
kiên-cha	kian⁴⁴⁻³⁵ t͡sa⁵³
kien-chuk	kian⁵³⁻⁵⁵ t͡sʊk̚¹
kien-êu	kian⁵³ eu⁴⁴
kien-hó	kɛn⁵³⁻⁵⁵ hau³¹
kiên-kap	kin⁴⁴⁻³⁵ kak̚¹
kien-koet	kian⁵³⁻⁵⁵ kuɛt̚¹
kien-seu	kian⁵³⁻⁵⁵ ɕiau⁵³
kién-sṳ̍t	kian³¹ sət̚⁵
kiên-thèu	kin⁴⁴⁻³⁵ tʰeu¹¹
kiet-fûn	kiat̚¹ fun⁴⁴
kiet-ha̍p	kiat̚¹ hap̚⁵
kiet-kó	kiat̚¹ kuo³¹
kiet-sa̍t	kiat̚¹ sat̚⁵
kiet-thin	kiat̚¹ tʰin⁵³
kieu-chṳ̂	kiau⁵³ t͡sz̩⁴⁴
kiéu-kú	keu³¹ ku³¹
kiéu-mà	keu³¹ ma¹¹
kiéu-mà-sà	keu³¹ ma¹¹ sa¹¹
kiéu-mî-siuk	keu³¹ mi⁴⁴⁻³⁵ ɕiʊk̚¹
kiêu-ngau	kiau⁴⁴⁻³⁵ ŋau⁵³
kiéu-set	keu³¹ sɛt̚¹
kiéu-teu	keu³¹ teu⁵³
kiêu-thûng	keu⁴⁴ tʰʊŋ⁴⁴
kieu-vu̍t	keu⁵³ ʋut̚⁵
kîm-am-pû	kim⁴⁴⁻³⁵ am⁵³ pu⁴⁴
kîm-é	kim⁴⁴⁻³⁵ me³¹
kîm-ha	kim⁴⁴⁻³⁵ ha⁵³
kîm-kôa	kim⁴⁴ kua⁴⁴
kîm-ngièn	kin⁴⁴⁻³⁵ ŋian¹¹
kîm-ngit	kim⁴⁴⁻³⁵ ŋit̚¹
kîm-pû-ngit	kim⁴⁴ pu⁴⁴⁻³⁵ ŋit̚¹
kín-chhat	kin³¹ t͡sʰat̚¹
kín-chông	kin³¹ t͡sɔŋ⁴⁴
kîn-kí	kɛn⁴⁴⁻³⁵ ki⁵³
kîn-lo̍k	kin⁴⁴ lɔk̚⁵
kîn-pún	kən⁴⁴⁻³⁵ pun³¹
kiok-châng	kiɔk̚¹ t͡saŋ⁴⁴
kiok-chṳ́-kap	kiɔk̚¹ t͡sz̩³¹ kap̚¹
kiok-chṳ́-kûng	kiɔk̚¹ t͡sz̩³¹ kʊŋ⁴⁴
kiok-chṳ́-mî	kiɔk̚¹ t͡sz̩³¹ mi⁴⁴
kiok-hi	kiɔk̚¹ hi⁵³
kiok-pán	kiɔk̚¹ pan³¹
kiok-tái	kiɔk̚¹ taɪ³¹
kiok-thèu	kiɔk̚¹ tʰeu¹¹
kiông-mà	kiɔŋ⁴⁴⁻³⁵ ma¹¹
kit-lìm	kit̚¹ lim¹¹
kiú-chhoi	kiu³¹ t͡sʰoɪ⁵³
kiú-chhoi-fâ	kiu³¹ t͡sʰoɪ⁵³ fa⁴⁴
kiu-miang	kiu⁵³⁻⁵⁵ miaŋ⁵³
kiú-ngie̍t	kiu³¹ ŋiat̚⁵
kiu-sên-khiên	kiu⁵³ saŋ⁴⁴ kʰian⁴⁴
kiú-sṳ̍p-kiú	kiu³¹ səp̚⁵ kiu³¹
kiú-tiám	kiu³¹ tiam³¹
kiú-vòng	kiu³¹ ʋɔŋ¹¹
kiûng-chêu	kiʊŋ⁴⁴ t͡ɕiau⁴⁴
kiûng-hí	kiʊŋ⁴⁴⁻³⁵ hi³¹
kiûng-hí-fat-chhòi	kiʊŋ⁴⁴⁻³⁵ hi³¹ fat̚¹ t͡sʰoɪ¹¹
kô-châng-hài	kau⁴⁴ t͡saŋ⁴⁴⁻³⁵ haɪ¹¹
kó-chok	kuo³¹ t͡sɔk̚¹
kô-é	ko⁴⁴⁻³⁵ (ʋ)e³¹
ko-fân	kuo⁵³ fan⁴⁴
ko-fòng	kuo⁵³⁻⁵⁵ fɔŋ¹¹
ko-fun	kuo⁵³⁻⁵⁵ fun⁵³
kô-kiùng	kau⁴⁴⁻³⁵ hiʊŋ¹¹
ko-lòi	kuo⁵³⁻⁵⁵ loɪ¹¹
ko-ngien	kuo³¹ ŋian⁵³
ko-ngièn	kuo⁵³⁻⁵⁵ ŋiɛn¹¹
ko-sṳ	kau⁵³⁻⁵⁵ sz̩⁵³
kó-su	kuo³¹ su⁵³
ko-sṳ̂n	kuo⁵³ sən⁴⁴
ko-thèu	kuo⁵³⁻⁵⁵ tʰeu¹¹
ko-ya	kuo³¹ ie⁵
koa-chṳ́	kua⁵³⁻⁵⁵ t͡sz̩³¹
kóa-fu	kua³¹ fu⁵³
koa-ngiam	kua⁵³⁻⁵⁵ ŋiam⁵³
koái-é	kuaɪ³¹ e³¹
kóai-ngiam-é	kuaɪ³¹ ŋiam⁵³⁻⁵⁵ me³¹
kôan-he	kuan⁴⁴⁻³⁵ hi⁵³
kôan-mùn	kuan⁴⁴⁻³⁵ mun¹¹
koet-chi	kuɛt̚¹ t͡ɕi⁵³
koet-kâ	kuɛt̚¹ ka⁴⁴
koet-kâ-fap	kuɛt̚¹ ka⁴⁴⁻³⁵ fap̚¹
koet-nui	kuɛt̚¹ nuɪ⁵³
koi-é	koɪ⁵³⁻⁵⁵ e³¹
kôi-sí	koɪ⁴⁴⁻³⁵ ɕi³¹
kok-chhoi	kɔk̚¹ t͡sʰoɪ⁵³
kok-chhoi-é	kɔk̚¹ t͡sʰoɪ⁵³⁻⁵⁵ e³¹
kok-chhû	kɔk̚¹ t͡sʰu⁴⁴
kok-yeu-é	kɔk̚¹ iau⁵³⁻⁵⁵ ʋe³¹
kôn-chhòi	kuɔn⁴⁴⁻³⁵ t͡sʰoɪ¹¹
kón-chó	kɔn³¹ t͡sau³¹
kôn-fa	kuɔn⁴⁴⁻³⁵ fa⁵³
kón-kâ	kuɔn³¹ ka⁴⁴
kôn-muk	kuɔn⁴⁴⁻³⁵ mʊk̚¹
kôn-ngiam	kuɔn⁴⁴⁻³⁵ ŋiam⁵³
kôn-pî	kɔn⁴⁴ pʰi⁴⁴
kôn-tiám	kuɔn⁴⁴⁻³⁵ tiam³¹
kôn-yîm	kuɔn⁴⁴ im⁴⁴
kóng-chhòng	kuɔŋ³¹ t͡sʰɔŋ¹¹
kóng-chû	kuɔŋ³¹ t͡su⁴⁴
kóng-fa	kɔŋ³¹ fa⁵³
kong-khìm	kɔŋ⁵³⁻⁵⁵ kʰim¹¹
kóng-ko	kuɔŋ³¹ kau⁵³
kóng-kú	kɔŋ³¹ ku³¹
kong-pit	kɔŋ⁴⁴⁻³⁵ pit̚¹
kóng-seu	kɔŋ³¹ ɕiau⁵³
kóng-sî	kuɔŋ³¹ ɕi⁴⁴
kông-sî	kɔŋ⁴⁴ ɕi⁴⁴
kông-thèu	kuɔŋ⁴⁴⁻³⁵ tʰeu¹¹
kóng-tûng	kuɔŋ³¹ tʊŋ⁴⁴
kot-vò	kɔt̚¹ ʋo¹¹
kû-chhông	ku⁴⁴ t͡sʰɔŋ⁴⁴
ku-hak	ku⁵³⁻⁵⁵ hak̚¹
kû-hòn	ku⁴⁴⁻³⁵ hɔn¹¹
kú-koai	ku³¹ kuaɪ⁵³
kú-phêu	ku³¹ pʰiau⁵³
kû-phò	ku⁴⁴⁻³⁵ pʰo¹¹
ku-só	ku⁵³⁻⁵⁵ so³¹
kú-sû	ku³¹ su⁴⁴
kú-tok	ku³¹ tɔk̚¹
ku-yi	ku⁵³⁻⁵⁵ i⁵³
kui-chû	kuɪ⁵³ t͡su⁴⁴
kûi-é	kuɪ⁴⁴⁻³⁵ e³¹
kui-fâ	kuɪ⁵³ fa⁴⁴
kûi-hok	kuɪ⁴⁴⁻³⁵ hɔk̚¹
kui-iòng	kuɪ⁵³⁻⁵⁵ iɔŋ¹¹
kúi-sṳ̀n	kuɪ³¹ sən¹¹
kúi-sṳ̀n-kúi-siong	kuɪ³¹ sən¹¹ kuɪ³¹ ɕiɔŋ⁵³
kuk-yí	kʊk̚¹ i³¹
kûn-mìn	kʰun⁴⁴⁻³⁵ min¹¹
kún-súi	kun³¹ suɪ³¹
kûng-chhièn	kʊŋ⁴⁴⁻³⁵ t͡ɕʰiɛn¹¹
kûng-chok	kʊŋ⁴⁴⁻³⁵ t͡sɔk̚¹
kûng-khiung	kʊŋ⁴⁴⁻³⁵ kʰiʊŋ⁵³
kûng-khiung-hi-chhâ	kʊŋ⁴⁴⁻³⁵ kʊŋ⁵³⁻⁵⁵ hi⁵³ t͡sʰa⁴⁴
kûng-nèn	kʊŋ⁴⁴⁻³⁵ nɛn¹¹
kûng-ngia̍p	kʊŋ⁴⁴ ŋiap̚⁵
kûng-ngìn	kʊŋ⁴⁴⁻³⁵ ŋin¹¹
kûng-phò	kʊŋ⁴⁴⁻³⁵ pʰo¹¹
kûng-sṳ̂	kʊŋ⁴⁴ sz̩⁴⁴
kûng-thai	kʊŋ⁴⁴⁻³⁵ tʰaɪ⁵³
kut-thèu	kut̚¹ tʰeu¹¹
là-khià	la¹¹ kʰia¹¹
lai-é	laɪ⁵³⁻⁵⁵ e³¹
lâi-lien	la⁴⁴⁻³⁵ liɛn⁵³
lài-ngiau	laɪ¹¹ ŋiau⁵³
lai-phu	laɪ⁵³⁻⁵⁵ pʰu⁵³
lài-thèu	laɪ¹¹ tʰeu¹¹
la̍k-sû	lak̚⁵ su⁴⁴
làm-khiù	lam¹¹ kʰiu¹¹
làn-chû	lan¹¹ t͡su⁴⁴
làn-kôn	lan¹¹ kɔn⁴⁴
lân-ngìn-tô-sṳ́-ngiau	lan⁴⁴⁻³⁵ ŋin¹¹ to⁴⁴⁻³⁵ sz̩³¹ ŋiau⁵³
lân-sṳ̂	lan⁴⁴ sz̩⁴⁴
lân-sṳ̂-kú	lan⁴⁴ sz̩⁴⁴⁻³⁵ ku³¹
lân-sṳ̂-mà	lan⁴⁴ sz̩⁴⁴⁻³⁵ ma¹¹
làng-chhièn	laŋ¹¹ t͡ɕʰiɛn¹¹
lâng-fan	laŋ⁴⁴⁻³⁵ fan⁵³
làng-kûng	laŋ¹¹ kʊŋ⁴⁴
làng-làng-sâng-sâng	laŋ¹¹ laŋ¹¹ saŋ⁴⁴ saŋ⁴⁴
làng-li	laŋ¹¹ li⁵³
lâng-thiên	laŋ⁴⁴ tʰiɛn⁴⁴
la̍p-pá	la¹¹ pa⁵³
la̍p-pá-fâ	la¹¹ pat̚⁵ fa⁴⁴
la̍p-pit	lap̚⁵ pit̚¹
lâu-kiê	lau⁴⁴ ke⁴⁴
lep-sep	lap̚¹ sɛp̚¹
lèu-hâ	leu¹¹ ha⁴⁴
leu-súi	leu⁵³⁻⁵⁵ suɪ³¹
lèu-thôi	leu¹¹ tʰoɪ⁴⁴
lí-é	li³¹ ie³¹
lì-é	li¹¹ ie³¹
lî-é	li⁴⁴⁻³⁵ ie³¹
lî-hak	li³¹ hak̚¹
lî-hàng	li³¹ haŋ¹¹
li-kó	li⁵³⁻⁵⁵ kuo³¹
lî-kón	li³¹ kuɔn³¹
lì-kú	lu¹¹ ku³¹
lì-mà	lu¹¹ ma¹¹
lî-mà	li⁴⁴⁻³⁵ ma¹¹
li-yung	li⁵³⁻⁵⁵ iʊŋ⁵³
liá-ke	t͡se³¹ ke⁵³
liáu-kié	liau³¹ kiaɪ³¹
liàu-nèn	liau¹¹ nɛn¹¹
lièn-chṳ́	liɛn¹¹ t͡sz̩³¹
lièn-fâ	liɛn¹¹ fa⁴⁴
lièn-lî	liɛn¹¹ li⁴⁴
lièn-ngiâu	liɛn¹¹ ŋeu³¹
lièn-ya̍p	liɛn¹¹ iap̚⁵
lìm-am-piên	lim¹¹ am⁵³ piɛn⁴⁴
lîm-chiú	lim⁴⁴⁻³⁵ t͡ɕiu³¹
lìm-fâ	lim¹¹ fa⁴⁴
lìm-phì	lim¹¹ pʰi¹¹
lìm-sṳ̀	lim¹¹ sz̩¹¹
lìm-súi	lim¹¹ suɪ³¹
lìm-sṳp	lim¹¹ səp̚¹
lin-é	lun¹¹ ne³¹
lìn-kok	lin¹¹ kɔk̚¹
lín-kun	lin³¹ kun⁵³
lín-sṳ́	lin³¹ sz̩³¹
liòng-chhông	liɔŋ¹¹ t͡sʰɔŋ⁴⁴
lióng-chṳ́-ôi	liɔŋ³¹ t͡sz̩³¹ oɪ⁴⁴
lióng-chṳ́-yà	liɔŋ³¹ t͡sz̩³¹ ia¹¹
liòng-hài	liɔŋ¹¹ haɪ¹¹
lióng-kûng-phò	liɔŋ³¹ kʊŋ⁴⁴⁻³⁵ pʰo¹¹
lióng-thèu-sà	liɔŋ³¹ tʰeu¹¹ sa¹¹
li̍p-chhiû	lip̚⁵ t͡ɕʰiu⁴⁴
li̍p-chhûn	lip̚⁵ t͡sʰun⁴⁴
li̍p-ha	lip̚⁵ ha³¹
lip-mà	lɛp̚¹ ma¹¹
li̍p-tûng	lip̚⁵ tʊŋ⁴⁴
li̍t-é	lit̚⁵ te³¹
li̍t-sṳ́	lit̚⁵ sz̩³¹
li̍t-sṳ̂	lit̚⁵ sz̩⁴⁴
liù-liàn	liu¹¹ liɛn¹¹
liu-pên	liu⁵³ pɛn⁴⁴
liù-vòng	liu¹¹ ʋɔŋ¹¹
liuk-chhîn	liʊk̚¹ t͡ɕʰin⁴⁴
liuk-hiuk	liʊk̚¹ hiʊk̚¹
liuk-kok-chhû	liʊk̚¹ kɔk̚¹ t͡sʰu⁴⁴
liu̍k-lu	liʊk̚⁵ lu⁵³
liuk-ngie̍t	liʊk̚¹ ŋiat̚⁵
liuk-sṳ̍p	liʊk̚¹ səp̚⁵
liuk-sṳ̍p-yit	liʊk̚¹ səp̚⁵ it̚¹
liu̍k-theu	liʊk̚⁵ tʰeu⁵³
liùng-sòn	liʊŋ¹¹ sɔn¹¹
lo-chhú	lau⁵³⁻⁵⁵ t͡sʰu³¹
lo-chhú-é	lau³¹ t͡sʰu³¹ ʋe³¹
lo-fú	lau³¹ fu³¹
lo-hái	lau³¹ haɪ³¹
ló-kû-phò	lau³¹ ku⁴⁴⁻³⁵ pʰo¹¹
ló-kûng	lau³¹ kʊŋ⁴⁴
lò-luk	lau¹¹ lʊk̚¹
lò-mâ	lo¹¹ ma⁴⁴
ló-mí	lau³¹ mi³¹
ló-moi	lau³¹ moɪ⁵³
ló-moi-se	lau³¹ moɪ⁵³⁻⁵⁵ se⁵³
ló-ngìn-kâ	lau³¹ ŋin¹¹ ka⁴⁴
lò-phe̍t	lo¹¹ pʰɛt̚⁵
lò-phe̍t-pán	lo¹¹ pʰɛt̚⁵ pan³¹
ló-sên	lau³¹ sɛn⁴⁴
ló-sṳ̂	lau³¹ sz̩⁴⁴
ló-sṳ̀n	lau³¹ sən¹¹
ló-thâi	lau³¹ tʰaɪ⁴⁴
ló-thâi-sîm-khiû	lau³¹ tʰaɪ⁴⁴ ɕim⁴⁴ kʰiu⁴⁴
ló-yèn	lau³¹ ian¹¹
lòi-hi	loɪ¹¹ hi⁵³
lòi-ngièn	loɪ¹¹ ŋian¹¹
lòi-vông	loɪ¹¹ ʋɔŋ⁴⁴
lo̍k-ka	lɔk̚⁵ ka⁵³
lo̍k-kau	lɔk̚⁵ kau⁵³
lo̍k-nan	lɔk̚⁵ nan⁵³
lo̍k-pho̍k	lɔk̚⁵ pʰɔk̚⁵
lo̍k-sân	lɔk̚⁵ san⁴⁴
lo̍k-siet	lɔk̚⁵ ɕiɛt̚¹
lo̍k-sông	lɔk̚⁵ sɔŋ⁴⁴
lo̍k-súi	lɔk̚⁵ suɪ³¹
lo̍k-thò	lɔk̚⁵ tʰo¹¹
lo̍k-yí	lɔk̚⁵ i³¹
lo̍k-yí-thiên	lɔk̚⁵ i³¹ tʰiɛn⁴⁴
lo̍k-yòng	lɔk̚⁵ iɔŋ¹¹
lón-hok	lɔn³¹ hɔk̚¹
lon-kóng	lɔn⁵³⁻⁵⁵ kɔŋ³¹
lón-pha̍k	lɔn³¹ pʰak̚⁵
lón-vòng	lɔn³¹ ʋɔŋ¹¹
lù-chhṳ̀	lu¹¹ t͡sʰz̩¹¹
lu-piên	lu⁵³ piɛn⁴⁴
lu-song	lu⁵³⁻⁵⁵ hɔŋ⁵³
lu-súi	lu⁵³⁻⁵⁵ suɪ³¹
lu-sùn	lu⁵³⁻⁵⁵ sun¹¹
lùi-chhà	luɪ¹¹ t͡sʰa¹¹
lùi-kûng	luɪ¹¹ kʊŋ⁴⁴
lùi-kûng-hióng	luɪ¹¹ kʊŋ⁴⁴⁻³⁵ hiɔŋ³¹
lùi-sa	luɪ¹¹ sa⁵³
lu̍k-é	lʊk̚⁵ e³¹
luk-ngìn	lʊk̚¹ ŋin¹¹
lùn-sòn	lun¹¹ sɔn¹¹
lûng-chúng	lʊŋ⁴⁴⁻³⁵ t͡sʊŋ³¹
lut-mô	lut̚¹ mau⁴⁴
m̀-chhat	m̩¹¹ t͡sʰat̚¹
m̀-chhṳ-yèn	m̩¹¹ t͡sʰz̩⁵³⁻⁵⁵ ian¹¹
m̀-he	m̩¹¹ he⁵³
m̀-hó-yi-sṳ	m̩¹¹ hau³¹ i⁵³ sz̩⁴⁴
m̀-ki-tet	m̩¹¹ ki⁵³⁻⁵⁵ tɛt̚¹
m̀-sṳ́	m̩¹¹ sz̩³¹
m̀-sṳ́-hak-hi	m̩¹¹ sz̩³¹ hak̚¹ hi⁵³
mâ-chhâ	ma⁴⁴ t͡sʰa⁴⁴
mâ-chhì	ma⁴⁴⁻³⁵ t͡ɕʰi¹¹
mà-chiok	ma¹¹ t͡ɕiɔk̚¹
mà-chuk	ma¹¹ t͡sʊk̚¹
mà-é	ma¹¹ (ʋ)e³¹
mà-fàn	ma¹¹ fan¹¹
má-ke	ma³¹ ke⁵³
mâ-kiok	ma⁴⁴⁻³⁵ kiɔk̚¹
mâ-kú	ma⁴⁴⁻³⁵ ku³¹
mâ-làng-sù	ma⁴⁴⁻³⁵ laŋ¹¹ su¹¹
mâ-lu	ma⁴⁴⁻³⁵ lu⁵³
mâ-mâ-fú-fú	ma⁴⁴ ma⁴⁴⁻³⁵ fu¹¹ fu¹¹
má-ngìn	man³¹ ŋin¹¹
mà-pi	ma¹¹ pi⁵³
mà-pu	ma¹¹ pu⁵³
mà-sok	ma¹¹ sɔk̚¹
mâ-song	ma⁴⁴⁻³⁵ sɔŋ⁵³
mâ-thài	ma⁴⁴⁻³⁵ tʰi¹¹
mâ-thèu	ma⁴⁴⁻³⁵ tʰeu¹¹
mà-yo̍k	ma¹¹ iɔk̚⁵
mà-yù	ma¹¹ iu¹¹
ma̍k-é	mak̚⁵ e³¹
ma̍k-fún	mak̚⁵ fun³¹
mân-chṳ́	man⁴⁴⁻³⁵ t͡sz̩³¹
màn-é	man¹¹ ne³¹
mân-kû	man⁴⁴ ku⁴⁴
mân-moi	man⁴⁴⁻³⁵ moɪ⁵³
mân-ńg	man⁴⁴⁻³⁵ n̩³¹
mân-yì	man⁴⁴⁻³⁵ i¹¹
màng-chhièn	maŋ¹¹ tʰiɛn¹¹
mat-é	mat̚¹ te³¹
ma̍t-li-fâ	mat̚⁵ li⁵³ fa⁴⁴
mén-nàm-fa	mɛn¹¹ nam¹¹ fa⁵³
me̍t-chhiâng	mɛt̚⁵ t͡ɕʰiaŋ⁴⁴
me̍t-chṳp	mɛt̚⁵ t͡səp̚¹
me̍t-kut	mɛt̚⁵ kut̚¹
me̍t-nông	mɛt̚⁵ nɔŋ¹¹
me̍t-sî-kô	mɛt̚⁵ ɕi⁴⁴ ko⁴⁴
met-sôi	mɛt̚¹ soɪ⁴⁴
me̍t-téu	mɛt̚⁵ teu³¹
mèu-chuk	miau¹¹ t͡sʊk̚¹
meu-kú	miau⁵³⁻⁵⁵ ku³¹
meu-mà	miau⁵³⁻⁵⁵ ma¹¹
meu-thèu-tiâu	miau⁵³⁻⁵⁵ tʰeu¹¹ tiau⁴⁴
mí-fún	mi³¹ fun³¹
mî-hó	mi⁴⁴⁻³⁵ hau³¹
mî-koet	mi⁴⁴⁻³⁵ kuɛt̚¹
mì-mì-mô-mô	mi⁴⁴ mi⁴⁴ mo⁴⁴ mo⁴⁴
mî-ngit	mi⁴⁴⁻³⁵ ŋit̚¹
mî-su̍t	mi⁴⁴ sut̚⁵
mi-tho	mi⁵³⁻⁵⁵ tʰau⁵³
miàng-ngièn	miaŋ¹¹ ŋian¹¹
miàng-phién	miaŋ¹¹ pʰiɛn³¹
mièn-fâ	miɛn¹¹ fa⁴⁴
miên-fi	miɛn⁴⁴⁻³⁵ fi⁵³
mien-fún	miɛn⁵³⁻⁵⁵ fun³¹
mièn-ó	miɛn¹¹ au³¹
mien-pha	miɛn⁵³⁻⁵⁵ pʰa⁵³
mien-phùn	miɛn⁵³⁻⁵⁵ pʰun¹¹
mien-sâm	miɛn⁵³ sam⁴⁴
mién-thien	miɛn³¹ tʰiɛn⁵³
mièn-yòng	miɛn¹¹ iɔŋ¹¹
mìn-chhòng	min¹¹ t͡sʰɔŋ¹¹
mìn-chú	min¹¹ t͡su³¹
mìn-chung	min¹¹ t͡sʊŋ⁵³
min-lin	min⁵³⁻⁵⁵ lin⁵³
mìn-phe̍t	min¹¹ pʰak̚⁵
mióng-cham	miɔŋ³¹ t͡sʰam⁵³
miòng-chung	mɔŋ¹¹ t͡sʊŋ⁵³
mióng-é	miɔŋ³¹ ŋe³¹
mióng-khiù	miɔŋ³¹ kʰiu¹¹
mô-chhòng	maŋ¹¹ t͡sʰɔŋ¹¹
mô-chhòng-yàm	maŋ¹¹ t͡sʰɔŋ¹¹ iam¹¹
mo-é	mau⁵³⁻⁵⁵ ʋe³¹
mò-fap	ʋu¹¹ fap̚¹
mò-hàn	mo¹¹ han¹¹
mò-kat-sat	mo¹¹ kat̚¹ sat̚¹
mô-muk-é	mo⁴⁴⁻³⁵ mʊk̚¹ e³¹
mò-phan-fap	mo¹¹ pʰan⁵³⁻⁵⁵ fap̚¹
mò-sâng-mò-hi	mo¹¹ saŋ⁴⁴⁻³⁵ mo¹¹ hi⁵³
mò-yung	mo¹¹ ŋiʊŋ⁵³
mòi-chû	moɪ¹¹ t͡su⁴⁴
moi-é	moɪ⁵³⁻⁵⁵ e³¹
mòi-fâ	moɪ¹¹ fa⁴⁴
moi-kâ	moɪ⁵³ ka⁴⁴
mòi-ngìn-phò	moɪ¹¹ ŋin¹¹ pʰo¹¹
mòi-yen	moɪ¹¹ ian⁵³
mòi-yen-fa	moɪ¹¹ ian⁵³⁻⁵⁵ fa⁵³
mû-chhîn	mu⁴⁴ t͡ɕʰin⁴⁴
mù-ko	mu¹¹ kau⁵³
muk-chhièn	mʊk̚¹ t͡ɕʰiɛn¹¹
muk-chhòi	mʊk̚¹ t͡sʰoɪ¹¹
muk-chû	mʊk̚¹ t͡su⁴⁴
muk-chû-yìn	mʊk̚¹ t͡su⁴⁴⁻³⁵ in¹¹
muk-chṳp	mʊk̚¹ t͡səp̚¹
muk-kiang	mʊk̚¹ kiaŋ⁵³
muk-mí	mʊk̚¹ mi³¹
muk-mì-mô	mʊk̚¹ mi¹¹ mau⁴⁴
muk-siong	mʊk̚¹ ɕiɔŋ⁵³
mûn-é	mun⁴⁴⁻³⁵ ne³¹
mùn-ngà	mun¹¹ ŋa¹¹
mun-thì	mun⁵³⁻⁵⁵ tʰi¹¹
mùng-kú	mʊŋ¹¹ ku³¹
nai-é	naɪ⁵³⁻⁵⁵ e¹¹
nai-sîm	naɪ⁵³ ɕim⁴⁴
nài-súi-sṳ̂-fu	naɪ¹¹ suɪ³¹ sz̩⁴⁴⁻³⁵ fu⁵³
nai-têu	ŋaɪ⁵³ teu⁴⁴
nàm-chhông	nam¹¹ t͡sʰɔŋ⁴⁴
nàm-é-ngìn	nam¹¹ me³¹ ŋin¹¹
nàm-fûng	nam¹¹ fʊŋ⁴⁴
nàm-kîn	nam¹¹ kin⁴⁴
nàm-nèn	nam¹¹ nɛn¹¹
nàm-phién	nam¹¹ pʰiɛn³¹
nàm-sà	nam¹¹ sa¹¹
nàn-khon	nan¹¹ kʰɔn⁵³
nàn-koai	nan¹¹ kuaɪ⁵³
nang-ngit	laŋ⁵³⁻⁵⁵ ŋit̚¹
nang-ngoi	laŋ⁵³⁻⁵⁵ ŋoɪ⁵³
nau-ngie̍t	nau⁵³ ŋiat̚⁵
nen-chû	nɛn⁵³ t͡su⁴⁴
nèn-fa	nɛn¹¹ fa⁵³
nen-kû	nɛn⁵³ ku⁴⁴
nèn-ngièn	nɛn¹¹ ŋian¹¹
nen-ôi	nɛn⁵³ oɪ⁴⁴
nèn-pô	nɛn¹¹ po⁴⁴
néu-é	neu³¹ ʋe³¹
ǹg-é	n̩¹¹ e³¹
ńg-kûng-chhùng	n̩¹¹ kʊŋ⁴⁴⁻³⁵ t͡sʰʊŋ¹¹
ǹg-lón	n̩¹¹ lɔn³¹
ǹg-mìn	n̩¹¹ min¹¹
ǹg-nên-ngìn	n̩¹¹ tɛn⁴⁴⁻³⁵ ŋin¹¹
ńg-ngie̍t	n̩³¹ ŋiat̚⁵
ńg-ngie̍t-chiet	n̩³¹ ŋiat̚⁵ t͡ɕiɛt̚¹
