# Hebrew (he) pronunciation lexicon — skeleton (unvocalized) <TAB> niqqud (vocalized). A LOOKUP layer for the
# Phase-A wordlist: a Hebrew Wikipedia frequency ranking (hewiki dump, CC-BY-SA — ranking only; the niqqud
# content is Phonikud output validated by ReNikud, both CC-BY — see tools/hebrew/build-lexicon.py).
# neural path: a known skeleton renders via phonemizeWord(niqqud) — i.e. through OUR g2p, so it auto-tracks our
# canonical convention (the glottal rule etc.). OOV words + HOMOGRAPHS fall through to the context tagger.
# Built (tools/hebrew/build-lexicon.py): Phonikud's diacritization of the frequency list, VALIDATED where our
# g2p rendering of it agrees with ReNikud (audio-supervised), with homograph skeletons EXCLUDED (left to the
# tagger's context). Net-positive on BOTH referees — human Nakdimon holdout 86.5→87.8, independent gt.tsv
# 64.8→66.7. Eval-validated; the niqqud is a reading only (rendered through our convention, never PK's IPA).
של	שֶׁל
רצתה	רָצְתָה
בחפירות	בַּחֲפִירוֹת
העידן	הָעִידָּן
מארחת	מְאָרַחַת
ריס	רִיס
לשוני	לְשׁוֹנִי
התמקדה	הִתְמַקְּדָה
פנוי	פָּנוּי
אסטרטגיות	אַסְטְרָטֶגְיוֹת
מוניטין	מוֹנִיטִין
ברומן	בְּרוֹמָן
סצנת	סְצְנַת
מסכימה	מַסְכִּימָה
הנאה	הֲנָאָה
זבולון	זְבוּלוּן
אימצה	אִימְּצָה
ראשוניים	רִאשׁוֹנִיִּים
הבשורה	הַבְּשׂוֹרָה
נסעה	נָסְעָה
השתלט	הִשְׁתַּלֵּט
מגמות	מְגַמּוֹת
מחירים	מְחִירִים
הירדני	הַיַּרְדֵּנִי
הבריטיות	הַבְּרִיטִיּוֹת
התאגיד	הַתַּאֲגִיד
איתור	אִיתּוּר
וחיים	וְחַיִּים
טכניקה	טֶכְנִיקָה
ששיחקה	שֶׁשִּׂיחֲקָה
אכילה	אֲכִילָה
החבל	הַחֶבֶל
רפובליקה	רֶפּוּבְּלִיקָה
משלחות	מִשְׁלָחוֹת
ואמה	וְאִמָּה
נוספה	נוֹסְפָה
לימדה	לִימְּדָה
ברבי	בְּרַבִּי
לתכנן	לְתַכְנֵן
מימוש	מִימּוּשׁ
עסקת	עִסְקַת
מצרית	מִצְרִית
אולימפיק	אוֹלִימְפִּיק
מון	מוֹן
מונעת	מוֹנַעַת
בולים	בּוּלִים
ידם	יָדָם
חלשה	חַלָּשָׁה
סברו	סַבְרוּ
פריס	פָּרִיס
קסטיליה	קַסְטִילְיָה
הנוגעות	הַנּוֹגְעוֹת
הגוש	הַגּוּשׁ
שולט	שׁוֹלֵט
השוטר	הַשּׁוֹטֵר
פתוחות	פְּתוּחוֹת
טהור	טָהוֹר
חינם	חִינָּם
ברצינות	בִּרְצִינוּת
אנימה	אָנִימָה
בצורות	בְּצוּרוֹת
פסיכולוגית	פְּסִיכוֹלוֹגִית
האימון	הָאִימּוּן
כרמי	כַּרְמִי
אמינות	אֲמִינוּת
החשיבה	הַחֲשִׁיבָה
קודמו	קוֹדְמוֹ
זמיר	זָמִיר
הפריצה	הַפְּרִיצָה
האיטלקים	הָאִיטַלְקִים
למאסר	לְמַאֲסָר
סגנונו	סִגְנוֹנוֹ
אחראים	אַחְרָאִים
אילנה	אִילָנָה
לגשת	לָגֶשֶׁת
הפרשנות	הַפַּרְשָׁנוּת
חלקת	חֶלְקַת
לעסקים	לַעֲסָקִים
השילוב	הַשִּׁילּוּב
קאזאן	קָאזָאן
נאש	נָאשׁ
תינוק	תִּינוֹק
הוסר	הוּסַר
בבד	בְּבַד
מוטיב	מוֹטִיב
המתנדבים	הַמִּתְנַדְּבִים
מטבח	מִטְבָּח
רמב	רַמְב
שכנע	שִׁכְנֵעַ
צירים	צִירִים
מבחוץ	מִבַּחוּץ
סקס	סֶקְס
אתנית	אֶתְנִית
המצבים	הַמַּצָּבִים
שועל	שׁוּעַל
האבטחה	הָאַבְטָחָה
גומי	גּוּמִי
בואי	בּוֹאִי
ניס	נִיס
סבתא	סַבְתָא
בזל	בָּזֶל
מחסה	מַחֲסֶה
טורקים	טוּרְקִים
סלון	סָלוֹן
הטייסת	הַטַּיֶּיסֶת
העקרונות	הָעֶקְרוֹנוֹת
הקרינה	הַקְּרִינָה
טנקי	טַנְקִי
שהציע	שֶׁהִצִּיעַ
מצבם	מַצָּבָם
יפים	יָפִים
בקפריסין	בְּקַפְרִיסִין
שניסו	שֶׁנִּיסּוּ
נספו	נִסְפּוּ
צלילה	צְלִילָה
אמירה	אֲמִירָה
קונרד	קוֹנֶרְד
ציטוטים	צִיטּוּטִים
רגב	רֶגֶב
לידתו	לֵידָתוֹ
משפיעים	מַשְׁפִּיעִים
הסכנה	הַסַּכָּנָה
ההרחבה	הַהַרְחָבָה
נגמר	נִגְמַר
הפוכה	הֲפוּכָה
נלחמו	נִלְחֲמוּ
הבשר	הַבָּשָׂר
הספציפי	הַסְּפֵּצִיפִי
מהשדה	מֵהַשָּׂדֶה
אמות	אַמוֹת
בהפרש	בְּהֶפְרֵשׁ
מיתרים	מֵיתָרִים
הקרויה	הַקְּרוּיָה
הנערה	הַנַּעֲרָה
ספריות	סִפְרִיּוֹת
מילימטרים	מִילִימֶטְרִים
השפל	הַשֶּׁפֶל
סנקציות	סַנְקְצִיּוֹת
הפיזיקה	הַפִיזִיקָה
מרבה	מַרְבֶּה
נימוק	נִימּוּק
נכללים	נִכְלָלִים
הסוס	הַסּוּס
מנצחים	מְנַצְּחִים
חיטה	חִיטָּה
הוכח	הוּכַח
באפגניסטן	בְּאַפְגָּנִיסְטָן
ריכרד	רִיכַרְד
בסקר	בְּסֶקֶר
לעיתונות	לָעִיתּוֹנוּת
דיזנגוף	דִּיזֶנְגוֹף
העיטור	הָעִיטּוּר
ושרה	וְשָׂרָה
מונגוליה	מוֹנְגּוֹלְיָה
המגזר	הַמִּגְזָר
נלהב	נִלְהָב
סדאן	סָדָאן
הוסיפה	הוֹסִיפָה
וניסה	וְנִיסָּה
ההפסד	הַהֶפְסֵד
אודסה	אוֹדֵסָה
החקלאית	הַחַקְלָאִית
וקיבלה	וְקִיבְּלָה
שאביו	שֶׁאָבִיו
גדודים	גְּדוּדִים
התותחנים	הַתּוֹתְחָנִים
בקבלת	בְּקַבָּלַת
לונה	לוֹנָה
גינה	גִּינָּה
ההכנסה	הַהַכְנָסָה
שהסרט	שֶׁהַסֶּרֶט
משניות	מִשְׁנִיּוֹת
בתודה	בְּתוֹדָה
וינסטון	וִינְסְטוֹן
רנטגן	רֵנְטְגֵן
מסדה	מַסְדָה
הסימנים	הַסִּימָנִים
סטארק	סְטַארק
ריגה	רִיגָה
קאסל	קָאסֶל
לעתים	לְעִתִּים
כרופא	כְּרוֹפֵא
אלקטרוניקה	אֵלֶקְטְרוֹנִיקָה
טקסים	טְקָסִים
מחמת	מֵחֲמַת
אינגלנד	אִינְגְּלַנְד
שהוציא	שֶׁהוֹצִיא
בעבירות	בַּעֲבֵירוֹת
חוש	חוּשׁ
בטן	בֶּטֶן
שינו	שִׁינּוּ
הליבה	הַלִּיבָּה
בסכנה	בְּסַכָּנָה
ינאי	יַנַאי
לטובה	לְטוֹבָה
מקהלה	מַקְהֵלָה
לערעורים	לְעִרְעוּרִים
הניסוח	הַנִּיסּוּחַ
זיכיון	זִיכָּיוֹן
קובנה	קוֹבְנָה
סימוכין	סִימּוּכִין
האסכולה	הָאַסְכּוֹלָה
שוות	שָׁווֹת
זכאים	זַכָּאִים
צנחנים	צַנְחָנִים
החכמים	הַחֲכָמִים
ודוד	וְדוֹד
סביבת	סְבִיבַת
אתגרים	אֶתְגָּרִים
פגעו	פָּגְעוּ
פאבל	פָּאבֶּל
אביטל	אֲבִיטָל
אלינור	אֵלִינוֹר
צאצא	צֶאֱצָא
הקשורה	הַקְּשׁוּרָה
ליטאים	לִיטָאִים
החימוש	הַחִימּוּשׁ
משנים	מְשַׁנִּים
עימותים	עִימּוּתִים
משפטיות	מִשְׁפָּטִיּוּת
לוחמת	לוֹחֶמֶת
אשל	אֶשֶׁל
מתקבלת	מִתְקַבֶּלֶת
משניים	מִשְׁנַיִים
בנצרות	בַּנַּצְרוּת
במדריד	בְּמַדְרִיד
אולמות	אוּלָמוֹת
הביון	הַבִּיּוּן
זרמים	זְרָמִים
נציב	נָצִיב
וארגון	וְאִרְגּוּן
שרית	שָׂרִית
שמורות	שְׁמוּרוֹת
ההוקי	הַהוֹקִי
הפולנים	הַפּוֹלָנִים
למחלקת	לְמַּחְלֶקֶת
למפלגת	לְמִּפְלֶגֶת
אורלי	אוֹרְלִי
המדליות	הַמֵדַלְיוֹת
משפיעה	מַשְׁפִּיעָה
בחשאי	בַּחֲשַׁאי
ביטחוני	בִּיטְחוֹנִי
נשבר	נִשְׁבַּר
משקיעים	מַשְׁקִיעִים
בחשד	בַּחֲשָׁד
חוט	חוּט
במיקום	בְּמִּיקּוּם
שהתרחשה	שֶׁהִתְרַחֲשָׁה
חצות	חֲצוֹת
תבל	תֵּבֵל
קילוגרם	קִילוֹגְרָם
ההשפעות	הַהַשְׁפָּעוֹת
בחקירה	בַּחֲקִירָה
קרינת	קְרִינַת
למזכיר	לַמַזְכִּיר
הרומנטית	הָרוֹמַנְטִית
לדור	לְדוֹר
המזבח	הַמִּזְבֵּחַ
משיח	מָשִׁיחַ
ההדרכה	הַהַדְרָכָה
נקי	נָקִי
ולתת	וְלָתֵת
בדרגה	בְּדַרְגָּה
גבעתיים	גִּבְעָתַיִים
המקראית	הַמִּקְרָאִית
משקה	מַשְׁקֶה
ושב	וְשֵׁב
עיצור	עִיצּוּר
עתידי	עֲתִידִי
הפרח	הַפֶּרַח
מתבסס	מִתְבַּסֵּס
חמורות	חֲמוּרוֹת
תפוח	תַּפּוּחַ
פמיניסטית	פֵמִינִיסְטִית
מוט	מוֹט
בגד	בֶּגֶד
משנית	מִשְׁנִית
מנחת	מִנְחַת
ונשאר	וְנִשְׁאַר
במבחן	בְּמִבְחָן
ליף	לִיף
הנמכר	הַנִּמְכָּר
שוכנים	שׁוֹכְנִים
לחלץ	לְחַלֵּץ
נינטנדו	נִינְטַנְדּוֹ
לחכות	לְחַכּוֹת
נגיד	נַגִּיד
דניאלה	דָּנִיאֵלָה
הנהיג	הִנְהִיג
המנוח	הַמָּנוֹחַ
הנחות	הֲנָחוֹת
שמדרום	שֶׁמִּדָּרוֹם
סיציליה	סִיצִילְיָה
אהבתו	אַהֲבָתוֹ
עזיבתו	עֲזִיבָתוֹ
החלומות	הַחֲלוֹמוֹת
טורים	טוּרִים
עבדות	עַבְדוּת
הסמים	הַסַּמִים
בטח	בֶּטַח
והציע	וְהִצִּיעַ
חלומות	חֲלוֹמוֹת
הסניף	הַסְּנִיף
המחול	הַמָּחוֹל
צילם	צִילֵּם
סמינר	סֵמִינָר
בקטגוריות	בְּקָטֵגוֹרְיוֹת
הארגנטינאית	הָאַרְגֶּנְטִינָאִית
הקל	הַקַל
הידיים	הַיָּדַיִים
מכני	מֵכָנִי
חקירות	חֲקִירוֹת
שהתגלו	שֶׁהִתְגַּלּוּ
לנסח	לְנַסֵּחַ
הזכיר	הִזְכִּיר
שסיימו	שֶׁסִּייְּמוּ
סקירת	סְקִירַת
מוריסון	מוֹרִיסוֹן
שיפורים	שִׁיפּוּרִים
טקסטיל	טֶקְסְטִיל
להעיד	לְהָעִיד
אלימה	אַלִּימָה
האמור	הָאָמוּר
החרמון	הַחֶרְמוֹן
השום	הַשּׁוּם
באיסטנבול	בְּאִיסְטַנְבּוּל
פיוס	פִּיּוּס
הברכה	הַבְּרָכָה
המנחה	הַמַּנְחֶה
בלבול	בִּלְבּוּל
ערעור	עִרְעוּר
נוגע	נוֹגֵעַ
כמנהיג	כְּמַנְהִיג
הרחם	הָרֶחֶם
חשיבותה	חֲשִׁיבוּתָה
הבלגי	הַבֶּלְגִּי
אירית	אִירִית
עתידית	עֲתִידִית
כינוס	כִּינּוּס
מוסוליני	מוֹסוֹלִינִי
הקצין	הַקָּצִין
הוכחות	הוֹכָחוֹת
שחקים	שְׁחָקִים
מכללות	מִכְלָלוֹת
מאשתו	מֵאִשְׁתּוֹ
דמוקרטים	דֵּמוֹקְרָטִים
בנימוק	בְּנִימּוּק
השריר	הַשְּׁרִיר
הבלש	הַבַּלָּשׁ
לתרגום	לְתִרְגּוּם
מהמקור	מֵהַמָּקוֹר
לגיטימי	לֵגִיטִימִי
לוקחים	לוֹקְחִים
להמתין	לְהַמְתִּין
סינג	סִינְג
רבן	רַבָּן
מגיעות	מַגִּיעוֹת
מתבססת	מִתְבַּסֶּסֶת
הצבאיות	הַצְּבָאִיּוֹת
פלדמן	פֶלְדְמָן
מינימום	מִינִימוּם
הארמני	הָאַרְמֵנִי
מנהגים	מִנְהָגִים
הבינו	הֵבִינוּ
השורות	הַשּׁוּרוֹת
ונשלח	וְנִשְׁלַח
הגיבורים	הַגִּיבּוֹרִים
בורבון	בּוֹרְבּוֹן
בנקים	בַּנְקִים
שגילה	שֶׁגִּילָּה
אזרחיות	אֶזְרָחִיּוֹת
ניץ	נִיץ
המצלמה	הַמַּצְלֵמָה
יושבים	יוֹשְׁבִים
כוחם	כּוֹחָם
הכספי	הַכַּסְפִּי
חלופי	חֲלוּפִי
לגטו	לַגֵּטוֹ
קרניים	קַרְנַיִים
הומו	הוֹמוֹ
מעפילים	מַעְפִּילִים
שאתם	שֶׁאַתֶּם
הקטנות	הַקְּטַנּוֹת
רוחנית	רוּחָנִית
צלילים	צְלִילִים
מעידים	מְעִידִים
קונור	קוֹנוֹר
למשחקים	לְמִשְׂחָקִים
חושף	חוֹשֵׂף
כמאה	כְּמֵאָה
תפסו	תָּפְסוּ
התנהלות	הִתְנַהֲלוּת
הכנפיים	הַכְּנָפַיִים
ההבנה	הַהֲבָנָה
הממלכות	הַמַּמְלָכוֹת
אחרית	אַחֲרִית
ראס	רָאס
ערד	עֲרָד
סולומון	סוֹלוֹמוֹן
בונים	בּוֹנִים
עצמאיות	עַצְמָאִיּוֹת
הפועלות	הַפּוֹעֲלוֹת
בשטחה	בְּשִׁטְחָה
נפגשים	נִפְגָּשִׁים
לכבד	לְכַבֵּד
קאסם	קָאסֶם
המדליה	הַמֵדַלְיָה
מהירים	מְהִירִים
הפלות	הַפָּלוֹת
בסחר	בְּסַחַר
קולמן	קוֹלְמָן
לאמריקה	לְאָמֵרִיקָה
בדין	בְּדִין
רישומים	רִישּׁוּמִים
הארבעים	הָאַרְבָּעִים
גישת	גִּישַׁת
קיבלתי	קִיבַּלְתִּי
הזיכיון	הַזִּיכָּיוֹן
פלויד	פְלוֹיד
הוקס	הוֹקְס
המשאבים	הַמַּשְׁאַבִּים
שעוסק	שֶׁעוֹסֵק
המטרות	הַמַּטָּרוֹת
הצירים	הַצִּירִים
מעריך	מַעֲרִיך
קומי	קוֹמִי
הולנדית	הוֹלַנְדִּית
ההנפשה	הַהַנְפָּשָׁה
התחומים	הַתְּחוּמִים
קירור	קֵירוּר
בברקלי	בְּבַּרְקְלִי
הפיזי	הַפִיזִי
הקשיים	הַקְּשָׁיִים
מאיטליה	מֵאִיטַלְיָה
הביעה	הִבִּיעָה
שן	שֵׁן
להפיל	לְהַפִּיל
במודל	בְּמּוֹדֵל
מעלים	מַעֲלִים
והספורט	וְהַסְּפּוֹרְט
מהאימפריה	מֵהָאִימְפֶּרְיָה
ליר	לִיר
מקצועיות	מִקְצוֹעִיּוּת
דגלים	דְּגָלִים
יארד	יַארְד
להעלאת	לְהַעֲלָאַת
להחלטה	לַהַחְלָטָה
קונספט	קוֹנְסֶפְּט
סינגלי	סִינְגְּלִי
ממשית	מַמָּשִׁית
מזכירה	מַזְכִּירָה
משחקיה	מִשְׂחָקֶיהָ
נחשבות	נֶחְשָׁבוֹת
הסימן	הַסִּימָן
להלכה	לַהֲלָכָה
לנפש	לְנֶפֶשׁ
שפיר	שַׁפִיר
לקצין	לְקָצִין
קמח	קֶמַח
ספירת	סְפִירַת
ספרותיים	סִפְרוּתִיִּים
ממלכות	מַמְלָכוֹת
למילים	לְמִילִּים
שקול	שָׁקוּל
מאבן	מֵאֶבֶן
ליברלית	לִיבֵּרָלִית
הפותחת	הַפּוֹתַחַת
שנשאר	שֶׁנִּשְׁאַר
קלמן	קַלְמָן
הכבישים	הַכְּבִישִׁים
ואח	וְאָח
ההכנסות	הַהַכְנָסוֹת
שניצחה	שֶׁנִּיצְּחָה
תורתו	תּוֹרָתוֹ
שטענו	שֶׁטָּעֲנוּ
האדריכלים	הָאַדְרִיכָלִים
מטרתה	מַטְּרָתָהּ
ניוז	נְיוּז
התיק	הַתִּיק
זלצבורג	זַלְצְבּוּרְג
בחברון	בְּחֶבְרוֹן
אוטונומיה	אוֹטוֹנוֹמְיָה
רגיש	רָגִישׁ
דינמית	דִּינָמִית
בפורט	בְּפּוֹרְט
אטימולוגיה	אֵטִימוֹלוֹגְיָה
ליטאי	לִיטָאִי
ההתשה	הַהַתָּשָׁה
שכולל	שֶׁכּוֹלֵל
ייחוס	יִיחוּס
צידי	צִידִי
להפעלת	לְהַפְעָלַת
לגיוס	לְגִיּוּס
דורשים	דּוֹרְשִׁים
לפרש	לְפָרֵשׁ
איכרים	אִיכָּרִים
הכפול	הַכָּפוּל
הימנעות	הִימָּנְעוּת
שואת	שׁוֹאַת
שגיא	שָׂגִיא
כשגריר	כְּשַׁגְרִיר
נקשר	נִקְשַׁר
מספרד	מִסְּפָרַד
חנינה	חֲנִינָה
פארמה	פַארְמָה
הרישיון	הָרִישָּׁיוֹן
השתנתה	הִשְׁתַּנְּתָה
להרחבת	לְהַרְחָבַת
מתמטי	מָתֵמָטִי
משרות	מִשְׂרוֹת
אלימלך	אֱלִימֶלֶךְ
קמפוס	קַמְפּוּס
לילות	לֵילוֹת
מתפקיד	מִתַּפְקִיד
פלשו	פָּלְשׁוּ
האישים	הָאִישִׁים
סעד	סַעַד
המחנות	הַמַּחֲנוֹת
בכתבה	בַּכַּתָּבָה
בכור	בְּכוֹר
המחקרים	הַמֶּחְקָרִים
להיכנע	לְהִיכָּנַע
התנהל	הִתְנַהֵל
המסעדה	הַמִּסְעָדָה
תחליף	תַּחֲלִיף
לערער	לְעַרְעֵר
אלמנט	אֵלֵמֵנְט
רוקח	רוֹקֵחַ
אתי	אֵתִי
התעמולה	הַתַּעֲמוּלָה
שילב	שִׁילֵּב
בחולון	בְּחוֹלוֹן
אולמרט	אוֹלְמֵרְט
חריגה	חֲרִיגָה
הציד	הַצִּיד
הנוספים	הַנּוֹסָפִים
מהעולם	מֵהָעוֹלָם
שניתנו	שֶׁנִּיתְּנוּ
רך	רַךְ
בחבר	בְּחֲבֶר
חטא	חֵטְא
הפלדה	הַפְלָדָה
הארצות	הָאֲרָצוֹת
הגומלין	הַגּוֹמְלִין
סורי	סוּרִי
נסעו	נָסְעוּ
לירון	לִירוֹן
זי	זִי
שהשתתף	שֶׁהִשְׁתַּתֵּף
רפובליקנית	רֶפּוּבְּלִיקָנִית
רומנטי	רוֹמַנְטִי
שכיחות	שְׁכִיחוּת
המשמעותי	הַמַּשְׁמָעוּתִי
בתימן	בְּתֵימָן
מתמטיקאים	מָתֵמָטִיקָאִים
אוהבים	אוֹהֲבִים
וול	ווֹל
החפירות	הַחֲפִירוֹת
ההשראה	הַהַשְׁרָאָה
העיראקית	הָעִירָאקִית
לניתוח	לְנִיתּוּחַ
להפך	לְהֶפֶך
פיני	פִּינִי
שהעלה	שֶׁהֶעֶלָה
למוסקבה	לְמוֹסְקְבָה
הפסח	הַפֶּסַח
בחטיבה	בַּחֲטִיבָה
השיער	הַשֵּׂיעָר
למכבי	לְמַכַּבִּי
בפירוש	בְּפֵירוּשׁ
פורץ	פּוֹרֵץ
מונטה	מוֹנְטָה
שישראל	שֶׁיִּשְׂרָאֵל
בקשתו	בַּקָּשָׁתוֹ
פצצה	פְּצָצָה
מהאזור	מֵהָאֵזוֹר
המאמצים	הַמַּאֲמַצִּים
שאלתי	שָׁאַלְתִּי
כילד	כְּיֶלֶד
טיסת	טִיסַת
העמודים	הָעַמּוּדִים
תורנית	תּוֹרָנִית
הקצרה	הַקְּצָרָה
הצבת	הַצַּבַת
התנדב	הִתְנַדֵּב
רוחו	רוּחוֹ
יזמה	יַזְמָה
אוגוסטה	אוֹגוּסְטָה
הקריטריונים	הַקְּרִיטֶרְיוֹנִים
הקולג	הַקּוֹלֵג
המסמכים	הַמִּסְמָכִים
החץ	הַחֵץ
רוקדים	רוֹקְדִים
ההתחלה	הַהַתְחָלָה
באישור	בְּאִישּׁוּר
בבונדסליגה	בַּבּוֹנְדְסְלִיגָה
נוצות	נוֹצוֹת
ביולוגית	בִּיּוֹלוֹגִית
בסקי	בֶּסְקִי
ניזון	נִיזּוֹן
שומע	שׁוֹמֵעַ
פלטפורמות	פְּלַטְפוֹרְמוֹת
שתמכו	שֶׁתָּמְכוּ
צורתו	צּוּרָתוֹ
ודרך	וְדֶרֶךְ
שקשה	שֶׁקָּשֶׁה
שקע	שֶׁקַע
תפוצתו	תְּפוּצָתוֹ
עלולות	עֲלוּלוֹת
למסחר	לְמִסְחָר
שגרירים	שַׁגְרִירִים
מוסא	מוּסָא
הביקוש	הַבִּיקּוּשׁ
נגנים	נַגָּנִים
פחותה	פְּחוּתָה
הצמיחה	הַצְּמִיחָה
וגרמניה	וְגֶרְמַנְיָה
ונסטון	וֵנְסְטוֹן
איטית	אִיטִּית
המשרה	הַמִּשְׂרָה
במחקרים	בְּמֶחְקָרִים
קיסרי	קֵיסָרִי
מעטפת	מַעֲטֶפֶת
השיטות	הַשִּׁיטוֹת
אהב	אָהַב
מתאפיין	מִתְאַפְיֵין
סביבות	סְבִיבוֹת
דימוי	דִּימּוּי
מטרו	מֶטְרוֹ
התגובות	הַתְּגוּבוֹת
טכניקת	טֶכְנִיקַת
ונפטר	וְנִפְטַר
ציפורי	צִיפּוֹרִי
ליישום	לְיִישּׂוּם
לנושאים	לְנוֹשְׂאִים
אמונות	אֱמוּנוֹת
ייצגה	יִיצְגָה
הכלבים	הַכְּלָבִים
התעמלות	הִתְעַמְּלוּת
זינגר	זִינְגֶּר
הסלעים	הַסְּלָעִים
באדמה	בָּאֲדָמָה
צרכים	צְרָכִים
בהוראה	בְּהוֹרָאָה
פולנית	פּוֹלָנִית
רעים	רָעִים
באקס	בַּאקְס
החשיפה	הַחֲשִׂיפָה
האיברים	הָאֵיבָרִים
היומי	הַיּוֹמִי
האדמות	הָאֲדָמוֹת
הנדרשים	הַנִּדְרָשִׁים
ושנה	וְשָׁנָה
להירשם	לְהֵירָשֵׁם
בציר	בְּצִיר
במעצר	בְּמַעֲצָר
ממעמד	מִמַּעֲמָד
העמידה	הָעֲמִידָה
נחלקו	נֶחְלְקוּ
בדגש	בְּדָגֵשׁ
נטמן	נִטְמַן
פוסק	פּוֹסֵק
כותרות	כּוֹתָרוֹת
אטומי	אָטוֹמִי
שריד	שָׂרִיד
הומוסקסואלית	הוֹמוֹסֶקְסוּאָלִית
המאמינים	הַמַּאֲמִינִים
להיחשב	לְהֵיחָשֵׁב
שממנה	שֶׁמִּמֶּנָּה
שרצה	שֶׁרָצָה
המקצועיים	הַמִּקְצוֹעִיִּים
הבורסה	הַבּוּרְסָה
האמנויות	הָאׇמָּנוּיוֹת
אורתודוקסית	אוֹרְתּוֹדוֹקְסִית
האתיופית	הָאֶתְיוֹפִּית
שיצרו	שֶׁיָּצְרוּ
מערביות	מַעֲרָבִיּוֹת
התודעה	הַתּוֹדָעָה
מצריים	מִצְרִיִּים
החילוץ	הַחִילּוּץ
הניסויים	הַנִּיסּוּיִים
בסימן	בְּסִימָן
לשואה	לַשּׁוֹאָה
אובייקט	אוֹבְּיֵיקְט
בליטא	בְּלִיטָא
הגילוי	הַגִּילּוּי
בלמי	בַּלְמִי
לאנרגיה	לְאֵנֶרְגִּיָּה
אנושיות	אֱנוֹשִׁיּוּת
ושיתוף	וְשִׁיתּוּף
עליונות	עֶלְיוֹנוּת
מקדים	מַקְדִּים
השוליים	הַשּׁוּלַיִים
להצלת	לְהַצָּלַת
נטשה	נָטְשָׁה
טבק	טַבָּק
הסוגים	הַסּוּגִים
הגאה	הַגֵּאָה
חלקיק	חֶלְקִיק
שוחט	שׁוֹחַט
התשתית	הַתַּשְׁתִּית
אתני	אֶתְנִי
במחלת	בְּמַחֲלַת
ושירה	וְשִׁירָה
השומרים	הַשּׁוֹמְרִים
כוס	כּוֹס
נעליים	נַעֲלַיִים
מירנדה	מִירַנְדָה
ועלתה	וְעָלְתָה
שכבש	שֶׁכָּבַשׁ
החרדים	הַחֲרֵדִים
איילת	אַיֶּילֶת
שוטף	שׁוֹטֵף
אנגליות	אַנְגְּלִיּוֹת
רכשו	רָכְשׁוּ
במקומה	בִּמְקוֹמָה
סכין	סַכִּין
ליושב	לַיּוֹשֵׁב
לוקחת	לוֹקַחַת
קיד	קִיד
לעובדים	לָעוֹבְדִים
גישתו	גִּישָׁתוֹ
השבויים	הַשְּׁבוּיִים
ושלום	וְשָׁלוֹם
הדוד	הַדּוֹד
ימה	יָמָּה
סנדרה	סַנְדְרָה
פוגעת	פּוֹגַעַת
שקיימת	שֶׁקַּיֶּימֶת
מביאים	מְבִיאִים
והיסטוריה	וְהִיסְטוֹרְיָה
ההפגנות	הַהַפְגָּנוֹת
ההוכחה	הַהוֹכָחָה
מתפתח	מִתְפַּתֵּחַ
להנצחת	לְהַנְצָחַת
עכבר	עַכְבָּר
מקסימלי	מַקְסִימָלִי
חקיקת	חֲקִיקַת
שיוט	שִׁיּוּט
חתולים	חֲתוּלִים
בריא	בָּרִיא
דאן	דָּאן
נקט	נָקַט
להונגריה	לְהוּנְגַּרְיָה
קתרינה	קָתְרִינָה
רומית	רוֹמִית
להתבצע	לְהִתְבַּצֵּעַ
להסתמך	לְהִסְתַּמֵּך
צפויים	צְפוּיִים
מפשע	מִפֶּשַׁע
מהחיים	מֵהַחַיִּים
המימון	הַמִּימּוּן
מרשימה	מַרְשִׁימָה
מטענים	מִטְעָנִים
והחליט	וְהֶחְלִיט
יונים	יוֹנִים
ניקוי	נִיקּוּי
עינויים	עִינּוּיִים
בחוברת	בַּחוֹבֶרֶת
שהיגרו	שֶׁהִיגְּרוּ
כינו	כִּינּוּ
הטבעיים	הַטִּבְעִיִּים
שפיגל	שְׁפִּיגֶל
הצטרפות	הִצְטָרְפוּת
הסורים	הַסּוּרִים
לברלין	לְבֶּרְלִין
גיטרות	גִּיטָרוֹת
מתקופה	מִתְּקוּפָה
השבועות	הַשָּׁבוּעוֹת
סגנו	סְגָנוֹ
התיעוד	הַתִּיעוּד
חסום	חָסוּם
הלם	הֶלֶם
לרבע	לְרֶבַע
המדרגות	הַמַּדְרֵגוֹת
מקלע	מַקְלֵעַ
נגזרת	נִגְזֶרֶת
בכימיה	בְּכִימְיָה
פמיניסטיות	פֵמִינִיסְטִיּוֹת
רובוט	רוֹבּוֹט
ניטור	נִיטּוּר
שכיום	שֶׁכַּיּוֹם
והופך	וְהוֹפֵךְ
בפינה	בַּפִּינָּה
לנה	לָנָה
הדס	הֲדַס
המאפיין	הַמְּאַפְיֵין
הסינים	הַסִּינִים
הקטעים	הַקְּטָעִים
דיפלומטים	דִּיפְּלוֹמָטִים
מגיסטר	מֵגִיסְטֶר
השכונות	הַשְּׁכוּנוֹת
ההליך	הַהֲלִיך
למוסד	לַמּוֹסָד
משכן	מִשְׁכָּן
משלוח	מִשְׁלוֹחַ
הגלים	הַגַּלִּים
בטוחים	בְּטוּחִים
שגרמו	שֶׁגָּרְמוּ
דונה	דּוֹנָה
כלוחם	כְּלוֹחֵם
בדור	בְּדוֹר
מקראית	מִקְרָאִית
פסיכולוגי	פְּסִיכוֹלוֹגִי
ממציא	מַמְצִיא
דמוית	דְּמוּיַת
