مقدمة	مُقَدَّمَ
وبرودة	وَبُرُودَ
استسقاه	اسْتَسْقَاه
بمالكه	بِمَالِكِه
بحاجز	بِحَاجِز
يحطون	يَحُطُّون
نحبس	نَحْبِس
أرضيهما	أَرْضَيْهِمَا
تسقيان	تَسْقِيَان
أرضاهما	أَرْضَاهُمَا
متحاذيين	مُتَحَاذِيَيْن
منبعه	مَنْبَعُه
كدجلة	كَدِجْلَ
فالاتصال	فَالِاتِّصَال
إطرادها	إطْرَادُهَا
فأخرب	فَأَخْرَب
فالعمارة	فَالْعِمَارَ
سطحيهما	سَطْحَيْهِمَا
فساغت	فَسَاغَتْ
فقياسها	فَقِيَاسُهَا
للعرصة	لِلْعَرْصَ
لمصب	لِمَصَبّ
لمصلحتهما	لِمَصْلَحَتِهِمَا
فالشخص	فَالشَّخْص
الأسفلون	الْأَسْفَلُون
وأزيلت	وَأُزِيلَتْ
فادعي	فَادُّعِي
وتفرض	وَتُفْرَض
يعترضوا	يَعْتَرِضُوا
كالمحرر	كَالْمُحَرَّر
وبوقت	وَبِوَقْت
مسقى	مُسْقى
يعمقه	يُعَمِّقَه
انضباطها	انْضِبَاطِهَا
مستويتين	مُسْتَوِيَتَيْن
لمالكيهما	لِمَالِكَيْهِمَا
مغرسه	مَغْرِسِه
مالكيها	مَالِكِيهَا
المغارس	الْمَغَارِس
كالكافي	كَالْكَافِي
ونفيس	وَنَفِيس
فأحضرا	فَأَحْضَرَا
معاقد	مَعَاقِد
قبضتهم	قَبْضَتِهِمْ
أحضراه	أَحْضَرَاه
فعملوا	فَعَمِلُوا
تفاوتهم	تَفَاوُتِهِمْ
والثقب	وَالثَّقْب
ثقبتين	ثُقْبَتَيْن
بتساوي	بِتَسَاوِي
لنظير	لِنَظِير
وتفاوتوا	وَتَفَاوَتُوا
وباختلافهما	وَبِاخْتِلَافِهِمَا
المجاب	الْمُجَاب
المنسدة	الْمُنْسَدَّ
الحافة	الْحَافَّ
فيحفرون	فَيَحْفِرُون
بقصره	بِقَصْرِه
فيشترطون	فَيَشْتَرِطُون
للمقدم	لِلْمُقَدَّم
إفرازا	إفْرَازا
يقتسمونها	يَقْتَسِمُونَهَا
المتفرعة	الْمُتَفَرِّعَ
المرتوي	الْمُرْتَوِي
المتفرعين	الْمُتَفَرِّعِين
وبالبناء	وَبِالْبِنَاء
بحقية	بِحَقِّيَّ
استواءها	اسْتِوَاءَهَا
أضررنا	أَضْرَرْنَا
يتعظوا	يَتَّعِظُوا
لخصومته	لِخُصُومَتِه
حاكمها	حَاكِمِهَا
بالممنوع	بِالْمَمْنُوع
تخويفهم	تَخْوِيفِهِمْ
تحريضا	تَحْرِيضا
لطهور	لِطَهُور
بالسيل	بِالسَّيْل
بسكوتهم	بِسُكُوتِهِمْ
فلبعضهم	فَلِبَعْضِهِمْ
بتفصيلهما	بِتَفْصِيلِهِمَا
وسرجين	وَسِرْجِين
بساتينها	بَسَاتِينِهَا
كالشوارع	كَالشَّوَارِع
ومستنده	وَمُسْتَنَدُه
أقطعها	أَقْطَعَهَا
الصفدي	الصَّفَدِيّ
جلى	جُلِّى
بفيض	بِفَيْض
الإقطاعات	الْإِقْطَاعَات
والمراضاة	وَالْمُرَاضَا
مرتزقة	مُرْتَزِقَ
أرزاقا	أَرْزَاقا
أرصدوا	أَرَصَدُوا
يبرءوا	يَبْرَءُوا
للمرتزقة	لِلْمُرْتَزِقَ
المرصدون	الْمُرْصَدُون
مراجعتهم	مُرَاجَعَتِهِمْ
للمقطع	لِلْمُقْطَع
بالثقب	بِالثَّقْب
ليعمهما	لِيَعُمَّهُمَا
اقتسامهم	اقْتِسَامُهُمْ
كالساعة	كَالسَّاعَ
لمجاورتها	لِمُجَاوَرَتِهَا
واعتاد	وَاعْتَاد
يكرههم	يُكْرِهُهُمْ
بهدايته	بِهِدَايَتِه
للإحاطة	لِلْإِحَاطَ
المزايا	الْمَزَايَا
بنتيهما	بِنْتَيْهِمَا
فذكراه	فَذَكَرَاه
لكانا	لَكَانَا
يمعنا	يُمْعِنَا
يفرون	يَفِرُّون
فعدول	فَعُدُول
بأنساب	بِأَنْسَاب
لطروق	لِطُرُوق
اعتضاده	اعْتِضَادِه
للعليل	لِلْعَلِيل
فاغتر	فَاغْتَرّ
تصححه	تُصَحِّحُه
الطنباء	الطَّنْبَاء
بتار	بَتّارْ
اعتباران	اعْتِبَارَان
فلقائل	فَلِقَائِل
مقدمتين	مُقَدِّمَتَيْن
ينقرض	يَنْقَرِض
واحتمالا	وَاحْتِمَالا
ترددنا	تَرَدَّدْنَا
أخوهما	أَخُوهُمَا
داخلات	دَاخِلَات
أصلهن	أَصْلُهُنّ
فنترك	فَنَتْرُك
والمتقدمين	وَالْمُتَقَدِّمِين
ويقمن	وَيَقُمْن
يتلقون	يَتَلَقَّوْن
واستفتي	وَاسْتُفْتِي
إسجال	إسْجَال
عمتيهما	عَمَّتَيْهِمَا
جزمهم	جَزْمِهِمْ
نلغي	نُلْغِي
يلغيها	يُلْغِيهَا
والتقديري	وَالتَّقْدِيرِيّ
لاستحقه	لَاسْتَحَقَّه
ونقضي	وَنَقْضِي
وإبدال	وَإِبْدَال
فحكي	فَحُكِي
إلكيا	إلْكِيَا
الهراسي	الْهِرَّاسِيّ
لإخوة	لِإِخْوَ
القماح	الْقَمَّاح
وقرنا	وَقَرْنا
المخلفين	الْمُخَلَّفِين
خصصوه	خَصَّصُوه
ومعاصريه	وَمُعَاصِرِيه
نسبناه	نَسَبْنَاه
يرثهم	يَرِثُهُمْ
بالسواء	بِالسَّوَاء
وبمفهومه	وَبِمَفْهُومِه
وجدناهم	وَجَدْنَاهُمْ
المسطر	الْمُسَطَّر
لقرائن	لِقَرَائِن
الغائصين	الْغَائِصِين
وبطنا	وَبَطْنا
بظاهرهما	بِظَاهِرِهِمَا
لأبطلنا	لَأَبْطَلْنَا
يعتبروا	يَعْتَبِرُوا
انقراضهما	انْقِرَاضُهُمَا
للطبري	لِلطَّبَرِيّ
تغليطه	تَغْلِيطِه
والفقهية	وَالْفِقْهِيَّ
بقائهم	بَقَائِهِمْ
كالمتفق	كَالْمُتَّفَق
ولعمها	وَلِعَمِّهَا
قرينتان	قَرِينَتَان
دلتا	دَلَّتَا
فرجحناه	فَرَجَّحْنَاه
يتداولون	يَتَدَاوَلُون
استبعاده	اسْتِبْعَادِه
لأفتى	لَأَفْتَى
فنذكرها	فَنَذْكُرُهَا
تحجبه	تَحْجُبُه
نضطر	نُضْطَرّ
فليتعين	فَلْيَتَعَيَّنْ
مفرعا	مُفَرَّعا
لفروعه	لِفُرُوعِه
ترجيحات	تَرْجِيحَات
والمنتسب	وَالْمُنْتَسِب
للتقدمة	لِلتَّقْدِمَ
بالأرشدية	بِالْأَرْشَدِيَّ
المنتسبين	الْمُنْتَسِبِين
أميهما	أُمَّيْهِمَا
عقبته	عَقَّبَتْه
لعلوها	لِعُلُوِّهَا
فقضاة	فَقُضَا
رجحناه	رَجَّحْنَاه
وأنسالهما	وَأَنْسَالِهِمَا
فالواقف	فَالْوَاقِف
صورتيهما	صُورَتَيْهِمَا
لإفتائه	لِإِفْتَائِه
والتبادر	وَالتَّبَادُر
بحملهما	بِحَمْلِهِمَا
بغرضه	بِغَرَضِه
سلار	سَلَّار
يقلدني	يُقَلِّدُنِي
ووالدتها	وَوَالِدَتِهَا
بأولاده	بِأَوْلَادِه
تضعضع	تَضَعْضَع
المهامه	الْمَهَامِه
والمضايق	وَالْمَضَايِق
لانعزاله	لِانْعِزَالِه
إخلاله	إخْلَالِه
والتوصية	وَالتَّوْصِيَ
المجاهيل	الْمَجَاهِيل
والتعليقات	وَالتَّعْلِيقَات
وبصحته	وَبِصِحَّتِه
فهلل	فَهَلِّلْ
بقدريهما	بِقَدْرَيْهِمَا
وبنقص	وَبِنَقْص
البرانية	الْبَرَّانِيَّ
معلومهم	مَعْلُومِهِمْ
للجهات	لِلْجِهَات
للمقدر	لِلْمُقَدَّر
بالهذيان	بِالْهَذَيَان
نشرط	نَشْرِطْ
كبئر	كَبِئْر
فعمق	فَعُمْق
ووارد	وَوَارِد
للاشتراط	لِلِاشْتِرَاط
بالورود	بِالْوُرُود
واقتضته	وَاقْتَضَتْه
لتنزل	لِتَنْزِل
كوننا	كَوْنِنَا
مدرسها	مُدَرِّسُهَا
بذهنه	بِذِهْنِه
المدلولات	الْمَدْلُولَات
فالوارد	فَالْوَارِد
الحنيفة	الْحَنِيفَ
واستشهاد	وَاسْتِشْهَاد
فيتناولها	فَيَتَنَاوَلُهَا
يوصفان	يُوصَفَان
رشاء	رِشَاء
بزيادتهم	بِزِيَادَتِهِمْ
وعمقها	وَعُمْقَهَا
جامكيته	جَامِكِيَّتِه
للمعذورين	لِلْمَعْذُورِين
للورود	لِلْوُرُود
بمبيت	بِمَبِيت
الفطور	الْفُطُور
يستصلحه	يَسْتَصْلِحُه
مقصودين	مَقْصُودَيْن
ومسماها	وَمُسَمَّاهَا
لصدقته	لِصَدَقَتِه
الاستصلاح	الِاسْتِصْلَاح
أناطه	أَنَاطَه
بإناطة	بِإِنَاطَ
ضيافتهم	ضِيَافَتِهِمْ
ونلغي	وَنُلْغِي
يضيفوا	يُضِيفُوا
لحشيش	لِحَشِيش
وفقرها	وَفَقْرِهَا
لخرابه	لِخَرَابِه
يجيبوهم	يُجِيبُوهُمْ
فيعزرون	فَيُعَزَّرُون
وإسكانا	وَإِسْكَانا
وتنازعوا	وَتَنَازَعُوا
للأملاك	لِلْأَمْلَاك
للتحتم	لِلتَّحَتُّم
لشيوعه	لِشُيُوعِه
للمقرئ	لِلْمُقْرِئ
لمسوغ	لِمُسَوِّغ
المشروطين	الْمَشْرُوطَيْن
وللرافعي	وَلِلرَّافِعِيّ
فيتناولهما	فَيَتَنَاوَلُهُمَا
لاتحادهما	لِاتِّحَادِهِمَا
باتحاده	بِاتِّحَادِه
ورودهما	وُرُودِهِمَا
نازعهما	نَازَعَهُمَا
وسومح	وَسُومِح
ومؤدى	وَمُؤَدَّى
يعبروا	يُعَبِّرُوا
كالساعي	كَالسَّاعِي
ويسرج	وَيُسْرَج
للمفطرين	لِلْمُفْطِرِين
أشغال	أَشْغَال
والأفقه	وَالْأَفْقَه
شوش	شَوَّش
ويقفه	وَيَقِفُه
يرصده	يَرْصُدُه
يستقلوا	يَسْتَقِلُّوا
للواردين	لِلْوَارِدِين
ازدحم	ازْدَحَم
وبغلتها	وَبِغَلَّتِهَا
يقفها	يَقِفَهَا
والواردين	وَالْوَارِدِين
واصطلحوا	وَاصْطَلَحُوا
بعرفهم	بِعُرْفِهِمْ
كالاتصال	كَالِاتِّصَال
الإسراج	الْإِسْرَاج
أكفى	أَكْفَى
يتسلمها	يَتَسَلَّمُهَا
ترصد	تَرَصَّد
والأخشاب	وَالْأَخْشَاب
بالأماكن	بِالْأَمَاكِن
المتصلتين	الْمُتَّصِلَتَيْن
مكينة	مَكِينَ
وتعاقبوا	وَتَعَاقَبُوا
وينتمي	وَيَنْتَمِي
للبطون	لِلْبُطُون
متنافيتان	مُتَنَافِيَتَان
بالطبقتين	بِالطَّبَقَتَيْن
لاقتصاره	لِاقْتِصَارِه
والتوكيد	وَالتَّوْكِيد
تهايئوا	تَهَايَئُوا
وأصرفها	وَأَصْرِفُهَا
وورطه	وَوَرَّطَه
وغراسه	وَغِرَاسِه
فالقرار	فَالْقَرَار
قصابا	قَصَّابا
بالقصاب	بِالْقَصَّاب
وعجبت	وَعَجِبْت
يوزعه	يُوَزِّعُه
بإيجارها	بِإِيجَارِهَا
وإيصالها	وَإِيصَالِهَا
والاستنماء	وَالِاسْتِنْمَاء
وقصيرة	وَقَصِيرَ
سخطوا	سَخِطُوا
الإصطخري	الْإِصْطَخْرِيّ
والطلبة	وَالطَّلَبَ
بنوبته	بِنَوْبَتِه
عصريه	عَصْرَيْه
فالأشرف	فَالْأَشْرَف
والبدر	وَالْبَدْر
فبالقرعة	فَبِالْقُرْعَ
فبأحدهما	فَبِأَحَدِهِمَا
فلترجع	فَلْتَرْجِعْ
سياقهما	سِيَاقِهِمَا
أجاء	أَجَاء
وقناديل	وَقَنَادِيل
كالربط	كَالرُّبُط
لبقائهم	لِبَقَائِهِمْ
وطلبته	وَطَلَبَتْه
ومناطها	وَمَنَاطُهَا
والمشيع	وَالْمُشَيِّع
البناة	الْبُنَا
وأنشأ	وَأَنْشَأ
بأجمعه	بِأَجْمَعِه
يقسطه	يُقَسِّطُه
ومرتبا	وَمُرَتَّبا
للمستنيب	لِلْمُسْتَنِيب
بانعزاله	بِانْعِزَالِه
وأطلقاه	وَأَطْلَقَاه
ماخضا	مَاخِضا
تأبيرها	تَأْبِيرِهَا
كأوقاف	كَأَوْقَاف
لتعزيره	لِتَعْزِيرِه
كالاقتراض	كَالِاقْتِرَاض
وبنيهما	وَبَنِيهِمَا
يتفقهوا	يَتَفَقَّهُوا
لمرجح	لِمُرَجِّح
أشغرت	أُشْغِرَتْ
مدرسي	مُدَرِّسِي
غريبان	غَرِيبَان
منسوبون	مَنْسُوبُون
بعشائه	بِعَشَائِه
عشائه	عَشَائِه
استفيض	اُسْتُفِيض
واستفيض	وَاسْتُفِيض
تابعون	تَابِعُون
بالمعسور	بِالْمَعْسُور
كبطن	كَبَطْن
لنظيره	لِنَظِيرِه
فالرافعي	فَالرَّافِعِيّ
لعاشوراء	لِعَاشُورَاء
بضيافة	بِضِيَافَ
وتوسيعه	وَتَوْسِيعُه
والمجتهدين	وَالْمُجْتَهِدِين
والاقتراض	وَالِاقْتِرَاض
فيقرضها	فَيُقْرِضُهَا
بإنما	بِإِنَّمَا
إلغاؤها	إلْغَاؤُهَا
وتعوضت	وَتَعَوَّضْت
شغرت	شَغَرَتْ
عتقائي	عُتَقَائِي
لينقض	لِيَنْقُض
أرصاد	أَرْصَاد
والمفردات	وَالْمُفْرَدَات
مرجحه	مُرَجِّحِه
مرجحات	مُرَجِّحَات
تأسيسا	تَأْسِيسا
تؤمل	تُؤُمِّل
بنواحي	بِنَوَاحِي
أوقافها	أَوْقَافِهَا
لقاضيها	لِقَاضِيهَا
يشرطها	يَشْرِطْهَا
وللمستحقين	وَلِلْمُسْتَحِقَّيْن
وشيخا	وَشَيْخا
الشغور	الشُّغُور
التقريرين	التَّقْرِيرَيْن
إحياءها	إحْيَاءَهَا
يستبحه	يَسْتَبِحْه
تفيدها	تُفِيدُهَا
أرصده	أَرْصُدُه
فاستغل	فَاسْتَغَلّ
لسكناه	لِسُكْنَاه
ليؤجرها	لِيُؤَجِّرَهَا
بلطه	بَلَّطَه
واعتمداه	وَاعْتَمَدَاه
باللبث	بِاللُّبْث
ولبثه	وَلُبْثَه
وصحنه	وَصَحْنِه
ورحبته	وَرَحْبَتِه
ووقفها	وَوَقَفَهَا
وجدرانه	وَجُدْرَانِه
خصصهم	خَصَّصَهُمْ
بالأقربين	بِالْأَقْرَبِين
والمحققين	وَالْمُحَقِّقِين
اطرادا	اطِّرَادا
والشبان	وَالشُّبَّان
واللحاف	وَاللِّحَاف
وقضايا	وَقَضَايَا
مخدومه	مَخْدُومِه
لمخالفتهما	لِمُخَالَفَتِهِمَا
اعتيادهم	اعْتِيَادِهِمْ
يعتادوه	يَعْتَادُوه
كوقفها	كَوَقْفِهَا
محبوكا	مَحْبُوكا
زيرا	زِيرا
وقايته	وِقَايَتُه
فللموقوف	فَلِلْمَوْقُوف
والخوانق	وَالْخَوَانِق
خوندة	خُونْدَ
شميسة	شُمَيْسَ
مصباحا	مِصْبَاحا
يشتركن	يَشْتَرِكْن
ويباشرها	وَيُبَاشِرُهَا
الحادثان	الْحَادِثَان
أشرفيان	أَشْرَفِيَّان
لاستحقاقهما	لِاسْتِحْقَاقِهِمَا
لفقرهما	لِفَقْرِهِمَا
ومبارك	وَمُبَارَك
بسليمان	بِسُلَيْمَان
ينتقلان	يَنْتَقِلَان
ختمات	خَتَمَات
الختمات	الْخَتَمَات
تفريعاتها	تَفْرِيعَاتِهَا
كقياسه	كَقِيَاسِه
انبهام	انْبِهَام
عهدية	عَهْدِيَّ
أتجوز	أَتَجُوز
اقتضتها	اقْتَضَتْهَا
وإيضاحا	وَإِيضَاحا
التزويق	التَّزْوِيق
وأحفادي	وَأَحْفَادِي
محتاجي	مُحْتَاجِي
فأخل	فَأَخَلّ
الأرصاد	الْأَرْصَاد
فالعالم	فَالْعَالِم
ومؤذنيه	وَمُؤَذِّنِيه
والتزويق	وَالتَّزْوِيق
الجرجانيات	الْجُرْجَانِيَّات
سراجه	سِرَاجِه
وتنزيها	وَتَنْزِيها
ووقاد	وَوَقَّاد
حوشا	حَوْشا
خربا	خَرِبا
التداعي	التَّدَاعِي
فتساقطت	فَتَسَاقَطَتْ
كفتاوى	كَفَتَاوَى
وقوده	وَقَوْدِه
فيدخر	فَيَدَّخِر
إطلاقاته	إطْلَاقَاتِه
يفوزون	يَفُوزُون
تمخضت	تَمَخَّضَتْ
إطلاع	إطْلَاع
وتأبير	وَتَأْبِير
فقيهان	فَقِيهَان
تتأبر	تَتَأَبَّرْ
الحضارم	الْحَضَارِم
المجاورين	الْمُجَاوِرِين
يستوطنها	يَسْتَوْطِنُهَا
بالمحتاج	بِالْمُحْتَاج
المتزوجون	الْمُتَزَوِّجُون
الأعزاب	الْأَعْزَاب
والاستيطان	وَالِاسْتِيطَان
المتوطن	الْمُتَوَطِّن
للقبيلة	لِلْقَبِيلَ
أرقائهم	أَرِقَّائِهِمْ
والخارجين	وَالْخَارِجِين
للترخص	لِلتَّرَخُّص
وتوابع	وَتَوَابِع
انتهض	انْتَهَض
وتقويته	وَتَقْوِيَتِه
ويتعهد	وَيَتَعَهَّد
بالترميم	بِالتَّرْمِيم
ترميمه	تَرْمِيمِه
توجبون	تُوجِبُون
وبالصائم	وَبِالصَّائِم
واكتفائه	وَاكْتِفَائِه
تبقيتها	تَبْقِيَتِهَا
اختط	اخْتَطّ
فتحرج	فَتَحَرَّج
وبسببهم	وَبِسَبَبِهِمْ
تسديدا	تَسْدِيدا
اقترفه	اقْتَرَفَه
مسوغا	مُسَوِّغا
عصباتهم	عَصَبَاتُهُمْ
السداسي	السُّدَاسِيّ
ولجهات	وَلِجِهَات
لإجل	لِإِجْل
ويبنيها	وَيَبْنِيهَا
بمغايرة	بِمُغَايَرَ
إجزاؤها	إجْزَاؤُهَا
كهم	كَهُمْ
يستنب	يَسْتَنِبْ
إهدائه	إهْدَائِه
ولقراءة	وَلِقِرَاءَ
وتنزيل	وَتَنْزِيل
كنظيره	كَنَظِيرِه
مقرئ	مُقْرِئ
بالمتورعين	بِالْمُتَوَرَّعِين
لتأمل	لِتَأَمُّل
الختمة	الْخَتْمَ
كالأسباع	كَالْأَسْبَاع
والأجزاء	وَالْأَجْزَاء
وإشاعتها	وَإِشَاعَتِهَا
وزهده	وَزُهْدِه
بالقدس	بِالْقُدْس
مدرستين	مَدْرَسَتَيْن
كحلب	كَحَلْب
الحسباني	الْحُسْبَانِيّ
جوزناها	جَوَّزْنَاهَا
كجملة	كَجُمْلَ
بالعتقاء	بِالْعُتَقَاء
للعتقاء	لِلْعُتَقَاء
للخدام	لِلْخُدَّام
باشرهم	بَاشَرَهُمْ
فجوابي	فَجَوَابِي
وحائزا	وَحَائِزا
اللتيا	اللَّتَيَّا
يستراب	يُسْتَرَاب
نشئوا	نَشَئُوا
يتشبث	يَتَشَبَّثْ
التمحلات	التَّمَحُّلَات
سديدة	سَدِيدَ
والمعدول	وَالْمَعْدُول
لإطباق	لِإِطْبَاق
الصارفة	الصَّارِفَ
لاجتماعهما	لِاجْتِمَاعِهِمَا
فالداعي	فَالدَّاعِي
لأصالتها	لِأَصَالَتِهَا
الأثرين	الْأَثَرَيْن
وشارحه	وَشَارِحُه
المرجوحة	الْمَرْجُوحَ
التلويح	التَّلْوِيح
كالحجة	كَالْحُجَّ
مناطا	مَنَاطا
الإفرادي	الْإِفْرَادِيّ
والمجازي	وَالْمَجَازِيّ
تجعلوه	تَجْعَلُوه
المتجوز	الْمُتَجَوَّز
وتوهين	وَتَوْهِين
القولة	الْقَوْلَ
فحكاه	فَحَكَاه
النقشواني	النَّقْشَوَانِيّ
للآمدي	لِلْآمِدِيّ
لمنهاج	لِمِنْهَاج
فسياق	فَسِيَاق
أفتحفظ	أَفَتَحْفَظ
حقيقتان	حَقِيقَتَان
اعتباطا	اعْتِبَاطا
ادعيناه	ادَّعَيْنَاه
حكيته	حَكَيْته
وحلى	وَحَلَّى
والتنازع	وَالتَّنَازُع
والاستعمالات	وَالِاسْتِعْمَالَات
وتصرفاتهم	وَتَصَرُّفَاتِهِمْ
تدقيقات	تَدْقِيقَات
للأصولي	لِلْأُصُولِيّ
وتصرفات	وَتَصَرُّفَات
مبحثان	مَبْحَثَان
وجماهير	وَجَمَاهِير
لمنقول	لِمَنْقُول
مسمياته	مُسَمَّيَاتِه
استنبطوا	اسْتَنْبَطُوا
فاختلافهم	فَاخْتِلَافُهُمْ
لمسارعته	لِمُسَارَعَتِه
يرتض	يَرْتَض
ينعقون	يَنْعَقُون
يعون	يَعُون
بالمطابقة	بِالْمُطَابَقَ
البدلي	الْبَدَلِيّ
بالمشترك	بِالْمُشْتَرَك
متواطئ	مُتَوَاطِئ
لمدلولاته	لِمَدْلُولَاتِه
وأفراده	وَأَفْرَادِه
مدلولات	مَدْلُولَات
ومسماه	وَمُسَمَّاه
للموضوع	لِلْمَوْضُوع
كاللغة	كَاللُّغَ
فحقيقتها	فَحَقِيقَتُهَا
ومجازها	وَمَجَازِهَا
فأبقاه	فَأَبْقَاه
وبالنقص	وَبِالنَّقْص
لتسميتهم	لِتَسْمِيَتِهِمْ
تستفد	تُسْتَفَدْ
استفيدت	اُسْتُفِيدَتْ
وأحفاده	وَأَحْفَادِه
فصرحوا	فَصَرَّحُوا
ومدارك	وَمَدَارِك
بالسببية	بِالسَّبَبِيَّ
الحقيقتين	الْحَقِيقَتَيْن
اللافظ	اللَّافِظ
فالاحتياج	فَالِاحْتِيَاج
حيثيتين	حَيْثِيَّتَيْن
باعتبارين	بِاعْتِبَارَيْن
بالتعقب	بِالتَّعَقُّب
بقصدهما	بِقَصْدِهِمَا
المترقبة	الْمُتَرَقَّبَ
النقلين	النَّقْلَيْن
المنقولين	الْمَنْقُولَيْن
فأثرت	فَأَثَّرَتْ
فأدرنا	فَأَدَرْنَا
سبرنا	سَبَرْنَا
نرهم	نَرَهُمْ
بحثوا	بَحَثُوا
تشكيكا	تَشْكِيكا
بتصفح	بِتَصَفُّح
والبلغاء	وَالْبُلَغَاء
لفروعهم	لِفُرُوعِهِمْ
حقيقتهم	حَقِيقَتَهُمْ
فالتأسيس	فَالتَّأْسِيس
قرينتين	قَرِينَتَيْن
بالشمول	بِالشُّمُول
بشمول	بِشُمُول
ومستندا	وَمُسْتَنِدا
وأزكاه	وَأَزْكَاه
وأنماه	وَأَنْمَاه
وأشمله	وَأَشْمَلَه
فرائد	فَرَائِد
الزكي	الزَّكِيّ
للتجوز	لِلتَّجَوُّز
ووجوها	وَوُجُوها
للمتيقن	لِلْمُتَيَقَّن
ومشكوك	وَمَشْكُوك
قرائنه	قَرَائِنِه
وبثم	وَبِثُمّ
لإخراجهم	لِإِخْرَاجِهِمْ
نرفعه	نَرْفَعُه
واشكر	وَاشْكُرْ
لترجيحه	لِتَرْجِيحِه
وتوقيف	وَتَوْقِيف
أرادهم	أَرَادَهُمْ
فليكتف	فَلْيَكْتَف
نظيرهما	نَظِيرِهِمَا
اتصافهم	اتِّصَافِهِمْ
موجودون	مَوْجُودُون
كقريبه	كَقَرِيبِه
ومخالفوهم	وَمُخَالِفُوهُمْ
لأصولهم	لِأُصُولِهِمْ
وفروعهم	وَفُرُوعِهِمْ
وأولد	وَأَوْلَد
خالفوها	خَالَفُوهَا
مخالفيه	مُخَالِفِيه
تشملهم	تَشْمَلُهُمْ
وإلحاقهم	وَإِلْحَاقُهُمْ
مجازها	مَجَازِهَا
بالسامع	بِالسَّامِع
بالمتجوز	بِالْمُتَجَوَّز
ونفاسته	وَنَفَاسَتِه
والمصحح	وَالْمُصَحَّح
فالإعراض	فَالْإِعْرَاض
منضما	مُنْضَمّا
لخفائها	لِخَفَائِهَا
والاعتساف	وَالِاعْتِسَاف
وطرحا	وَطَرْحا
بحقير	بِحَقِير
خولفت	خُولِفَتْ
استخارة	اسْتِخَارَ
طالعته	طَالَعَتْه
أجمعها	أَجْمَعَهَا
أدخرها	أَدَّخِرُهَا
وروج	وَرَوَّج
وقواعدنا	وَقَوَاعِدُنَا
تعقباه	تَعَقَّبَاه
وناطق	وَنَاطِق
والغلات	وَالْغَلَّات
للإصطخري	لِلْإِصْطَخْرِيّ
والمحجورين	وَالْمَحْجُورِين
للموهوم	لِلْمَوْهُوم
لتنفرد	لِتَنْفَرِد
بالعامر	بِالْعَامِر
والمالكي	وَالْمَالِكِيّ
فمسألتنا	فَمَسْأَلَتُنَا
ننفذه	نُنَفِّذْه
نراعي	نُرَاعِي
أرأى	أَرَأَى
واقفهما	وَاقِفُهُمَا
المحجورين	الْمَحْجُورِين
ومتوقف	وَمُتَوَقِّف
بتصرفات	بِتَصَرُّفَات
مصنفا	مُصَنَّفا
فكتابه	فَكِتَابُه
صححاه	صَحَّحَاه
تقويما	تَقْوِيما
بالحالتين	بِالْحَالَتَيْن
وشهادتها	وَشَهَادَتُهَا
ارتضيته	ارْتَضَيْته
والمآخذ	وَالْمَآخِذ
وللموقوف	وَلِلْمَوْقُوف
الأحسنية	الْأَحْسَنِيَّ
شفقتهما	شَفَقَتِهِمَا
مثالهم	مِثَالِهِمْ
وصارا	وَصَارَا
لغبطة	لِغِبْطَ
كاحتمال	كَاحْتِمَال
فالاكتفاء	فَالِاكْتِفَاء
للغبطة	لِلْغِبْطَ
يقس	يَقِسْ
اندراسه	انْدِرَاسِه
كقريبي	كَقَرِيبِي
شيخيه	شَيْخَيْه
ويقدرون	وَيَقْدِرُون
وتكراره	وَتَكْرَارُه
وتقليلها	وَتَقْلِيلُهَا
مصلحتهما	مَصْلَحَتُهُمَا
للمفاسد	لِلْمَفَاسِد
اشترطتم	اشْتَرَطْتُمْ
غرضاهما	غَرَضَاهُمَا
ويجوزون	وَيُجَوِّزُون
وكفاك	وَكَفَاك
المانعية	الْمَانِعِيَّ
للمؤاخذة	لِلْمُؤَاخَذَ
بسببية	بِسَبَبِيَّ
يتلازم	يَتَلَازَم
توقفهم	تَوَقُّفِهِمْ
وللصحة	وَلِلصِّحَّ
إسجاله	إسْجَالِه
موانعها	مَوَانِعِهَا
منوالهم	مِنْوَالِهِمْ
درجوا	دَرَجُوا
مصحوبها	مَصْحُوبِهَا
والمعلول	وَالْمَعْلُول
لفرار	لِفِرَار
وفراره	وَفِرَارِه
معلولها	مَعْلُولِهَا
فالملازمة	فَالْمُلَازَمَ
يعتنوا	يَعْتَنُوا
الفقهيات	الْفِقْهِيَّات
أبديناه	أَبْدَيْنَاه
كالحفر	كَالْحَفْر
وحصله	وَحَصَّلَه
كالقد	كَالْقَدّ
التردية	التَّرْدِيَ
لترتبها	لِتَرَتُّبِهَا
وثبوتا	وَثُبُوتا
كالعلة	كَالْعِلَّ
فعلقنا	فَعَلَّقْنَا
وبالعلة	وَبِالْعِلَّ
الفرقين	الْفَرْقَيْن
ترتبا	تَرَتَّبَا
بالحظ	بِالْحَظّ
للمستند	لِلْمُسْتَنَد
لإشرافه	لِإِشْرَافِه
والمستحقين	وَالْمُسْتَحَقِّين
لتينك	لِتَيْنِك
والمحذوف	وَالْمَحْذُوف
وجوزها	وَجَوَّزَهَا
فالمانعون	فَالْمَانِعُون
فأطلقوا	فَأَطْلَقُوا
والمجوزون	وَالْمُجَوِّزُون
ونحا	وَنَحَا
لأصلح	لِأَصْلَح
